"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-305U3/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [841, 88]
2023-09-24_04:54:00.000098627, [761, 192]
2023-09-24_04:54:00.000197255, [103, 187]
2023-09-24_04:54:00.000295883, [-690, -27]
2023-09-24_04:54:00.000394511, [-963, -82]
2023-09-24_04:54:00.000493139, [-968, -164]
2023-09-24_04:54:00.000591767, [-754, -280]
2023-09-24_04:54:00.000690395, [-355, -100]
2023-09-24_04:54:00.000789023, [397, -109]
2023-09-24_04:54:00.000887651, [900, -36]
2023-09-24_04:54:00.000986279, [1126, 90]
2023-09-24_04:54:00.001084907, [1760, -6]
2023-09-24_04:54:00.001183535, [1621, -14]
2023-09-24_04:54:00.001282163, [447, 28]
2023-09-24_04:54:00.001380791, [-833, -119]
2023-09-24_04:54:00.001479419, [-1666, -87]
2023-09-24_04:54:00.001578047, [-1772, 41]
2023-09-24_04:54:00.001676675, [-947, 47]
2023-09-24_04:54:00.001775303, [142, 257]
2023-09-24_04:54:00.001873931, [292, 360]
2023-09-24_04:54:00.001972559, [-150, 185]
2023-09-24_04:54:00.002071187, [182, -15]
2023-09-24_04:54:00.002169815, [921, -67]
2023-09-24_04:54:00.002268443, [1201, 196]
2023-09-24_04:54:00.002367071, [808, 378]
2023-09-24_04:54:00.002465699, [-26, 275]
2023-09-24_04:54:00.002564326, [-455, 311]
2023-09-24_04:54:00.002662954, [-34, 324]
2023-09-24_04:54:00.002761582, [526, 78]
2023-09-24_04:54:00.002860210, [574, -53]
2023-09-24_04:54:00.002958838, [-314, -214]
2023-09-24_04:54:00.003057466, [-1137, -321]
2023-09-24_04:54:00.003156094, [-740, -244]
2023-09-24_04:54:00.003254722, [321, -8]
2023-09-24_04:54:00.003353350, [712, 217]
2023-09-24_04:54:00.003451978, [394, 302]
2023-09-24_04:54:00.003550606, [80, 374]
2023-09-24_04:54:00.003649234, [287, 368]
2023-09-24_04:54:00.003747862, [860, 251]
2023-09-24_04:54:00.003846490, [874, 81]
2023-09-24_04:54:00.003945118, [98, 169]
2023-09-24_04:54:00.004043746, [-1029, 310]
2023-09-24_04:54:00.004142374, [-1837, 158]
2023-09-24_04:54:00.004241002, [-1576, 141]
2023-09-24_04:54:00.004339630, [-311, 196]
2023-09-24_04:54:00.004438258, [455, 349]
2023-09-24_04:54:00.004536886, [43, 532]
2023-09-24_04:54:00.004635514, [4, 446]
2023-09-24_04:54:00.004734142, [650, 288]
2023-09-24_04:54:00.004832770, [768, 282]
2023-09-24_04:54:00.004931398, [-119, 229]
2023-09-24_04:54:00.005030025, [-1252, 136]
2023-09-24_04:54:00.005128653, [-1388, 151]
2023-09-24_04:54:00.005227281, [-827, 84]
2023-09-24_04:54:00.005325909, [255, -16]
2023-09-24_04:54:00.005424537, [577, 6]
2023-09-24_04:54:00.005523165, [-221, -37]
2023-09-24_04:54:00.005621793, [-427, -58]
2023-09-24_04:54:00.005720421, [-670, -123]
2023-09-24_04:54:00.005819049, [-902, -232]
2023-09-24_04:54:00.005917677, [-434, -207]
2023-09-24_04:54:00.006016305, [18, -125]
2023-09-24_04:54:00.006114933, [118, 21]
2023-09-24_04:54:00.006213561, [14, 27]
2023-09-24_04:54:00.006312189, [-270, -109]
2023-09-24_04:54:00.006410817, [-650, -126]
2023-09-24_04:54:00.006509445, [-535, -69]
2023-09-24_04:54:00.006608073, [-396, -138]
2023-09-24_04:54:00.006706701, [-730, -115]
2023-09-24_04:54:00.006805329, [-617, -177]
2023-09-24_04:54:00.006903957, [72, -176]
2023-09-24_04:54:00.007002585, [-106, -74]
2023-09-24_04:54:00.007101213, [-1003, -253]
2023-09-24_04:54:00.007199841, [-922, -376]
2023-09-24_04:54:00.007298469, [-489, -171]
2023-09-24_04:54:00.007397097, [-643, 42]
2023-09-24_04:54:00.007495724, [-380, 20]
2023-09-24_04:54:00.007594352, [440, -14]
2023-09-24_04:54:00.007692980, [475, -54]
2023-09-24_04:54:00.007791608, [-209, -159]
2023-09-24_04:54:00.007890236, [-807, -141]
2023-09-24_04:54:00.007988864, [-1010, -102]
2023-09-24_04:54:00.008087492, [-784, -182]
2023-09-24_04:54:00.008186120, [-544, -175]
2023-09-24_04:54:00.008284748, [-204, -136]
2023-09-24_04:54:00.008383376, [306, -122]
2023-09-24_04:54:00.008482004, [648, -153]
2023-09-24_04:54:00.008580632, [905, -194]
2023-09-24_04:54:00.008679260, [725, -286]
2023-09-24_04:54:00.008777888, [642, -238]
2023-09-24_04:54:00.008876516, [985, -153]
2023-09-24_04:54:00.008975144, [774, -158]
2023-09-24_04:54:00.009073772, [-248, -252]
2023-09-24_04:54:00.009172400, [-626, -263]
2023-09-24_04:54:00.009271028, [98, -188]
2023-09-24_04:54:00.009369656, [238, -128]
2023-09-24_04:54:00.009468284, [-481, -181]
2023-09-24_04:54:00.009566912, [-988, -291]
2023-09-24_04:54:00.009665540, [-656, -244]
2023-09-24_04:54:00.009764168, [72, -147]
2023-09-24_04:54:00.009862796, [700, -192]
2023-09-24_04:54:00.009961423, [1303, -191]
2023-09-24_04:54:00.010060051, [1460, -279]
2023-09-24_04:54:00.010158679, [1003, -399]
2023-09-24_04:54:00.010257307, [453, -286]
2023-09-24_04:54:00.010355935, [65, 52]
2023-09-24_04:54:00.010454563, [-159, 215]
