"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-310U4/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [127, -286]
2023-09-24_04:54:00.000098627, [239, -141]
2023-09-24_04:54:00.000197255, [-210, -112]
2023-09-24_04:54:00.000295883, [-821, -176]
2023-09-24_04:54:00.000394511, [-1027, -166]
2023-09-24_04:54:00.000493139, [-1022, -247]
2023-09-24_04:54:00.000591767, [-679, -162]
2023-09-24_04:54:00.000690395, [-313, -39]
2023-09-24_04:54:00.000789023, [129, -69]
2023-09-24_04:54:00.000887651, [467, -156]
2023-09-24_04:54:00.000986279, [583, -396]
2023-09-24_04:54:00.001084907, [816, -416]
2023-09-24_04:54:00.001183535, [848, -245]
2023-09-24_04:54:00.001282163, [227, -161]
2023-09-24_04:54:00.001380791, [-669, -186]
2023-09-24_04:54:00.001479419, [-1266, -242]
2023-09-24_04:54:00.001578047, [-1387, -269]
2023-09-24_04:54:00.001676675, [-894, -383]
2023-09-24_04:54:00.001775303, [-64, -437]
2023-09-24_04:54:00.001873931, [344, -381]
2023-09-24_04:54:00.001972559, [-4, -234]
2023-09-24_04:54:00.002071187, [-64, -179]
2023-09-24_04:54:00.002169815, [502, -327]
2023-09-24_04:54:00.002268443, [687, -249]
2023-09-24_04:54:00.002367071, [202, -73]
2023-09-24_04:54:00.002465699, [-345, -104]
2023-09-24_04:54:00.002564326, [-548, -113]
2023-09-24_04:54:00.002662954, [-193, -16]
2023-09-24_04:54:00.002761582, [418, 64]
2023-09-24_04:54:00.002860210, [449, 2]
2023-09-24_04:54:00.002958838, [-308, -106]
2023-09-24_04:54:00.003057466, [-883, -123]
2023-09-24_04:54:00.003156094, [-581, -132]
2023-09-24_04:54:00.003254722, [219, -159]
2023-09-24_04:54:00.003353350, [668, -243]
2023-09-24_04:54:00.003451978, [435, -254]
2023-09-24_04:54:00.003550606, [145, -249]
2023-09-24_04:54:00.003649234, [369, -336]
2023-09-24_04:54:00.003747862, [721, -403]
2023-09-24_04:54:00.003846490, [754, -352]
2023-09-24_04:54:00.003945118, [22, -312]
2023-09-24_04:54:00.004043746, [-1049, -348]
2023-09-24_04:54:00.004142374, [-1353, -497]
2023-09-24_04:54:00.004241002, [-1033, -501]
2023-09-24_04:54:00.004339630, [-446, -422]
2023-09-24_04:54:00.004438258, [110, -466]
2023-09-24_04:54:00.004536886, [95, -387]
2023-09-24_04:54:00.004635514, [-91, -328]
2023-09-24_04:54:00.004734142, [-24, -369]
2023-09-24_04:54:00.004832770, [211, -508]
2023-09-24_04:54:00.004931398, [-178, -424]
2023-09-24_04:54:00.005030025, [-1027, -208]
2023-09-24_04:54:00.005128653, [-1122, -220]
2023-09-24_04:54:00.005227281, [-608, -501]
2023-09-24_04:54:00.005325909, [108, -668]
2023-09-24_04:54:00.005424537, [374, -546]
2023-09-24_04:54:00.005523165, [-195, -442]
2023-09-24_04:54:00.005621793, [-390, -503]
2023-09-24_04:54:00.005720421, [-494, -607]
2023-09-24_04:54:00.005819049, [-570, -482]
2023-09-24_04:54:00.005917677, [-341, -254]
2023-09-24_04:54:00.006016305, [-235, -361]
2023-09-24_04:54:00.006114933, [120, -522]
2023-09-24_04:54:00.006213561, [505, -471]
2023-09-24_04:54:00.006312189, [241, -417]
2023-09-24_04:54:00.006410817, [-7, -423]
2023-09-24_04:54:00.006509445, [92, -460]
2023-09-24_04:54:00.006608073, [-74, -505]
2023-09-24_04:54:00.006706701, [-456, -493]
2023-09-24_04:54:00.006805329, [-481, -574]
2023-09-24_04:54:00.006903957, [-119, -666]
2023-09-24_04:54:00.007002585, [-56, -710]
2023-09-24_04:54:00.007101213, [-637, -674]
2023-09-24_04:54:00.007199841, [-713, -582]
2023-09-24_04:54:00.007298469, [-200, -653]
2023-09-24_04:54:00.007397097, [-115, -735]
