"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-316M1/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [-11092, 82020]
2023-09-24_04:54:00.000098627, [-11048, 81993]
2023-09-24_04:54:00.000197255, [-10944, 82013]
2023-09-24_04:54:00.000295883, [-11088, 81988]
2023-09-24_04:54:00.000394511, [-11115, 82117]
2023-09-24_04:54:00.000493139, [-11178, 82274]
2023-09-24_04:54:00.000591767, [-11396, 82290]
2023-09-24_04:54:00.000690395, [-11478, 82273]
2023-09-24_04:54:00.000789023, [-11419, 82342]
2023-09-24_04:54:00.000887651, [-11429, 82361]
2023-09-24_04:54:00.000986279, [-11523, 82242]
2023-09-24_04:54:00.001084907, [-11535, 82121]
2023-09-24_04:54:00.001183535, [-11550, 82135]
2023-09-24_04:54:00.001282163, [-11637, 82223]
2023-09-24_04:54:00.001380791, [-11742, 82198]
2023-09-24_04:54:00.001479419, [-11665, 82107]
2023-09-24_04:54:00.001578047, [-11632, 82134]
2023-09-24_04:54:00.001676675, [-11688, 82104]
2023-09-24_04:54:00.001775303, [-11791, 82051]
2023-09-24_04:54:00.001873931, [-12009, 81921]
2023-09-24_04:54:00.001972559, [-11959, 81854]
2023-09-24_04:54:00.002071187, [-12018, 81852]
2023-09-24_04:54:00.002169815, [-12255, 81824]
2023-09-24_04:54:00.002268443, [-12227, 81898]
2023-09-24_04:54:00.002367071, [-12133, 82045]
2023-09-24_04:54:00.002465699, [-12049, 82012]
2023-09-24_04:54:00.002564326, [-11976, 81828]
2023-09-24_04:54:00.002662954, [-12027, 81745]
2023-09-24_04:54:00.002761582, [-11890, 81915]
2023-09-24_04:54:00.002860210, [-11951, 82026]
2023-09-24_04:54:00.002958838, [-12226, 81912]
2023-09-24_04:54:00.003057466, [-12164, 81981]
2023-09-24_04:54:00.003156094, [-12168, 82194]
2023-09-24_04:54:00.003254722, [-12167, 82241]
2023-09-24_04:54:00.003353350, [-12025, 82089]
2023-09-24_04:54:00.003451978, [-11920, 81970]
2023-09-24_04:54:00.003550606, [-11904, 81934]
2023-09-24_04:54:00.003649234, [-11903, 82039]
2023-09-24_04:54:00.003747862, [-11913, 82126]
2023-09-24_04:54:00.003846490, [-12052, 82029]
2023-09-24_04:54:00.003945118, [-12195, 82012]
2023-09-24_04:54:00.004043746, [-12193, 82067]
2023-09-24_04:54:00.004142374, [-12153, 82054]
2023-09-24_04:54:00.004241002, [-12202, 82055]
2023-09-24_04:54:00.004339630, [-12289, 82094]
2023-09-24_04:54:00.004438258, [-12237, 82207]
2023-09-24_04:54:00.004536886, [-12229, 82222]
2023-09-24_04:54:00.004635514, [-12276, 82031]
2023-09-24_04:54:00.004734142, [-12319, 81932]
2023-09-24_04:54:00.004832770, [-12312, 81988]
2023-09-24_04:54:00.004931398, [-12317, 81935]
2023-09-24_04:54:00.005030025, [-12383, 82013]
2023-09-24_04:54:00.005128653, [-12440, 82047]
2023-09-24_04:54:00.005227281, [-12588, 82042]
2023-09-24_04:54:00.005325909, [-12600, 82125]
2023-09-24_04:54:00.005424537, [-12464, 82044]
2023-09-24_04:54:00.005523165, [-12356, 82096]
2023-09-24_04:54:00.005621793, [-12431, 82340]
2023-09-24_04:54:00.005720421, [-12547, 82427]
2023-09-24_04:54:00.005819049, [-12602, 82389]
2023-09-24_04:54:00.005917677, [-12758, 82350]
2023-09-24_04:54:00.006016305, [-12764, 82393]
