"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-303M1/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [-46389, -130211]
2023-09-24_04:54:00.000098627, [-46392, -130170]
2023-09-24_04:54:00.000197255, [-46373, -130172]
2023-09-24_04:54:00.000295883, [-46350, -130161]
2023-09-24_04:54:00.000394511, [-46332, -130117]
2023-09-24_04:54:00.000493139, [-46322, -130153]
2023-09-24_04:54:00.000591767, [-46453, -130120]
2023-09-24_04:54:00.000690395, [-46577, -130132]
2023-09-24_04:54:00.000789023, [-46640, -130243]
2023-09-24_04:54:00.000887651, [-46754, -130147]
2023-09-24_04:54:00.000986279, [-46867, -129997]
2023-09-24_04:54:00.001084907, [-46848, -130056]
2023-09-24_04:54:00.001183535, [-46846, -129977]
2023-09-24_04:54:00.001282163, [-46869, -129987]
2023-09-24_04:54:00.001380791, [-46780, -130092]
2023-09-24_04:54:00.001479419, [-46733, -130027]
2023-09-24_04:54:00.001578047, [-46731, -129974]
2023-09-24_04:54:00.001676675, [-46682, -129940]
2023-09-24_04:54:00.001775303, [-46783, -129949]
2023-09-24_04:54:00.001873931, [-46871, -130053]
2023-09-24_04:54:00.001972559, [-46860, -130052]
2023-09-24_04:54:00.002071187, [-46815, -130022]
2023-09-24_04:54:00.002169815, [-46830, -130038]
2023-09-24_04:54:00.002268443, [-46827, -129986]
2023-09-24_04:54:00.002367071, [-46751, -129978]
2023-09-24_04:54:00.002465699, [-46774, -130066]
2023-09-24_04:54:00.002564326, [-46888, -130049]
2023-09-24_04:54:00.002662954, [-46904, -129982]
2023-09-24_04:54:00.002761582, [-46885, -130005]
2023-09-24_04:54:00.002860210, [-46977, -129998]
2023-09-24_04:54:00.002958838, [-46886, -130024]
2023-09-24_04:54:00.003057466, [-46777, -130204]
2023-09-24_04:54:00.003156094, [-46808, -130329]
2023-09-24_04:54:00.003254722, [-46770, -130378]
2023-09-24_04:54:00.003353350, [-46733, -130358]
2023-09-24_04:54:00.003451978, [-46638, -130198]
2023-09-24_04:54:00.003550606, [-46574, -130155]
2023-09-24_04:54:00.003649234, [-46592, -130151]
2023-09-24_04:54:00.003747862, [-46659, -130117]
2023-09-24_04:54:00.003846490, [-46773, -130166]
2023-09-24_04:54:00.003945118, [-46670, -130085]
2023-09-24_04:54:00.004043746, [-46510, -129974]
2023-09-24_04:54:00.004142374, [-46683, -130043]
2023-09-24_04:54:00.004241002, [-46933, -130147]
2023-09-24_04:54:00.004339630, [-47022, -130134]
2023-09-24_04:54:00.004438258, [-46960, -130358]
2023-09-24_04:54:00.004536886, [-46976, -130581]
2023-09-24_04:54:00.004635514, [-47027, -130429]
2023-09-24_04:54:00.004734142, [-47067, -130341]
2023-09-24_04:54:00.004832770, [-47145, -130333]
2023-09-24_04:54:00.004931398, [-47106, -130276]
2023-09-24_04:54:00.005030025, [-47022, -130301]
2023-09-24_04:54:00.005128653, [-47089, -130345]
2023-09-24_04:54:00.005227281, [-47293, -130438]
2023-09-24_04:54:00.005325909, [-47594, -130515]
2023-09-24_04:54:00.005424537, [-47655, -130407]
2023-09-24_04:54:00.005523165, [-47429, -130342]
2023-09-24_04:54:00.005621793, [-47339, -130339]
2023-09-24_04:54:00.005720421, [-47334, -130393]
2023-09-24_04:54:00.005819049, [-47364, -130514]
2023-09-24_04:54:00.005917677, [-47445, -130428]
2023-09-24_04:54:00.006016305, [-47359, -130234]
2023-09-24_04:54:00.006114933, [-47234, -130267]
2023-09-24_04:54:00.006213561, [-47190, -130408]
2023-09-24_04:54:00.006312189, [-47294, -130369]
2023-09-24_04:54:00.006410817, [-47514, -130349]
2023-09-24_04:54:00.006509445, [-47517, -130348]
2023-09-24_04:54:00.006608073, [-47358, -130326]
