"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-315U2/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [264, 13]
2023-09-24_04:54:00.000098627, [217, 38]
2023-09-24_04:54:00.000197255, [-392, -40]
2023-09-24_04:54:00.000295883, [-1099, -135]
2023-09-24_04:54:00.000394511, [-1302, -115]
2023-09-24_04:54:00.000493139, [-1171, -51]
2023-09-24_04:54:00.000591767, [-985, 3]
2023-09-24_04:54:00.000690395, [-745, 19]
2023-09-24_04:54:00.000789023, [-260, -38]
2023-09-24_04:54:00.000887651, [95, -93]
2023-09-24_04:54:00.000986279, [150, -30]
2023-09-24_04:54:00.001084907, [204, 62]
2023-09-24_04:54:00.001183535, [28, 110]
2023-09-24_04:54:00.001282163, [-569, -7]
2023-09-24_04:54:00.001380791, [-1419, -90]
2023-09-24_04:54:00.001479419, [-2036, -68]
2023-09-24_04:54:00.001578047, [-2003, -157]
2023-09-24_04:54:00.001676675, [-1494, -177]
2023-09-24_04:54:00.001775303, [-747, -102]
2023-09-24_04:54:00.001873931, [-477, -173]
2023-09-24_04:54:00.001972559, [-766, -215]
2023-09-24_04:54:00.002071187, [-579, -103]
2023-09-24_04:54:00.002169815, [-19, -32]
2023-09-24_04:54:00.002268443, [207, -85]
2023-09-24_04:54:00.002367071, [-192, -140]
2023-09-24_04:54:00.002465699, [-815, -60]
2023-09-24_04:54:00.002564326, [-1244, 109]
2023-09-24_04:54:00.002662954, [-1028, 163]
2023-09-24_04:54:00.002761582, [-404, -32]
2023-09-24_04:54:00.002860210, [-386, -202]
2023-09-24_04:54:00.002958838, [-1115, -183]
2023-09-24_04:54:00.003057466, [-1773, -58]
2023-09-24_04:54:00.003156094, [-1565, 127]
2023-09-24_04:54:00.003254722, [-769, 145]
2023-09-24_04:54:00.003353350, [-417, -26]
2023-09-24_04:54:00.003451978, [-576, -100]
2023-09-24_04:54:00.003550606, [-855, -101]
2023-09-24_04:54:00.003649234, [-772, 30]
2023-09-24_04:54:00.003747862, [-334, 101]
2023-09-24_04:54:00.003846490, [-103, -58]
2023-09-24_04:54:00.003945118, [-541, -16]
2023-09-24_04:54:00.004043746, [-1414, 26]
2023-09-24_04:54:00.004142374, [-1712, 32]
2023-09-24_04:54:00.004241002, [-1343, 23]
2023-09-24_04:54:00.004339630, [-668, -104]
2023-09-24_04:54:00.004438258, [-189, -163]
2023-09-24_04:54:00.004536886, [-345, -85]
2023-09-24_04:54:00.004635514, [-467, -22]
2023-09-24_04:54:00.004734142, [-176, -94]
2023-09-24_04:54:00.004832770, [41, -28]
2023-09-24_04:54:00.004931398, [-347, 175]
2023-09-24_04:54:00.005030025, [-1107, 273]
2023-09-24_04:54:00.005128653, [-1210, 251]
2023-09-24_04:54:00.005227281, [-657, 187]
2023-09-24_04:54:00.005325909, [44, -30]
2023-09-24_04:54:00.005424537, [294, -201]
2023-09-24_04:54:00.005523165, [-129, -169]
2023-09-24_04:54:00.005621793, [-248, -62]
2023-09-24_04:54:00.005720421, [-404, -27]
2023-09-24_04:54:00.005819049, [-493, -85]
2023-09-24_04:54:00.005917677, [-250, -74]
2023-09-24_04:54:00.006016305, [118, 15]
2023-09-24_04:54:00.006114933, [501, 71]
2023-09-24_04:54:00.006213561, [577, -1]
2023-09-24_04:54:00.006312189, [274, 6]
2023-09-24_04:54:00.006410817, [164, 42]
2023-09-24_04:54:00.006509445, [461, 169]
2023-09-24_04:54:00.006608073, [586, 193]
2023-09-24_04:54:00.006706701, [410, 23]
2023-09-24_04:54:00.006805329, [369, -2]
2023-09-24_04:54:00.006903957, [624, -48]
2023-09-24_04:54:00.007002585, [704, -128]
2023-09-24_04:54:00.007101213, [321, -154]
2023-09-24_04:54:00.007199841, [202, -151]
2023-09-24_04:54:00.007298469, [557, -151]
2023-09-24_04:54:00.007397097, [813, -120]
2023-09-24_04:54:00.007495724, [924, -80]
2023-09-24_04:54:00.007594352, [1345, -189]
2023-09-24_04:54:00.007692980, [1429, -168]
2023-09-24_04:54:00.007791608, [880, 23]
2023-09-24_04:54:00.007890236, [704, 60]
2023-09-24_04:54:00.007988864, [782, 61]
2023-09-24_04:54:00.008087492, [668, -92]
2023-09-24_04:54:00.008186120, [763, -154]
2023-09-24_04:54:00.008284748, [1219, -30]
2023-09-24_04:54:00.008383376, [1480, -32]
2023-09-24_04:54:00.008482004, [1472, 18]
2023-09-24_04:54:00.008580632, [1519, -23]
2023-09-24_04:54:00.008679260, [1398, -259]
2023-09-24_04:54:00.008777888, [1501, -221]
2023-09-24_04:54:00.008876516, [1600, -66]
2023-09-24_04:54:00.008975144, [1252, -21]
2023-09-24_04:54:00.009073772, [584, 40]
2023-09-24_04:54:00.009172400, [122, 57]
2023-09-24_04:54:00.009271028, [545, 50]
2023-09-24_04:54:00.009369656, [718, 61]
2023-09-24_04:54:00.009468284, [206, -27]
2023-09-24_04:54:00.009566912, [-152, -31]
2023-09-24_04:54:00.009665540, [9, 32]
2023-09-24_04:54:00.009764168, [377, -92]
2023-09-24_04:54:00.009862796, [616, -149]
2023-09-24_04:54:00.009961423, [881, -101]
2023-09-24_04:54:00.010060051, [868, -118]
2023-09-24_04:54:00.010158679, [426, -141]
2023-09-24_04:54:00.010257307, [6, -106]
2023-09-24_04:54:00.010355935, [-246, -111]
2023-09-24_04:54:00.010454563, [-472, -31]
2023-09-24_04:54:00.010553191, [-707, -10]
2023-09-24_04:54:00.010651819, [-874, -77]
2023-09-24_04:54:00.010750447, [-610, -114]
2023-09-24_04:54:00.010849075, [-189, -91]
2023-09-24_04:54:00.010947703, [-255, -80]
2023-09-24_04:54:00.011046331, [-108, -235]
2023-09-24_04:54:00.011144959, [-24, -294]
2023-09-24_04:54:00.011243587, [-308, -200]
2023-09-24_04:54:00.011342215, [-333, -149]
2023-09-24_04:54:00.011440843, [-694, -143]
2023-09-24_04:54:00.011539471, [-1383, -136]
2023-09-24_04:54:00.011638099, [-1848, -174]
2023-09-24_04:54:00.011736727, [-1531, -274]
2023-09-24_04:54:00.011835355, [-753, -266]
2023-09-24_04:54:00.011933983, [-479, -80]
2023-09-24_04:54:00.012032611, [-685, 0]
2023-09-24_04:54:00.012131239, [-1052, -112]
2023-09-24_04:54:00.012229867, [-893, -109]
2023-09-24_04:54:00.012328495, [-309, -118]
2023-09-24_04:54:00.012427122, [-498, -145]
2023-09-24_04:54:00.012525750, [-1054, -61]
2023-09-24_04:54:00.012624378, [-1176, -105]
2023-09-24_04:54:00.012723006, [-1336, -197]
2023-09-24_04:54:00.012821634, [-1570, -139]
2023-09-24_04:54:00.012920262, [-1600, -141]
2023-09-24_04:54:00.013018890, [-1371, -151]
2023-09-24_04:54:00.013117518, [-1122, -131]
2023-09-24_04:54:00.013216146, [-946, 26]
2023-09-24_04:54:00.013314774, [-723, 24]
2023-09-24_04:54:00.013413402, [-763, -276]
2023-09-24_04:54:00.013512030, [-1325, -315]
2023-09-24_04:54:00.013610658, [-1311, -196]
2023-09-24_04:54:00.013709286, [-1399, -158]
2023-09-24_04:54:00.013807914, [-1982, -60]
2023-09-24_04:54:00.013906542, [-1838, -45]
2023-09-24_04:54:00.014005170, [-1349, -142]
2023-09-24_04:54:00.014103798, [-1319, -222]
2023-09-24_04:54:00.014202426, [-1597, -133]
2023-09-24_04:54:00.014301054, [-1612, -104]
2023-09-24_04:54:00.014399682, [-1587, -182]
2023-09-24_04:54:00.014498310, [-1782, -132]
2023-09-24_04:54:00.014596938, [-1784, -51]
2023-09-24_04:54:00.014695566, [-1079, -61]
2023-09-24_04:54:00.014794194, [-393, -180]
2023-09-24_04:54:00.014892821, [-754, -184]
2023-09-24_04:54:00.014991449, [-1452, -84]
2023-09-24_04:54:00.015090077, [-2098, -21]
2023-09-24_04:54:00.015188705, [-2774, 1]
2023-09-24_04:54:00.015287333, [-3037, -93]
2023-09-24_04:54:00.015385961, [-2239, -171]
2023-09-24_04:54:00.015484589, [-1107, -36]
2023-09-24_04:54:00.015583217, [-786, 124]
2023-09-24_04:54:00.015681845, [-868, 89]
2023-09-24_04:54:00.015780473, [-791, -5]
2023-09-24_04:54:00.015879101, [-627, 19]
2023-09-24_04:54:00.015977729, [-637, -33]
2023-09-24_04:54:00.016076357, [-866, -140]
2023-09-24_04:54:00.016174985, [-1461, -147]
2023-09-24_04:54:00.016273613, [-2089, -67]
2023-09-24_04:54:00.016372241, [-2110, -87]
2023-09-24_04:54:00.016470869, [-1471, -180]
