"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-310M1/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [-177876, -58459]
2023-09-24_04:54:00.000098627, [-177823, -58350]
2023-09-24_04:54:00.000197255, [-177754, -58204]
2023-09-24_04:54:00.000295883, [-177665, -58270]
2023-09-24_04:54:00.000394511, [-177607, -58387]
2023-09-24_04:54:00.000493139, [-177614, -58359]
2023-09-24_04:54:00.000591767, [-177767, -58396]
2023-09-24_04:54:00.000690395, [-177894, -58593]
2023-09-24_04:54:00.000789023, [-177992, -58648]
2023-09-24_04:54:00.000887651, [-178113, -58604]
2023-09-24_04:54:00.000986279, [-178262, -58569]
2023-09-24_04:54:00.001084907, [-178465, -58673]
2023-09-24_04:54:00.001183535, [-178517, -58718]
2023-09-24_04:54:00.001282163, [-178472, -58684]
2023-09-24_04:54:00.001380791, [-178310, -58760]
2023-09-24_04:54:00.001479419, [-178073, -58677]
2023-09-24_04:54:00.001578047, [-178068, -58538]
2023-09-24_04:54:00.001676675, [-178170, -58474]
2023-09-24_04:54:00.001775303, [-178093, -58337]
2023-09-24_04:54:00.001873931, [-178078, -58248]
2023-09-24_04:54:00.001972559, [-178234, -58372]
2023-09-24_04:54:00.002071187, [-178400, -58512]
2023-09-24_04:54:00.002169815, [-178491, -58589]
2023-09-24_04:54:00.002268443, [-178326, -58552]
2023-09-24_04:54:00.002367071, [-178166, -58456]
2023-09-24_04:54:00.002465699, [-178323, -58413]
2023-09-24_04:54:00.002564326, [-178472, -58350]
2023-09-24_04:54:00.002662954, [-178428, -58435]
2023-09-24_04:54:00.002761582, [-178329, -58467]
2023-09-24_04:54:00.002860210, [-178443, -58401]
2023-09-24_04:54:00.002958838, [-178435, -58464]
2023-09-24_04:54:00.003057466, [-178223, -58522]
2023-09-24_04:54:00.003156094, [-178170, -58360]
2023-09-24_04:54:00.003254722, [-178375, -58255]
2023-09-24_04:54:00.003353350, [-178517, -58430]
2023-09-24_04:54:00.003451978, [-178440, -58535]
2023-09-24_04:54:00.003550606, [-178397, -58570]
2023-09-24_04:54:00.003649234, [-178344, -58499]
2023-09-24_04:54:00.003747862, [-178356, -58461]
2023-09-24_04:54:00.003846490, [-178301, -58499]
2023-09-24_04:54:00.003945118, [-178235, -58429]
2023-09-24_04:54:00.004043746, [-178285, -58281]
2023-09-24_04:54:00.004142374, [-178183, -58158]
2023-09-24_04:54:00.004241002, [-177979, -58178]
2023-09-24_04:54:00.004339630, [-178096, -58237]
2023-09-24_04:54:00.004438258, [-178200, -58235]
2023-09-24_04:54:00.004536886, [-178067, -58152]
2023-09-24_04:54:00.004635514, [-178027, -58205]
2023-09-24_04:54:00.004734142, [-178027, -58358]
2023-09-24_04:54:00.004832770, [-178034, -58358]
2023-09-24_04:54:00.004931398, [-178210, -58585]
2023-09-24_04:54:00.005030025, [-178253, -58622]
2023-09-24_04:54:00.005128653, [-178383, -58492]
2023-09-24_04:54:00.005227281, [-178391, -58557]
2023-09-24_04:54:00.005325909, [-178341, -58496]
2023-09-24_04:54:00.005424537, [-178495, -58413]
2023-09-24_04:54:00.005523165, [-178487, -58438]
2023-09-24_04:54:00.005621793, [-178422, -58530]
2023-09-24_04:54:00.005720421, [-178454, -58623]
2023-09-24_04:54:00.005819049, [-178539, -58544]
2023-09-24_04:54:00.005917677, [-178645, -58434]
2023-09-24_04:54:00.006016305, [-178757, -58511]
2023-09-24_04:54:00.006114933, [-178685, -58556]
2023-09-24_04:54:00.006213561, [-178615, -58581]
2023-09-24_04:54:00.006312189, [-178765, -58629]
2023-09-24_04:54:00.006410817, [-178892, -58487]
2023-09-24_04:54:00.006509445, [-178786, -58500]
2023-09-24_04:54:00.006608073, [-178650, -58667]
2023-09-24_04:54:00.006706701, [-178604, -58603]
2023-09-24_04:54:00.006805329, [-178733, -58428]
2023-09-24_04:54:00.006903957, [-178717, -58421]
2023-09-24_04:54:00.007002585, [-178644, -58525]
2023-09-24_04:54:00.007101213, [-178583, -58495]
2023-09-24_04:54:00.007199841, [-178496, -58450]
2023-09-24_04:54:00.007298469, [-178508, -58424]
2023-09-24_04:54:00.007397097, [-178352, -58456]
2023-09-24_04:54:00.007495724, [-178363, -58506]
2023-09-24_04:54:00.007594352, [-178403, -58606]
2023-09-24_04:54:00.007692980, [-178449, -58768]
2023-09-24_04:54:00.007791608, [-178514, -58810]
2023-09-24_04:54:00.007890236, [-178358, -58607]
2023-09-24_04:54:00.007988864, [-178240, -58473]
2023-09-24_04:54:00.008087492, [-178162, -58523]
2023-09-24_04:54:00.008186120, [-178118, -58613]
2023-09-24_04:54:00.008284748, [-178227, -58667]
2023-09-24_04:54:00.008383376, [-178203, -58636]
2023-09-24_04:54:00.008482004, [-178089, -58676]
2023-09-24_04:54:00.008580632, [-178135, -58612]
2023-09-24_04:54:00.008679260, [-178223, -58446]
2023-09-24_04:54:00.008777888, [-178180, -58482]
2023-09-24_04:54:00.008876516, [-177992, -58570]
2023-09-24_04:54:00.008975144, [-177900, -58548]
2023-09-24_04:54:00.009073772, [-177891, -58540]
2023-09-24_04:54:00.009172400, [-177909, -58544]
2023-09-24_04:54:00.009271028, [-177927, -58589]
2023-09-24_04:54:00.009369656, [-177841, -58604]
2023-09-24_04:54:00.009468284, [-177782, -58625]
2023-09-24_04:54:00.009566912, [-177807, -58587]
2023-09-24_04:54:00.009665540, [-177830, -58481]
2023-09-24_04:54:00.009764168, [-177732, -58364]
2023-09-24_04:54:00.009862796, [-177536, -58366]
2023-09-24_04:54:00.009961423, [-177535, -58441]
2023-09-24_04:54:00.010060051, [-177642, -58402]
2023-09-24_04:54:00.010158679, [-177716, -58394]
2023-09-24_04:54:00.010257307, [-177740, -58379]
2023-09-24_04:54:00.010355935, [-177757, -58409]
2023-09-24_04:54:00.010454563, [-177719, -58479]
2023-09-24_04:54:00.010553191, [-177548, -58437]
2023-09-24_04:54:00.010651819, [-177601, -58331]
2023-09-24_04:54:00.010750447, [-177858, -58292]
2023-09-24_04:54:00.010849075, [-177894, -58513]
2023-09-24_04:54:00.010947703, [-177855, -58571]
2023-09-24_04:54:00.011046331, [-177902, -58390]
2023-09-24_04:54:00.011144959, [-178031, -58427]
2023-09-24_04:54:00.011243587, [-178117, -58593]
2023-09-24_04:54:00.011342215, [-178185, -58466]
2023-09-24_04:54:00.011440843, [-178328, -58159]
2023-09-24_04:54:00.011539471, [-178484, -58120]
2023-09-24_04:54:00.011638099, [-178635, -58289]
2023-09-24_04:54:00.011736727, [-178737, -58308]
2023-09-24_04:54:00.011835355, [-178558, -58326]
2023-09-24_04:54:00.011933983, [-178419, -58371]
2023-09-24_04:54:00.012032611, [-178472, -58369]
2023-09-24_04:54:00.012131239, [-178517, -58389]
2023-09-24_04:54:00.012229867, [-178542, -58403]
2023-09-24_04:54:00.012328495, [-178637, -58361]
2023-09-24_04:54:00.012427122, [-178738, -58255]
2023-09-24_04:54:00.012525750, [-178718, -58285]
2023-09-24_04:54:00.012624378, [-178646, -58478]
2023-09-24_04:54:00.012723006, [-178659, -58492]
2023-09-24_04:54:00.012821634, [-178624, -58367]
2023-09-24_04:54:00.012920262, [-178705, -58312]
2023-09-24_04:54:00.013018890, [-178896, -58233]
2023-09-24_04:54:00.013117518, [-179113, -58148]
2023-09-24_04:54:00.013216146, [-179284, -58119]
2023-09-24_04:54:00.013314774, [-179367, -58084]
2023-09-24_04:54:00.013413402, [-179324, -58235]
2023-09-24_04:54:00.013512030, [-179158, -58272]
2023-09-24_04:54:00.013610658, [-179036, -58284]
2023-09-24_04:54:00.013709286, [-178962, -58295]
2023-09-24_04:54:00.013807914, [-178802, -58348]
2023-09-24_04:54:00.013906542, [-178814, -58506]
2023-09-24_04:54:00.014005170, [-179076, -58479]
2023-09-24_04:54:00.014103798, [-179241, -58442]
2023-09-24_04:54:00.014202426, [-179284, -58371]
2023-09-24_04:54:00.014301054, [-179223, -58351]
2023-09-24_04:54:00.014399682, [-179088, -58367]
2023-09-24_04:54:00.014498310, [-179134, -58388]
2023-09-24_04:54:00.014596938, [-179231, -58405]
2023-09-24_04:54:00.014695566, [-179362, -58438]
2023-09-24_04:54:00.014794194, [-179616, -58545]
2023-09-24_04:54:00.014892821, [-179705, -58617]
2023-09-24_04:54:00.014991449, [-179538, -58600]
2023-09-24_04:54:00.015090077, [-179440, -58501]
2023-09-24_04:54:00.015188705, [-179477, -58508]
2023-09-24_04:54:00.015287333, [-179507, -58734]
2023-09-24_04:54:00.015385961, [-179663, -58735]
2023-09-24_04:54:00.015484589, [-179811, -58629]
2023-09-24_04:54:00.015583217, [-179776, -58646]
2023-09-24_04:54:00.015681845, [-179839, -58697]
2023-09-24_04:54:00.015780473, [-179953, -58832]
2023-09-24_04:54:00.015879101, [-179857, -58830]
2023-09-24_04:54:00.015977729, [-179803, -58704]
2023-09-24_04:54:00.016076357, [-179726, -58616]
2023-09-24_04:54:00.016174985, [-179587, -58589]
2023-09-24_04:54:00.016273613, [-179525, -58537]
2023-09-24_04:54:00.016372241, [-179571, -58552]
2023-09-24_04:54:00.016470869, [-179634, -58668]
2023-09-24_04:54:00.016569497, [-179611, -58768]
2023-09-24_04:54:00.016668125, [-179496, -58804]
2023-09-24_04:54:00.016766753, [-179425, -58691]
2023-09-24_04:54:00.016865381, [-179338, -58703]
2023-09-24_04:54:00.016964009, [-179288, -58786]
2023-09-24_04:54:00.017062637, [-179225, -58855]
2023-09-24_04:54:00.017161265, [-179173, -58910]
2023-09-24_04:54:00.017259893, [-179183, -58857]
2023-09-24_04:54:00.017358520, [-179360, -58799]
2023-09-24_04:54:00.017457148, [-179329, -58814]
2023-09-24_04:54:00.017555776, [-179135, -58821]
2023-09-24_04:54:00.017654404, [-179116, -58927]
2023-09-24_04:54:00.017753032, [-179032, -58947]
2023-09-24_04:54:00.017851660, [-178818, -58884]
2023-09-24_04:54:00.017950288, [-178729, -58933]
2023-09-24_04:54:00.018048916, [-178829, -58778]
2023-09-24_04:54:00.018147544, [-178951, -58746]
2023-09-24_04:54:00.018246172, [-178882, -58813]
2023-09-24_04:54:00.018344800, [-178767, -58894]
2023-09-24_04:54:00.018443428, [-178644, -58869]
2023-09-24_04:54:00.018542056, [-178504, -58781]
2023-09-24_04:54:00.018640684, [-178579, -58680]
2023-09-24_04:54:00.018739312, [-178457, -58567]
2023-09-24_04:54:00.018837940, [-178345, -58609]
2023-09-24_04:54:00.018936568, [-178358, -58695]
2023-09-24_04:54:00.019035196, [-178281, -58816]
2023-09-24_04:54:00.019133824, [-178201, -58862]
2023-09-24_04:54:00.019232452, [-178079, -58835]
2023-09-24_04:54:00.019331080, [-178077, -58836]
2023-09-24_04:54:00.019429708, [-178095, -58790]
2023-09-24_04:54:00.019528336, [-178108, -58724]
2023-09-24_04:54:00.019626964, [-178267, -58671]
2023-09-24_04:54:00.019725592, [-178158, -58561]
2023-09-24_04:54:00.019824220, [-177940, -58615]
2023-09-24_04:54:00.019922847, [-177898, -58658]
2023-09-24_04:54:00.020021475, [-177793, -58585]
2023-09-24_04:54:00.020120103, [-177896, -58629]
2023-09-24_04:54:00.020218731, [-177985, -58711]
2023-09-24_04:54:00.020317359, [-178046, -58685]
2023-09-24_04:54:00.020415987, [-178235, -58646]
2023-09-24_04:54:00.020514615, [-178193, -58621]
2023-09-24_04:54:00.020613243, [-178180, -58646]
2023-09-24_04:54:00.020711871, [-178291, -58618]
2023-09-24_04:54:00.020810499, [-178221, -58461]
2023-09-24_04:54:00.020909127, [-178243, -58407]
2023-09-24_04:54:00.021007755, [-178283, -58514]
2023-09-24_04:54:00.021106383, [-178169, -58531]
2023-09-24_04:54:00.021205011, [-178287, -58452]
2023-09-24_04:54:00.021303639, [-178465, -58298]
2023-09-24_04:54:00.021402267, [-178561, -58313]
2023-09-24_04:54:00.021500895, [-178510, -58583]
2023-09-24_04:54:00.021599523, [-178475, -58563]
2023-09-24_04:54:00.021698151, [-178486, -58502]
2023-09-24_04:54:00.021796779, [-178534, -58513]
2023-09-24_04:54:00.021895407, [-178599, -58520]
2023-09-24_04:54:00.021994035, [-178572, -58598]
2023-09-24_04:54:00.022092663, [-178468, -58619]
2023-09-24_04:54:00.022191291, [-178375, -58669]
2023-09-24_04:54:00.022289919, [-178385, -58664]
2023-09-24_04:54:00.022388546, [-178339, -58570]
2023-09-24_04:54:00.022487174, [-178201, -58541]
2023-09-24_04:54:00.022585802, [-178208, -58570]
2023-09-24_04:54:00.022684430, [-178373, -58580]
2023-09-24_04:54:00.022783058, [-178242, -58660]
2023-09-24_04:54:00.022881686, [-178174, -58640]
2023-09-24_04:54:00.022980314, [-178216, -58447]
2023-09-24_04:54:00.023078942, [-178119, -58458]
2023-09-24_04:54:00.023177570, [-178123, -58574]
2023-09-24_04:54:00.023276198, [-177976, -58604]
2023-09-24_04:54:00.023374826, [-177814, -58597]
2023-09-24_04:54:00.023473454, [-177939, -58540]
2023-09-24_04:54:00.023572082, [-177972, -58467]
2023-09-24_04:54:00.023670710, [-178039, -58320]
2023-09-24_04:54:00.023769338, [-178022, -58287]
2023-09-24_04:54:00.023867966, [-178003, -58392]
2023-09-24_04:54:00.023966594, [-178084, -58546]
2023-09-24_04:54:00.024065222, [-178051, -58609]
2023-09-24_04:54:00.024163850, [-178078, -58593]
2023-09-24_04:54:00.024262478, [-178215, -58605]
2023-09-24_04:54:00.024361106, [-178122, -58551]
2023-09-24_04:54:00.024459734, [-178125, -58433]
2023-09-24_04:54:00.024558362, [-178192, -58390]
2023-09-24_04:54:00.024656990, [-178041, -58360]
2023-09-24_04:54:00.024755618, [-177986, -58409]
2023-09-24_04:54:00.024854245, [-178053, -58444]
2023-09-24_04:54:00.024952873, [-178092, -58338]
2023-09-24_04:54:00.025051501, [-178126, -58347]
2023-09-24_04:54:00.025150129, [-178213, -58357]
2023-09-24_04:54:00.025248757, [-178327, -58325]
2023-09-24_04:54:00.025347385, [-178373, -58340]
2023-09-24_04:54:00.025446013, [-178228, -58416]
2023-09-24_04:54:00.025544641, [-178245, -58435]
2023-09-24_04:54:00.025643269, [-178468, -58357]
2023-09-24_04:54:00.025741897, [-178401, -58299]
2023-09-24_04:54:00.025840525, [-178249, -58292]
2023-09-24_04:54:00.025939153, [-178421, -58370]
2023-09-24_04:54:00.026037781, [-178652, -58367]
2023-09-24_04:54:00.026136409, [-178707, -58296]
2023-09-24_04:54:00.026235037, [-178622, -58197]
2023-09-24_04:54:00.026333665, [-178524, -58269]
2023-09-24_04:54:00.026432293, [-178554, -58231]
2023-09-24_04:54:00.026530921, [-178729, -58106]
2023-09-24_04:54:00.026629549, [-178819, -58258]
2023-09-24_04:54:00.026728177, [-178968, -58338]
2023-09-24_04:54:00.026826805, [-178942, -58385]
2023-09-24_04:54:00.026925433, [-178819, -58419]
2023-09-24_04:54:00.027024061, [-179058, -58495]
2023-09-24_04:54:00.027122689, [-179064, -58447]
2023-09-24_04:54:00.027221317, [-178842, -58276]
2023-09-24_04:54:00.027319944, [-178699, -58333]
2023-09-24_04:54:00.027418572, [-178544, -58448]
2023-09-24_04:54:00.027517200, [-178548, -58385]
2023-09-24_04:54:00.027615828, [-178509, -58273]
2023-09-24_04:54:00.027714456, [-178420, -58324]
2023-09-24_04:54:00.027813084, [-178423, -58363]
2023-09-24_04:54:00.027911712, [-178398, -58283]
2023-09-24_04:54:00.028010340, [-178411, -58293]
2023-09-24_04:54:00.028108968, [-178467, -58423]
2023-09-24_04:54:00.028207596, [-178479, -58344]
2023-09-24_04:54:00.028306224, [-178585, -58263]
2023-09-24_04:54:00.028404852, [-178488, -58461]
2023-09-24_04:54:00.028503480, [-178235, -58554]
2023-09-24_04:54:00.028602108, [-178117, -58569]
2023-09-24_04:54:00.028700736, [-178151, -58499]
2023-09-24_04:54:00.028799364, [-178243, -58345]
2023-09-24_04:54:00.028897992, [-178177, -58116]
2023-09-24_04:54:00.028996620, [-178008, -58097]
2023-09-24_04:54:00.029095248, [-178026, -58262]
2023-09-24_04:54:00.029193876, [-177896, -58260]
2023-09-24_04:54:00.029292504, [-177866, -58368]
2023-09-24_04:54:00.029391132, [-177993, -58447]
2023-09-24_04:54:00.029489760, [-177886, -58578]
2023-09-24_04:54:00.029588388, [-177791, -58604]
2023-09-24_04:54:00.029687016, [-177720, -58538]
2023-09-24_04:54:00.029785643, [-177726, -58654]
2023-09-24_04:54:00.029884271, [-177758, -58700]
2023-09-24_04:54:00.029982899, [-177619, -58624]
2023-09-24_04:54:00.030081527, [-177619, -58545]
2023-09-24_04:54:00.030180155, [-177844, -58518]
2023-09-24_04:54:00.030278783, [-177805, -58380]
2023-09-24_04:54:00.030377411, [-177686, -58277]
2023-09-24_04:54:00.030476039, [-177689, -58426]
2023-09-24_04:54:00.030574667, [-177674, -58424]
2023-09-24_04:54:00.030673295, [-177676, -58454]
2023-09-24_04:54:00.030771923, [-177676, -58627]
2023-09-24_04:54:00.030870551, [-177733, -58712]
2023-09-24_04:54:00.030969179, [-177845, -58756]
2023-09-24_04:54:00.031067807, [-178094, -58648]
2023-09-24_04:54:00.031166435, [-178222, -58567]
2023-09-24_04:54:00.031265063, [-178239, -58503]
2023-09-24_04:54:00.031363691, [-178362, -58466]
2023-09-24_04:54:00.031462319, [-178453, -58526]
2023-09-24_04:54:00.031560947, [-178368, -58643]
2023-09-24_04:54:00.031659575, [-178261, -58689]
2023-09-24_04:54:00.031758203, [-178295, -58619]
2023-09-24_04:54:00.031856831, [-178443, -58649]
2023-09-24_04:54:00.031955459, [-178407, -58660]
2023-09-24_04:54:00.032054087, [-178367, -58616]
2023-09-24_04:54:00.032152715, [-178568, -58669]
2023-09-24_04:54:00.032251342, [-178671, -58659]
2023-09-24_04:54:00.032349970, [-178743, -58702]
2023-09-24_04:54:00.032448598, [-178849, -58886]
2023-09-24_04:54:00.032547226, [-178838, -58989]
2023-09-24_04:54:00.032645854, [-178877, -58929]
2023-09-24_04:54:00.032744482, [-178936, -58808]
2023-09-24_04:54:00.032843110, [-178993, -58786]
2023-09-24_04:54:00.032941738, [-179026, -58795]
2023-09-24_04:54:00.033040366, [-179032, -58821]
2023-09-24_04:54:00.033138994, [-178910, -58700]
2023-09-24_04:54:00.033237622, [-178715, -58559]
2023-09-24_04:54:00.033336250, [-178820, -58547]
2023-09-24_04:54:00.033434878, [-178896, -58534]
2023-09-24_04:54:00.033533506, [-178887, -58557]
2023-09-24_04:54:00.033632134, [-178725, -58538]
2023-09-24_04:54:00.033730762, [-178748, -58627]
2023-09-24_04:54:00.033829390, [-179032, -58675]
2023-09-24_04:54:00.033928018, [-179162, -58701]
2023-09-24_04:54:00.034026646, [-178975, -58713]
2023-09-24_04:54:00.034125274, [-178782, -58701]
2023-09-24_04:54:00.034223902, [-178761, -58630]
2023-09-24_04:54:00.034322530, [-178868, -58502]
2023-09-24_04:54:00.034421158, [-178801, -58486]
2023-09-24_04:54:00.034519786, [-178657, -58564]
2023-09-24_04:54:00.034618414, [-178682, -58529]
2023-09-24_04:54:00.034717041, [-178791, -58440]
2023-09-24_04:54:00.034815669, [-178820, -58533]
2023-09-24_04:54:00.034914297, [-178754, -58727]
2023-09-24_04:54:00.035012925, [-178714, -58742]
2023-09-24_04:54:00.035111553, [-178791, -58489]
2023-09-24_04:54:00.035210181, [-178945, -58466]
2023-09-24_04:54:00.035308809, [-178978, -58608]
2023-09-24_04:54:00.035407437, [-178909, -58560]
2023-09-24_04:54:00.035506065, [-178890, -58463]
2023-09-24_04:54:00.035604693, [-178916, -58343]
2023-09-24_04:54:00.035703321, [-178951, -58336]
2023-09-24_04:54:00.035801949, [-178918, -58347]
2023-09-24_04:54:00.035900577, [-178972, -58356]
2023-09-24_04:54:00.035999205, [-179080, -58525]
2023-09-24_04:54:00.036097833, [-179192, -58615]
2023-09-24_04:54:00.036196461, [-179382, -58588]
2023-09-24_04:54:00.036295089, [-179441, -58579]
2023-09-24_04:54:00.036393717, [-179383, -58430]
2023-09-24_04:54:00.036492345, [-179472, -58337]
2023-09-24_04:54:00.036590973, [-179462, -58330]
2023-09-24_04:54:00.036689601, [-179295, -58267]
2023-09-24_04:54:00.036788229, [-179198, -58311]
2023-09-24_04:54:00.036886857, [-179223, -58314]
2023-09-24_04:54:00.036985485, [-179278, -58275]
2023-09-24_04:54:00.037084113, [-179243, -58342]
2023-09-24_04:54:00.037182740, [-179312, -58518]
2023-09-24_04:54:00.037281368, [-179484, -58503]
2023-09-24_04:54:00.037379996, [-179392, -58460]
2023-09-24_04:54:00.037478624, [-179273, -58683]
2023-09-24_04:54:00.037577252, [-179273, -58845]
2023-09-24_04:54:00.037675880, [-179288, -58722]
2023-09-24_04:54:00.037774508, [-179279, -58644]
2023-09-24_04:54:00.037873136, [-179176, -58643]
2023-09-24_04:54:00.037971764, [-179126, -58637]
2023-09-24_04:54:00.038070392, [-179045, -58526]
2023-09-24_04:54:00.038169020, [-178827, -58401]
2023-09-24_04:54:00.038267648, [-178681, -58441]
2023-09-24_04:54:00.038366276, [-178727, -58455]
2023-09-24_04:54:00.038464904, [-178659, -58607]
2023-09-24_04:54:00.038563532, [-178607, -58700]
2023-09-24_04:54:00.038662160, [-178508, -58662]
2023-09-24_04:54:00.038760788, [-178445, -58800]
2023-09-24_04:54:00.038859416, [-178526, -58845]
2023-09-24_04:54:00.038958044, [-178395, -58725]
2023-09-24_04:54:00.039056672, [-178335, -58532]
2023-09-24_04:54:00.039155300, [-178457, -58449]
2023-09-24_04:54:00.039253928, [-178345, -58426]
2023-09-24_04:54:00.039352556, [-178273, -58385]
2023-09-24_04:54:00.039451184, [-178383, -58438]
2023-09-24_04:54:00.039549812, [-178354, -58545]
2023-09-24_04:54:00.039648440, [-178275, -58576]
2023-09-24_04:54:00.039747067, [-178180, -58569]
2023-09-24_04:54:00.039845695, [-178132, -58648]
2023-09-24_04:54:00.039944323, [-178131, -58624]
2023-09-24_04:54:00.040042951, [-178168, -58661]
2023-09-24_04:54:00.040141579, [-178118, -58701]
2023-09-24_04:54:00.040240207, [-178051, -58579]
2023-09-24_04:54:00.040338835, [-178078, -58466]
2023-09-24_04:54:00.040437463, [-178015, -58480]
2023-09-24_04:54:00.040536091, [-177871, -58528]
2023-09-24_04:54:00.040634719, [-177850, -58661]
2023-09-24_04:54:00.040733347, [-177986, -58665]
2023-09-24_04:54:00.040831975, [-178046, -58556]
2023-09-24_04:54:00.040930603, [-177975, -58456]
2023-09-24_04:54:00.041029231, [-178028, -58402]
2023-09-24_04:54:00.041127859, [-178304, -58438]
2023-09-24_04:54:00.041226487, [-178429, -58523]
2023-09-24_04:54:00.041325115, [-178349, -58648]
2023-09-24_04:54:00.041423743, [-178325, -58597]
2023-09-24_04:54:00.041522371, [-178318, -58557]
2023-09-24_04:54:00.041620999, [-178296, -58674]
2023-09-24_04:54:00.041719627, [-178245, -58675]
2023-09-24_04:54:00.041818255, [-178369, -58600]
2023-09-24_04:54:00.041916883, [-178530, -58508]
2023-09-24_04:54:00.042015511, [-178526, -58429]
2023-09-24_04:54:00.042114139, [-178528, -58509]
2023-09-24_04:54:00.042212766, [-178498, -58545]
2023-09-24_04:54:00.042311394, [-178530, -58463]
2023-09-24_04:54:00.042410022, [-178570, -58523]
2023-09-24_04:54:00.042508650, [-178558, -58562]
2023-09-24_04:54:00.042607278, [-178561, -58514]
2023-09-24_04:54:00.042705906, [-178442, -58546]
2023-09-24_04:54:00.042804534, [-178285, -58561]
2023-09-24_04:54:00.042903162, [-178280, -58475]
2023-09-24_04:54:00.043001790, [-178393, -58455]
2023-09-24_04:54:00.043100418, [-178398, -58609]
2023-09-24_04:54:00.043199046, [-178318, -58725]
2023-09-24_04:54:00.043297674, [-178204, -58592]
2023-09-24_04:54:00.043396302, [-178116, -58440]
2023-09-24_04:54:00.043494930, [-178257, -58497]
2023-09-24_04:54:00.043593558, [-178397, -58524]
2023-09-24_04:54:00.043692186, [-178343, -58383]
2023-09-24_04:54:00.043790814, [-178135, -58354]
2023-09-24_04:54:00.043889442, [-178012, -58447]
2023-09-24_04:54:00.043988070, [-178064, -58498]
2023-09-24_04:54:00.044086698, [-178211, -58537]
2023-09-24_04:54:00.044185326, [-178291, -58630]
2023-09-24_04:54:00.044283954, [-178269, -58724]
2023-09-24_04:54:00.044382582, [-178251, -58717]
2023-09-24_04:54:00.044481210, [-178099, -58666]
2023-09-24_04:54:00.044579838, [-178046, -58636]
2023-09-24_04:54:00.044678465, [-178241, -58574]
2023-09-24_04:54:00.044777093, [-178387, -58428]
2023-09-24_04:54:00.044875721, [-178411, -58359]
2023-09-24_04:54:00.044974349, [-178414, -58417]
