"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-301U2/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [-194, 38]
2023-09-24_04:54:00.000098627, [-83, -101]
2023-09-24_04:54:00.000197255, [-676, -180]
2023-09-24_04:54:00.000295883, [-1096, -96]
2023-09-24_04:54:00.000394511, [-1121, -75]
2023-09-24_04:54:00.000493139, [-1209, -41]
2023-09-24_04:54:00.000591767, [-1106, -20]
2023-09-24_04:54:00.000690395, [-670, -78]
2023-09-24_04:54:00.000789023, [-134, -96]
2023-09-24_04:54:00.000887651, [197, -70]
2023-09-24_04:54:00.000986279, [462, -10]
2023-09-24_04:54:00.001084907, [739, -11]
2023-09-24_04:54:00.001183535, [685, -68]
2023-09-24_04:54:00.001282163, [144, -48]
2023-09-24_04:54:00.001380791, [-775, 55]
2023-09-24_04:54:00.001479419, [-1380, -56]
2023-09-24_04:54:00.001578047, [-1366, -152]
2023-09-24_04:54:00.001676675, [-736, -73]
2023-09-24_04:54:00.001775303, [-27, 20]
2023-09-24_04:54:00.001873931, [-21, 4]
2023-09-24_04:54:00.001972559, [-312, -37]
2023-09-24_04:54:00.002071187, [-164, -35]
2023-09-24_04:54:00.002169815, [331, -1]
2023-09-24_04:54:00.002268443, [762, 8]
2023-09-24_04:54:00.002367071, [448, -48]
2023-09-24_04:54:00.002465699, [-259, -131]
2023-09-24_04:54:00.002564326, [-526, -246]
2023-09-24_04:54:00.002662954, [-323, -263]
2023-09-24_04:54:00.002761582, [105, -238]
2023-09-24_04:54:00.002860210, [97, -189]
2023-09-24_04:54:00.002958838, [-620, -69]
2023-09-24_04:54:00.003057466, [-1166, 13]
2023-09-24_04:54:00.003156094, [-803, 86]
2023-09-24_04:54:00.003254722, [-41, 121]
2023-09-24_04:54:00.003353350, [138, 51]
2023-09-24_04:54:00.003451978, [-80, 5]
2023-09-24_04:54:00.003550606, [-71, 36]
2023-09-24_04:54:00.003649234, [90, -70]
2023-09-24_04:54:00.003747862, [338, -147]
2023-09-24_04:54:00.003846490, [365, -83]
2023-09-24_04:54:00.003945118, [-101, 35]
2023-09-24_04:54:00.004043746, [-857, 87]
2023-09-24_04:54:00.004142374, [-1244, 18]
2023-09-24_04:54:00.004241002, [-945, 31]
2023-09-24_04:54:00.004339630, [-78, 66]
2023-09-24_04:54:00.004438258, [575, -100]
2023-09-24_04:54:00.004536886, [538, -140]
2023-09-24_04:54:00.004635514, [334, -30]
2023-09-24_04:54:00.004734142, [524, -60]
2023-09-24_04:54:00.004832770, [878, 14]
2023-09-24_04:54:00.004931398, [535, 33]
2023-09-24_04:54:00.005030025, [-287, -18]
2023-09-24_04:54:00.005128653, [-474, -11]
2023-09-24_04:54:00.005227281, [-255, -116]
2023-09-24_04:54:00.005325909, [308, -33]
2023-09-24_04:54:00.005424537, [588, 66]
2023-09-24_04:54:00.005523165, [332, 107]
2023-09-24_04:54:00.005621793, [313, 94]
2023-09-24_04:54:00.005720421, [66, 71]
2023-09-24_04:54:00.005819049, [-27, 150]
2023-09-24_04:54:00.005917677, [202, 63]
2023-09-24_04:54:00.006016305, [353, -34]
2023-09-24_04:54:00.006114933, [594, -52]
2023-09-24_04:54:00.006213561, [741, -72]
2023-09-24_04:54:00.006312189, [353, 39]
2023-09-24_04:54:00.006410817, [-127, 123]
2023-09-24_04:54:00.006509445, [-72, 100]
2023-09-24_04:54:00.006608073, [51, 63]
2023-09-24_04:54:00.006706701, [-104, 96]
2023-09-24_04:54:00.006805329, [-90, 138]
