"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-311M2/DIA/BPM-02/fa"
# t, [x, y]
2023-09-24_04:54:00.011440843, [-140571, -117477]
2023-09-24_04:54:00.011539471, [-140781, -117522]
2023-09-24_04:54:00.011638099, [-140787, -117619]
2023-09-24_04:54:00.011736727, [-140747, -117698]
2023-09-24_04:54:00.011835355, [-140849, -117811]
2023-09-24_04:54:00.011933983, [-141016, -117782]
2023-09-24_04:54:00.012032611, [-141122, -117626]
2023-09-24_04:54:00.012131239, [-141100, -117641]
2023-09-24_04:54:00.012229867, [-141177, -117645]
2023-09-24_04:54:00.012328495, [-141252, -117593]
2023-09-24_04:54:00.012427122, [-141226, -117677]
2023-09-24_04:54:00.012525750, [-141212, -117721]
2023-09-24_04:54:00.012624378, [-141227, -117694]
2023-09-24_04:54:00.012723006, [-141336, -117695]
2023-09-24_04:54:00.012821634, [-141486, -117745]
2023-09-24_04:54:00.012920262, [-141544, -117683]
2023-09-24_04:54:00.013018890, [-141447, -117575]
2023-09-24_04:54:00.013117518, [-141629, -117550]
2023-09-24_04:54:00.013216146, [-141763, -117573]
2023-09-24_04:54:00.013314774, [-141769, -117587]
2023-09-24_04:54:00.013413402, [-141928, -117518]
2023-09-24_04:54:00.013512030, [-141851, -117537]
2023-09-24_04:54:00.013610658, [-141703, -117565]
2023-09-24_04:54:00.013709286, [-141753, -117536]
2023-09-24_04:54:00.013807914, [-141630, -117500]
2023-09-24_04:54:00.013906542, [-141605, -117468]
2023-09-24_04:54:00.014005170, [-141615, -117461]
2023-09-24_04:54:00.014103798, [-141622, -117410]
2023-09-24_04:54:00.014202426, [-141739, -117421]
2023-09-24_04:54:00.014301054, [-141684, -117430]
2023-09-24_04:54:00.014399682, [-141609, -117403]
2023-09-24_04:54:00.014498310, [-141810, -117416]
2023-09-24_04:54:00.014596938, [-142103, -117429]
2023-09-24_04:54:00.014695566, [-142357, -117329]
2023-09-24_04:54:00.014794194, [-142374, -117256]
2023-09-24_04:54:00.014892821, [-142168, -117279]
2023-09-24_04:54:00.014991449, [-142038, -117230]
2023-09-24_04:54:00.015090077, [-142089, -117160]
2023-09-24_04:54:00.015188705, [-142181, -117205]
2023-09-24_04:54:00.015287333, [-142326, -117292]
2023-09-24_04:54:00.015385961, [-142477, -117307]
2023-09-24_04:54:00.015484589, [-142622, -117184]
2023-09-24_04:54:00.015583217, [-142652, -117134]
2023-09-24_04:54:00.015681845, [-142711, -117165]
2023-09-24_04:54:00.015780473, [-142802, -117125]
2023-09-24_04:54:00.015879101, [-142689, -117168]
2023-09-24_04:54:00.015977729, [-142658, -117304]
2023-09-24_04:54:00.016076357, [-142620, -117222]
2023-09-24_04:54:00.016174985, [-142536, -117096]
2023-09-24_04:54:00.016273613, [-142405, -117045]
2023-09-24_04:54:00.016372241, [-142384, -117125]
2023-09-24_04:54:00.016470869, [-142339, -117213]
2023-09-24_04:54:00.016569497, [-142133, -117246]
2023-09-24_04:54:00.016668125, [-141910, -117237]
2023-09-24_04:54:00.016766753, [-141856, -117106]
2023-09-24_04:54:00.016865381, [-141827, -117108]
2023-09-24_04:54:00.016964009, [-141621, -117142]
2023-09-24_04:54:00.017062637, [-141619, -117268]
2023-09-24_04:54:00.017161265, [-141649, -117319]
2023-09-24_04:54:00.017259893, [-141514, -117237]
2023-09-24_04:54:00.017358520, [-141400, -117330]
2023-09-24_04:54:00.017457148, [-141320, -117290]
2023-09-24_04:54:00.017555776, [-141221, -117153]
2023-09-24_04:54:00.017654404, [-141111, -117114]
2023-09-24_04:54:00.017753032, [-141156, -117194]
2023-09-24_04:54:00.017851660, [-141192, -117255]
2023-09-24_04:54:00.017950288, [-141197, -117241]
2023-09-24_04:54:00.018048916, [-141323, -117200]
2023-09-24_04:54:00.018147544, [-141329, -117194]
2023-09-24_04:54:00.018246172, [-141189, -117275]
2023-09-24_04:54:00.018344800, [-140978, -117415]
2023-09-24_04:54:00.018443428, [-140832, -117499]
2023-09-24_04:54:00.018542056, [-140721, -117354]
2023-09-24_04:54:00.018640684, [-140547, -117271]
2023-09-24_04:54:00.018739312, [-140503, -117425]
2023-09-24_04:54:00.018837940, [-140449, -117443]
2023-09-24_04:54:00.018936568, [-140299, -117246]
2023-09-24_04:54:00.019035196, [-140200, -117246]
2023-09-24_04:54:00.019133824, [-140169, -117379]
2023-09-24_04:54:00.019232452, [-140262, -117387]
2023-09-24_04:54:00.019331080, [-140364, -117267]
2023-09-24_04:54:00.019429708, [-140261, -117224]
2023-09-24_04:54:00.019528336, [-140027, -117246]
2023-09-24_04:54:00.019626964, [-139845, -117211]
