"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-305M2/DIA/BPM-02/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [757, -92]
2023-09-24_04:54:00.000098627, [483, -54]
2023-09-24_04:54:00.000197255, [312, -18]
2023-09-24_04:54:00.000295883, [368, -89]
2023-09-24_04:54:00.000394511, [536, -149]
2023-09-24_04:54:00.000493139, [515, -89]
2023-09-24_04:54:00.000591767, [299, -72]
2023-09-24_04:54:00.000690395, [30, -43]
2023-09-24_04:54:00.000789023, [-79, -94]
2023-09-24_04:54:00.000887651, [-14, -186]
2023-09-24_04:54:00.000986279, [-38, -284]
2023-09-24_04:54:00.001084907, [-21, -212]
2023-09-24_04:54:00.001183535, [86, -134]
2023-09-24_04:54:00.001282163, [116, -134]
2023-09-24_04:54:00.001380791, [-59, -54]
2023-09-24_04:54:00.001479419, [-253, -26]
2023-09-24_04:54:00.001578047, [-280, -70]
2023-09-24_04:54:00.001676675, [-392, -148]
2023-09-24_04:54:00.001775303, [-528, -186]
2023-09-24_04:54:00.001873931, [-527, -107]
2023-09-24_04:54:00.001972559, [-523, -105]
2023-09-24_04:54:00.002071187, [-537, -258]
2023-09-24_04:54:00.002169815, [-610, -219]
2023-09-24_04:54:00.002268443, [-548, -4]
2023-09-24_04:54:00.002367071, [-512, 12]
2023-09-24_04:54:00.002465699, [-632, -41]
2023-09-24_04:54:00.002564326, [-666, -23]
2023-09-24_04:54:00.002662954, [-654, 32]
2023-09-24_04:54:00.002761582, [-767, 48]
2023-09-24_04:54:00.002860210, [-914, -45]
2023-09-24_04:54:00.002958838, [-831, -46]
2023-09-24_04:54:00.003057466, [-627, -36]
2023-09-24_04:54:00.003156094, [-519, -84]
2023-09-24_04:54:00.003254722, [-512, -178]
2023-09-24_04:54:00.003353350, [-662, -272]
2023-09-24_04:54:00.003451978, [-635, -257]
2023-09-24_04:54:00.003550606, [-503, -217]
2023-09-24_04:54:00.003649234, [-676, -244]
2023-09-24_04:54:00.003747862, [-740, -159]
2023-09-24_04:54:00.003846490, [-804, -142]
2023-09-24_04:54:00.003945118, [-853, -159]
2023-09-24_04:54:00.004043746, [-768, -191]
2023-09-24_04:54:00.004142374, [-881, -204]
2023-09-24_04:54:00.004241002, [-1125, -173]
2023-09-24_04:54:00.004339630, [-1350, -384]
2023-09-24_04:54:00.004438258, [-1354, -479]
2023-09-24_04:54:00.004536886, [-1227, -277]
2023-09-24_04:54:00.004635514, [-1321, -141]
2023-09-24_04:54:00.004734142, [-1339, -278]
2023-09-24_04:54:00.004832770, [-1236, -396]
2023-09-24_04:54:00.004931398, [-1248, -227]
2023-09-24_04:54:00.005030025, [-1251, -165]
2023-09-24_04:54:00.005128653, [-1311, -175]
2023-09-24_04:54:00.005227281, [-1387, -117]
2023-09-24_04:54:00.005325909, [-1462, -91]
2023-09-24_04:54:00.005424537, [-1408, -106]
2023-09-24_04:54:00.005523165, [-1295, -264]
2023-09-24_04:54:00.005621793, [-1336, -348]
2023-09-24_04:54:00.005720421, [-1469, -187]
2023-09-24_04:54:00.005819049, [-1384, -103]
2023-09-24_04:54:00.005917677, [-1282, -59]
2023-09-24_04:54:00.006016305, [-1264, -20]
2023-09-24_04:54:00.006114933, [-1173, -70]
2023-09-24_04:54:00.006213561, [-1260, -123]
2023-09-24_04:54:00.006312189, [-1301, -231]
2023-09-24_04:54:00.006410817, [-1236, -283]
2023-09-24_04:54:00.006509445, [-1204, -219]
2023-09-24_04:54:00.006608073, [-1093, -275]
2023-09-24_04:54:00.006706701, [-850, -381]
2023-09-24_04:54:00.006805329, [-804, -363]
2023-09-24_04:54:00.006903957, [-868, -359]
2023-09-24_04:54:00.007002585, [-875, -219]
2023-09-24_04:54:00.007101213, [-781, -183]
2023-09-24_04:54:00.007199841, [-568, -240]
2023-09-24_04:54:00.007298469, [-566, -202]
2023-09-24_04:54:00.007397097, [-582, -161]
2023-09-24_04:54:00.007495724, [-440, -32]
2023-09-24_04:54:00.007594352, [-431, 49]
2023-09-24_04:54:00.007692980, [-306, -74]
2023-09-24_04:54:00.007791608, [-224, -212]
2023-09-24_04:54:00.007890236, [-288, -200]
2023-09-24_04:54:00.007988864, [-222, -122]
2023-09-24_04:54:00.008087492, [-180, -111]
2023-09-24_04:54:00.008186120, [-102, -79]
2023-09-24_04:54:00.008284748, [-12, -48]
2023-09-24_04:54:00.008383376, [90, -95]
2023-09-24_04:54:00.008482004, [207, -208]
2023-09-24_04:54:00.008580632, [146, -146]
2023-09-24_04:54:00.008679260, [43, -15]
2023-09-24_04:54:00.008777888, [77, 4]
2023-09-24_04:54:00.008876516, [196, -111]
2023-09-24_04:54:00.008975144, [331, -221]
2023-09-24_04:54:00.009073772, [334, -219]
2023-09-24_04:54:00.009172400, [330, -191]
2023-09-24_04:54:00.009271028, [338, -175]
2023-09-24_04:54:00.009369656, [371, -209]
2023-09-24_04:54:00.009468284, [526, -267]
2023-09-24_04:54:00.009566912, [638, -346]
2023-09-24_04:54:00.009665540, [653, -327]
2023-09-24_04:54:00.009764168, [536, -233]
2023-09-24_04:54:00.009862796, [271, -118]
2023-09-24_04:54:00.009961423, [120, -141]
2023-09-24_04:54:00.010060051, [143, -248]
2023-09-24_04:54:00.010158679, [290, -163]
2023-09-24_04:54:00.010257307, [557, -171]
2023-09-24_04:54:00.010355935, [631, -357]
2023-09-24_04:54:00.010454563, [457, -366]
2023-09-24_04:54:00.010553191, [324, -355]
2023-09-24_04:54:00.010651819, [218, -396]
2023-09-24_04:54:00.010750447, [64, -396]
2023-09-24_04:54:00.010849075, [-69, -550]
2023-09-24_04:54:00.010947703, [-22, -590]
2023-09-24_04:54:00.011046331, [97, -478]
2023-09-24_04:54:00.011144959, [-14, -358]
2023-09-24_04:54:00.011243587, [-229, -395]
2023-09-24_04:54:00.011342215, [-458, -501]
2023-09-24_04:54:00.011440843, [-600, -369]
2023-09-24_04:54:00.011539471, [-497, -237]
2023-09-24_04:54:00.011638099, [-276, -275]
2023-09-24_04:54:00.011736727, [-300, -422]
2023-09-24_04:54:00.011835355, [-560, -507]
2023-09-24_04:54:00.011933983, [-569, -477]
2023-09-24_04:54:00.012032611, [-552, -421]
2023-09-24_04:54:00.012131239, [-595, -380]
2023-09-24_04:54:00.012229867, [-524, -446]
2023-09-24_04:54:00.012328495, [-474, -445]
2023-09-24_04:54:00.012427122, [-431, -317]
2023-09-24_04:54:00.012525750, [-296, -376]
2023-09-24_04:54:00.012624378, [-118, -501]
2023-09-24_04:54:00.012723006, [-222, -380]
2023-09-24_04:54:00.012821634, [-367, -196]
2023-09-24_04:54:00.012920262, [-200, -132]
2023-09-24_04:54:00.013018890, [45, -264]
2023-09-24_04:54:00.013117518, [27, -418]
2023-09-24_04:54:00.013216146, [-148, -360]
2023-09-24_04:54:00.013314774, [-51, -203]
2023-09-24_04:54:00.013413402, [68, -120]
2023-09-24_04:54:00.013512030, [-27, -224]
2023-09-24_04:54:00.013610658, [-154, -358]
2023-09-24_04:54:00.013709286, [-181, -449]
2023-09-24_04:54:00.013807914, [-127, -312]
2023-09-24_04:54:00.013906542, [-196, -125]
2023-09-24_04:54:00.014005170, [-267, -91]
2023-09-24_04:54:00.014103798, [-175, -34]
2023-09-24_04:54:00.014202426, [-167, 69]
2023-09-24_04:54:00.014301054, [-254, 56]
2023-09-24_04:54:00.014399682, [-249, -2]
2023-09-24_04:54:00.014498310, [-85, -123]
2023-09-24_04:54:00.014596938, [-34, -113]
2023-09-24_04:54:00.014695566, [-122, 90]
2023-09-24_04:54:00.014794194, [-163, 24]
2023-09-24_04:54:00.014892821, [-83, 39]
2023-09-24_04:54:00.014991449, [75, 28]
2023-09-24_04:54:00.015090077, [118, -18]
2023-09-24_04:54:00.015188705, [117, -53]
2023-09-24_04:54:00.015287333, [64, -37]
2023-09-24_04:54:00.015385961, [-86, 147]
2023-09-24_04:54:00.015484589, [-100, 246]
2023-09-24_04:54:00.015583217, [-5, 192]
2023-09-24_04:54:00.015681845, [-50, -40]
2023-09-24_04:54:00.015780473, [-135, -242]
2023-09-24_04:54:00.015879101, [-113, -323]
2023-09-24_04:54:00.015977729, [-154, -264]
2023-09-24_04:54:00.016076357, [-461, -67]
2023-09-24_04:54:00.016174985, [-614, 128]
2023-09-24_04:54:00.016273613, [-542, 210]
2023-09-24_04:54:00.016372241, [-366, 150]
2023-09-24_04:54:00.016470869, [-241, 116]
2023-09-24_04:54:00.016569497, [-180, 134]
2023-09-24_04:54:00.016668125, [-208, 92]
2023-09-24_04:54:00.016766753, [-406, -2]
2023-09-24_04:54:00.016865381, [-617, 28]
2023-09-24_04:54:00.016964009, [-800, 161]
2023-09-24_04:54:00.017062637, [-728, 118]
2023-09-24_04:54:00.017161265, [-641, -72]
2023-09-24_04:54:00.017259893, [-589, -97]
2023-09-24_04:54:00.017358520, [-441, -34]
2023-09-24_04:54:00.017457148, [-336, 31]
2023-09-24_04:54:00.017555776, [-165, 61]
2023-09-24_04:54:00.017654404, [-104, 80]
2023-09-24_04:54:00.017753032, [-207, 98]
2023-09-24_04:54:00.017851660, [-268, 11]
2023-09-24_04:54:00.017950288, [-277, -21]
2023-09-24_04:54:00.018048916, [-208, -33]
2023-09-24_04:54:00.018147544, [7, -55]
2023-09-24_04:54:00.018246172, [114, -82]
2023-09-24_04:54:00.018344800, [120, -10]
2023-09-24_04:54:00.018443428, [151, -24]
2023-09-24_04:54:00.018542056, [191, -212]
2023-09-24_04:54:00.018640684, [234, -334]
2023-09-24_04:54:00.018739312, [373, -172]
2023-09-24_04:54:00.018837940, [543, -33]
2023-09-24_04:54:00.018936568, [632, -21]
2023-09-24_04:54:00.019035196, [758, -1]
2023-09-24_04:54:00.019133824, [733, 3]
2023-09-24_04:54:00.019232452, [580, -31]
2023-09-24_04:54:00.019331080, [588, -13]
2023-09-24_04:54:00.019429708, [686, 50]
2023-09-24_04:54:00.019528336, [775, -112]
2023-09-24_04:54:00.019626964, [883, -244]
2023-09-24_04:54:00.019725592, [851, -200]
2023-09-24_04:54:00.019824220, [760, -186]
2023-09-24_04:54:00.019922847, [713, -145]
2023-09-24_04:54:00.020021475, [696, -119]
2023-09-24_04:54:00.020120103, [828, -10]
2023-09-24_04:54:00.020218731, [836, -46]
2023-09-24_04:54:00.020317359, [660, -209]
