"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-318M2/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [-612, -524]
2023-09-24_04:54:00.000098627, [-684, -389]
2023-09-24_04:54:00.000197255, [-718, -101]
2023-09-24_04:54:00.000295883, [-732, -76]
2023-09-24_04:54:00.000394511, [-841, -82]
2023-09-24_04:54:00.000493139, [-889, 58]
2023-09-24_04:54:00.000591767, [-708, -30]
2023-09-24_04:54:00.000690395, [-385, -233]
2023-09-24_04:54:00.000789023, [-102, -323]
2023-09-24_04:54:00.000887651, [-94, -254]
2023-09-24_04:54:00.000986279, [-155, -272]
2023-09-24_04:54:00.001084907, [3, -382]
2023-09-24_04:54:00.001183535, [34, -385]
2023-09-24_04:54:00.001282163, [-299, -381]
2023-09-24_04:54:00.001380791, [-528, -462]
2023-09-24_04:54:00.001479419, [-604, -469]
2023-09-24_04:54:00.001578047, [-550, -242]
2023-09-24_04:54:00.001676675, [-261, -226]
2023-09-24_04:54:00.001775303, [14, -316]
2023-09-24_04:54:00.001873931, [167, -249]
2023-09-24_04:54:00.001972559, [43, -212]
2023-09-24_04:54:00.002071187, [-92, -151]
2023-09-24_04:54:00.002169815, [167, -48]
2023-09-24_04:54:00.002268443, [367, -164]
2023-09-24_04:54:00.002367071, [185, -343]
2023-09-24_04:54:00.002465699, [-54, -445]
2023-09-24_04:54:00.002564326, [-116, -410]
2023-09-24_04:54:00.002662954, [52, -321]
2023-09-24_04:54:00.002761582, [133, -303]
2023-09-24_04:54:00.002860210, [87, -261]
2023-09-24_04:54:00.002958838, [-104, -141]
2023-09-24_04:54:00.003057466, [-261, -17]
2023-09-24_04:54:00.003156094, [-26, 14]
2023-09-24_04:54:00.003254722, [208, -33]
2023-09-24_04:54:00.003353350, [309, -10]
2023-09-24_04:54:00.003451978, [208, 80]
2023-09-24_04:54:00.003550606, [353, 71]
2023-09-24_04:54:00.003649234, [607, -49]
2023-09-24_04:54:00.003747862, [541, -246]
2023-09-24_04:54:00.003846490, [468, -260]
2023-09-24_04:54:00.003945118, [298, -164]
2023-09-24_04:54:00.004043746, [47, -169]
2023-09-24_04:54:00.004142374, [-125, -188]
2023-09-24_04:54:00.004241002, [-61, -230]
2023-09-24_04:54:00.004339630, [205, -121]
2023-09-24_04:54:00.004438258, [414, -82]
2023-09-24_04:54:00.004536886, [468, -185]
2023-09-24_04:54:00.004635514, [581, -238]
2023-09-24_04:54:00.004734142, [717, -128]
2023-09-24_04:54:00.004832770, [753, -74]
2023-09-24_04:54:00.004931398, [752, -87]
2023-09-24_04:54:00.005030025, [537, 26]
2023-09-24_04:54:00.005128653, [268, 64]
2023-09-24_04:54:00.005227281, [238, 66]
2023-09-24_04:54:00.005325909, [528, 150]
2023-09-24_04:54:00.005424537, [736, 334]
2023-09-24_04:54:00.005523165, [700, 240]
2023-09-24_04:54:00.005621793, [697, 82]
2023-09-24_04:54:00.005720421, [541, 139]
2023-09-24_04:54:00.005819049, [354, 221]
2023-09-24_04:54:00.005917677, [296, 166]
2023-09-24_04:54:00.006016305, [347, -39]
2023-09-24_04:54:00.006114933, [564, -7]
2023-09-24_04:54:00.006213561, [581, 84]
2023-09-24_04:54:00.006312189, [477, 41]
2023-09-24_04:54:00.006410817, [445, -7]
2023-09-24_04:54:00.006509445, [317, 11]
2023-09-24_04:54:00.006608073, [203, 161]
2023-09-24_04:54:00.006706701, [215, 230]
2023-09-24_04:54:00.006805329, [276, 159]
2023-09-24_04:54:00.006903957, [258, 139]
2023-09-24_04:54:00.007002585, [256, 249]
2023-09-24_04:54:00.007101213, [138, 360]
2023-09-24_04:54:00.007199841, [134, 328]
2023-09-24_04:54:00.007298469, [263, 235]
2023-09-24_04:54:00.007397097, [157, 221]
2023-09-24_04:54:00.007495724, [122, 199]
2023-09-24_04:54:00.007594352, [286, 148]
2023-09-24_04:54:00.007692980, [254, 370]
2023-09-24_04:54:00.007791608, [115, 482]
2023-09-24_04:54:00.007890236, [92, 322]
2023-09-24_04:54:00.007988864, [95, 158]
2023-09-24_04:54:00.008087492, [82, 47]
2023-09-24_04:54:00.008186120, [125, 29]
2023-09-24_04:54:00.008284748, [163, 129]
2023-09-24_04:54:00.008383376, [245, 156]
2023-09-24_04:54:00.008482004, [369, 12]
2023-09-24_04:54:00.008580632, [310, 175]
2023-09-24_04:54:00.008679260, [121, 295]
2023-09-24_04:54:00.008777888, [226, 177]
2023-09-24_04:54:00.008876516, [666, 106]
2023-09-24_04:54:00.008975144, [633, 287]
2023-09-24_04:54:00.009073772, [132, 607]
2023-09-24_04:54:00.009172400, [-76, 591]
2023-09-24_04:54:00.009271028, [42, 428]
2023-09-24_04:54:00.009369656, [193, 285]
2023-09-24_04:54:00.009468284, [323, 136]
