"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-315U5/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [476, 173]
2023-09-24_04:54:00.000098627, [469, 253]
2023-09-24_04:54:00.000197255, [-154, 218]
2023-09-24_04:54:00.000295883, [-789, 130]
2023-09-24_04:54:00.000394511, [-1132, 164]
2023-09-24_04:54:00.000493139, [-1293, 77]
2023-09-24_04:54:00.000591767, [-1168, 64]
2023-09-24_04:54:00.000690395, [-1010, 47]
2023-09-24_04:54:00.000789023, [-500, -34]
2023-09-24_04:54:00.000887651, [-220, 10]
2023-09-24_04:54:00.000986279, [-227, 11]
2023-09-24_04:54:00.001084907, [98, 7]
2023-09-24_04:54:00.001183535, [29, 76]
2023-09-24_04:54:00.001282163, [-757, 121]
2023-09-24_04:54:00.001380791, [-1794, 157]
2023-09-24_04:54:00.001479419, [-2472, 147]
2023-09-24_04:54:00.001578047, [-2586, 54]
2023-09-24_04:54:00.001676675, [-2091, 141]
2023-09-24_04:54:00.001775303, [-1382, 166]
2023-09-24_04:54:00.001873931, [-964, 43]
2023-09-24_04:54:00.001972559, [-1153, 148]
2023-09-24_04:54:00.002071187, [-1220, 256]
2023-09-24_04:54:00.002169815, [-703, 258]
2023-09-24_04:54:00.002268443, [-320, 256]
2023-09-24_04:54:00.002367071, [-634, 278]
2023-09-24_04:54:00.002465699, [-1243, 235]
2023-09-24_04:54:00.002564326, [-1730, 159]
2023-09-24_04:54:00.002662954, [-1496, 191]
2023-09-24_04:54:00.002761582, [-841, 227]
2023-09-24_04:54:00.002860210, [-750, 142]
2023-09-24_04:54:00.002958838, [-1582, 53]
2023-09-24_04:54:00.003057466, [-2397, 68]
2023-09-24_04:54:00.003156094, [-2149, 48]
2023-09-24_04:54:00.003254722, [-1315, 61]
2023-09-24_04:54:00.003353350, [-797, 143]
2023-09-24_04:54:00.003451978, [-968, 184]
2023-09-24_04:54:00.003550606, [-1378, 192]
2023-09-24_04:54:00.003649234, [-1397, 235]
2023-09-24_04:54:00.003747862, [-1055, 301]
2023-09-24_04:54:00.003846490, [-730, 246]
2023-09-24_04:54:00.003945118, [-1053, 31]
2023-09-24_04:54:00.004043746, [-1986, -150]
2023-09-24_04:54:00.004142374, [-2650, -131]
2023-09-24_04:54:00.004241002, [-2409, -89]
2023-09-24_04:54:00.004339630, [-1377, -64]
2023-09-24_04:54:00.004438258, [-592, -165]
2023-09-24_04:54:00.004536886, [-751, -257]
2023-09-24_04:54:00.004635514, [-990, -96]
2023-09-24_04:54:00.004734142, [-753, 123]
2023-09-24_04:54:00.004832770, [-271, 65]
2023-09-24_04:54:00.004931398, [-522, -76]
2023-09-24_04:54:00.005030025, [-1584, 23]
2023-09-24_04:54:00.005128653, [-1885, 112]
2023-09-24_04:54:00.005227281, [-1453, 154]
2023-09-24_04:54:00.005325909, [-732, -5]
2023-09-24_04:54:00.005424537, [-349, -156]
2023-09-24_04:54:00.005523165, [-761, -248]
2023-09-24_04:54:00.005621793, [-768, -357]
2023-09-24_04:54:00.005720421, [-799, -409]
2023-09-24_04:54:00.005819049, [-947, -343]
2023-09-24_04:54:00.005917677, [-604, -164]
2023-09-24_04:54:00.006016305, [-328, -102]
2023-09-24_04:54:00.006114933, [-82, -92]
2023-09-24_04:54:00.006213561, [60, -14]
2023-09-24_04:54:00.006312189, [-270, 49]
2023-09-24_04:54:00.006410817, [-278, -72]
2023-09-24_04:54:00.006509445, [69, -150]
2023-09-24_04:54:00.006608073, [137, -11]
2023-09-24_04:54:00.006706701, [-152, 19]
2023-09-24_04:54:00.006805329, [23, -174]
2023-09-24_04:54:00.006903957, [517, -267]
2023-09-24_04:54:00.007002585, [638, -234]
2023-09-24_04:54:00.007101213, [245, -238]
2023-09-24_04:54:00.007199841, [379, -216]
2023-09-24_04:54:00.007298469, [1023, -243]
2023-09-24_04:54:00.007397097, [980, -226]
2023-09-24_04:54:00.007495724, [1030, -118]
2023-09-24_04:54:00.007594352, [1576, -114]
2023-09-24_04:54:00.007692980, [1682, -102]
2023-09-24_04:54:00.007791608, [1210, -202]
2023-09-24_04:54:00.007890236, [712, -211]
2023-09-24_04:54:00.007988864, [561, -113]
2023-09-24_04:54:00.008087492, [765, -142]
2023-09-24_04:54:00.008186120, [1202, -239]
2023-09-24_04:54:00.008284748, [1608, -230]
2023-09-24_04:54:00.008383376, [1706, -210]
2023-09-24_04:54:00.008482004, [1805, -61]
2023-09-24_04:54:00.008580632, [2010, -94]
2023-09-24_04:54:00.008679260, [1903, -266]
2023-09-24_04:54:00.008777888, [1874, -209]
2023-09-24_04:54:00.008876516, [1990, -196]
2023-09-24_04:54:00.008975144, [1812, -222]
2023-09-24_04:54:00.009073772, [1307, -307]
2023-09-24_04:54:00.009172400, [922, -385]
2023-09-24_04:54:00.009271028, [1166, -412]
2023-09-24_04:54:00.009369656, [1111, -400]
2023-09-24_04:54:00.009468284, [614, -192]
2023-09-24_04:54:00.009566912, [234, -200]
2023-09-24_04:54:00.009665540, [442, -302]
2023-09-24_04:54:00.009764168, [1090, -258]
2023-09-24_04:54:00.009862796, [1290, -254]
2023-09-24_04:54:00.009961423, [1310, -307]
2023-09-24_04:54:00.010060051, [1222, -330]
2023-09-24_04:54:00.010158679, [994, -290]
2023-09-24_04:54:00.010257307, [636, -319]
2023-09-24_04:54:00.010355935, [207, -427]
2023-09-24_04:54:00.010454563, [-126, -402]
2023-09-24_04:54:00.010553191, [-598, -304]
2023-09-24_04:54:00.010651819, [-769, -291]
2023-09-24_04:54:00.010750447, [-430, -356]
2023-09-24_04:54:00.010849075, [-79, -421]
2023-09-24_04:54:00.010947703, [-155, -442]
2023-09-24_04:54:00.011046331, [-229, -473]
2023-09-24_04:54:00.011144959, [-327, -567]
2023-09-24_04:54:00.011243587, [-476, -536]
2023-09-24_04:54:00.011342215, [-504, -397]
2023-09-24_04:54:00.011440843, [-870, -386]
2023-09-24_04:54:00.011539471, [-1555, -388]
2023-09-24_04:54:00.011638099, [-2062, -320]
2023-09-24_04:54:00.011736727, [-1652, -329]
2023-09-24_04:54:00.011835355, [-834, -274]
2023-09-24_04:54:00.011933983, [-667, -285]
2023-09-24_04:54:00.012032611, [-928, -340]
2023-09-24_04:54:00.012131239, [-1087, -311]
2023-09-24_04:54:00.012229867, [-801, -416]
2023-09-24_04:54:00.012328495, [-323, -419]
2023-09-24_04:54:00.012427122, [-668, -404]
2023-09-24_04:54:00.012525750, [-1230, -419]
2023-09-24_04:54:00.012624378, [-1266, -219]
2023-09-24_04:54:00.012723006, [-1484, -207]
2023-09-24_04:54:00.012821634, [-1904, -419]
2023-09-24_04:54:00.012920262, [-1889, -390]
2023-09-24_04:54:00.013018890, [-1521, -340]
2023-09-24_04:54:00.013117518, [-1164, -224]
2023-09-24_04:54:00.013216146, [-1086, -173]
2023-09-24_04:54:00.013314774, [-1114, -213]
2023-09-24_04:54:00.013413402, [-1087, -97]
2023-09-24_04:54:00.013512030, [-1547, -103]
2023-09-24_04:54:00.013610658, [-1619, -178]
2023-09-24_04:54:00.013709286, [-1636, -183]
2023-09-24_04:54:00.013807914, [-2226, -70]
2023-09-24_04:54:00.013906542, [-2225, -32]
2023-09-24_04:54:00.014005170, [-1712, -123]
2023-09-24_04:54:00.014103798, [-1593, 7]
2023-09-24_04:54:00.014202426, [-1827, 156]
2023-09-24_04:54:00.014301054, [-1824, 97]
2023-09-24_04:54:00.014399682, [-1953, -52]
2023-09-24_04:54:00.014498310, [-2125, -160]
2023-09-24_04:54:00.014596938, [-1933, -58]
2023-09-24_04:54:00.014695566, [-1264, 113]
2023-09-24_04:54:00.014794194, [-792, 51]
2023-09-24_04:54:00.014892821, [-1048, -26]
2023-09-24_04:54:00.014991449, [-1501, -26]
2023-09-24_04:54:00.015090077, [-2278, 65]
2023-09-24_04:54:00.015188705, [-3253, 120]
2023-09-24_04:54:00.015287333, [-3654, 131]
2023-09-24_04:54:00.015385961, [-2758, 234]
2023-09-24_04:54:00.015484589, [-1429, 310]
2023-09-24_04:54:00.015583217, [-960, 304]
2023-09-24_04:54:00.015681845, [-946, 139]
2023-09-24_04:54:00.015780473, [-1002, 88]
2023-09-24_04:54:00.015879101, [-982, 211]
2023-09-24_04:54:00.015977729, [-815, 169]
2023-09-24_04:54:00.016076357, [-1031, 184]
2023-09-24_04:54:00.016174985, [-1902, 253]
2023-09-24_04:54:00.016273613, [-2681, 169]
2023-09-24_04:54:00.016372241, [-2589, 45]
2023-09-24_04:54:00.016470869, [-1699, -21]
2023-09-24_04:54:00.016569497, [-930, -4]
2023-09-24_04:54:00.016668125, [-766, 166]
2023-09-24_04:54:00.016766753, [-699, 284]
2023-09-24_04:54:00.016865381, [-334, 401]
2023-09-24_04:54:00.016964009, [108, 447]
2023-09-24_04:54:00.017062637, [282, 331]
2023-09-24_04:54:00.017161265, [-31, 362]
2023-09-24_04:54:00.017259893, [-319, 420]
2023-09-24_04:54:00.017358520, [-396, 376]
2023-09-24_04:54:00.017457148, [-707, 363]
2023-09-24_04:54:00.017555776, [-762, 331]
2023-09-24_04:54:00.017654404, [-38, 276]
2023-09-24_04:54:00.017753032, [783, 371]
2023-09-24_04:54:00.017851660, [642, 368]
2023-09-24_04:54:00.017950288, [-9, 238]
2023-09-24_04:54:00.018048916, [-78, 98]
2023-09-24_04:54:00.018147544, [344, 139]
2023-09-24_04:54:00.018246172, [808, 246]
2023-09-24_04:54:00.018344800, [1300, 250]
2023-09-24_04:54:00.018443428, [1614, 366]
2023-09-24_04:54:00.018542056, [1223, 363]
2023-09-24_04:54:00.018640684, [567, 110]
2023-09-24_04:54:00.018739312, [-24, 89]
2023-09-24_04:54:00.018837940, [-427, 239]
2023-09-24_04:54:00.018936568, [-150, 211]
2023-09-24_04:54:00.019035196, [312, 164]
2023-09-24_04:54:00.019133824, [674, 129]
2023-09-24_04:54:00.019232452, [1093, 159]
2023-09-24_04:54:00.019331080, [1268, 234]
2023-09-24_04:54:00.019429708, [1085, 120]
2023-09-24_04:54:00.019528336, [752, 41]
2023-09-24_04:54:00.019626964, [216, 124]
2023-09-24_04:54:00.019725592, [98, 189]
2023-09-24_04:54:00.019824220, [295, 95]
2023-09-24_04:54:00.019922847, [-331, -40]
2023-09-24_04:54:00.020021475, [-1062, 154]
2023-09-24_04:54:00.020120103, [-1131, 346]
2023-09-24_04:54:00.020218731, [-550, 224]
2023-09-24_04:54:00.020317359, [92, 121]
2023-09-24_04:54:00.020415987, [302, 148]
2023-09-24_04:54:00.020514615, [168, 45]
2023-09-24_04:54:00.020613243, [-434, -87]
2023-09-24_04:54:00.020711871, [-1078, -70]
2023-09-24_04:54:00.020810499, [-1228, -29]
2023-09-24_04:54:00.020909127, [-844, -24]
2023-09-24_04:54:00.021007755, [-534, 90]
2023-09-24_04:54:00.021106383, [-486, 110]
2023-09-24_04:54:00.021205011, [-584, 33]
2023-09-24_04:54:00.021303639, [-1115, -48]
2023-09-24_04:54:00.021402267, [-1660, -97]
2023-09-24_04:54:00.021500895, [-1933, -113]
2023-09-24_04:54:00.021599523, [-1779, -76]
2023-09-24_04:54:00.021698151, [-1168, -14]
2023-09-24_04:54:00.021796779, [-674, -12]
2023-09-24_04:54:00.021895407, [-574, -62]
2023-09-24_04:54:00.021994035, [-386, -131]
2023-09-24_04:54:00.022092663, [-279, -128]
2023-09-24_04:54:00.022191291, [-535, -112]
2023-09-24_04:54:00.022289919, [-1150, 14]
2023-09-24_04:54:00.022388546, [-1561, 103]
2023-09-24_04:54:00.022487174, [-1191, 126]
2023-09-24_04:54:00.022585802, [-1049, 81]
2023-09-24_04:54:00.022684430, [-1175, 19]
2023-09-24_04:54:00.022783058, [-1132, -14]
2023-09-24_04:54:00.022881686, [-1070, -107]
2023-09-24_04:54:00.022980314, [-758, -9]
2023-09-24_04:54:00.023078942, [-486, 11]
2023-09-24_04:54:00.023177570, [-472, -112]
2023-09-24_04:54:00.023276198, [-505, -22]
2023-09-24_04:54:00.023374826, [-946, 66]
2023-09-24_04:54:00.023473454, [-1256, 23]
2023-09-24_04:54:00.023572082, [-999, -156]
2023-09-24_04:54:00.023670710, [-748, -227]
2023-09-24_04:54:00.023769338, [-619, -165]
2023-09-24_04:54:00.023867966, [-787, -136]
2023-09-24_04:54:00.023966594, [-1013, -135]
2023-09-24_04:54:00.024065222, [-1141, -54]
2023-09-24_04:54:00.024163850, [-1511, -3]
2023-09-24_04:54:00.024262478, [-1423, -189]
2023-09-24_04:54:00.024361106, [-542, -200]
2023-09-24_04:54:00.024459734, [77, -127]
2023-09-24_04:54:00.024558362, [25, -158]
2023-09-24_04:54:00.024656990, [-169, -244]
2023-09-24_04:54:00.024755618, [-544, -233]
2023-09-24_04:54:00.024854245, [-1135, -176]
2023-09-24_04:54:00.024952873, [-1384, -185]
2023-09-24_04:54:00.025051501, [-1172, -224]
2023-09-24_04:54:00.025150129, [-673, -89]
2023-09-24_04:54:00.025248757, [-29, 97]
2023-09-24_04:54:00.025347385, [270, 88]
2023-09-24_04:54:00.025446013, [333, 5]
2023-09-24_04:54:00.025544641, [287, -130]
2023-09-24_04:54:00.025643269, [144, -203]
2023-09-24_04:54:00.025741897, [102, -136]
2023-09-24_04:54:00.025840525, [173, 6]
2023-09-24_04:54:00.025939153, [27, 70]
2023-09-24_04:54:00.026037781, [8, -58]
2023-09-24_04:54:00.026136409, [472, -252]
2023-09-24_04:54:00.026235037, [711, -356]
2023-09-24_04:54:00.026333665, [604, -378]
2023-09-24_04:54:00.026432293, [461, -300]
