"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-319U1/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [644, -2541]
2023-09-24_04:54:00.000098627, [664, -2638]
2023-09-24_04:54:00.000197255, [40, -2624]
2023-09-24_04:54:00.000295883, [-556, -2609]
2023-09-24_04:54:00.000394511, [-618, -2625]
2023-09-24_04:54:00.000493139, [-528, -2484]
2023-09-24_04:54:00.000591767, [-381, -2511]
2023-09-24_04:54:00.000690395, [-74, -2601]
2023-09-24_04:54:00.000789023, [410, -2567]
2023-09-24_04:54:00.000887651, [744, -2548]
2023-09-24_04:54:00.000986279, [924, -2554]
2023-09-24_04:54:00.001084907, [1209, -2633]
2023-09-24_04:54:00.001183535, [1088, -2590]
2023-09-24_04:54:00.001282163, [405, -2580]
2023-09-24_04:54:00.001380791, [-694, -2566]
2023-09-24_04:54:00.001479419, [-1439, -2656]
2023-09-24_04:54:00.001578047, [-1486, -2750]
2023-09-24_04:54:00.001676675, [-1019, -2758]
2023-09-24_04:54:00.001775303, [-40, -2641]
2023-09-24_04:54:00.001873931, [311, -2473]
2023-09-24_04:54:00.001972559, [-99, -2481]
2023-09-24_04:54:00.002071187, [-62, -2569]
2023-09-24_04:54:00.002169815, [514, -2526]
2023-09-24_04:54:00.002268443, [939, -2523]
2023-09-24_04:54:00.002367071, [570, -2609]
2023-09-24_04:54:00.002465699, [-176, -2427]
2023-09-24_04:54:00.002564326, [-477, -2360]
2023-09-24_04:54:00.002662954, [-225, -2491]
2023-09-24_04:54:00.002761582, [192, -2584]
2023-09-24_04:54:00.002860210, [243, -2603]
2023-09-24_04:54:00.002958838, [-424, -2624]
2023-09-24_04:54:00.003057466, [-968, -2669]
2023-09-24_04:54:00.003156094, [-743, -2584]
2023-09-24_04:54:00.003254722, [55, -2610]
2023-09-24_04:54:00.003353350, [496, -2582]
2023-09-24_04:54:00.003451978, [241, -2473]
2023-09-24_04:54:00.003550606, [40, -2447]
2023-09-24_04:54:00.003649234, [263, -2475]
2023-09-24_04:54:00.003747862, [538, -2494]
2023-09-24_04:54:00.003846490, [433, -2510]
2023-09-24_04:54:00.003945118, [-109, -2521]
2023-09-24_04:54:00.004043746, [-994, -2596]
2023-09-24_04:54:00.004142374, [-1553, -2694]
2023-09-24_04:54:00.004241002, [-1308, -2687]
2023-09-24_04:54:00.004339630, [-486, -2633]
2023-09-24_04:54:00.004438258, [192, -2509]
2023-09-24_04:54:00.004536886, [53, -2517]
2023-09-24_04:54:00.004635514, [-209, -2516]
2023-09-24_04:54:00.004734142, [41, -2470]
2023-09-24_04:54:00.004832770, [326, -2540]
2023-09-24_04:54:00.004931398, [-151, -2581]
2023-09-24_04:54:00.005030025, [-1043, -2686]
2023-09-24_04:54:00.005128653, [-1193, -2848]
2023-09-24_04:54:00.005227281, [-657, -2796]
2023-09-24_04:54:00.005325909, [68, -2698]
2023-09-24_04:54:00.005424537, [300, -2815]
2023-09-24_04:54:00.005523165, [-92, -2894]
2023-09-24_04:54:00.005621793, [-277, -2789]
2023-09-24_04:54:00.005720421, [-577, -2690]
2023-09-24_04:54:00.005819049, [-699, -2805]
2023-09-24_04:54:00.005917677, [-402, -2917]
2023-09-24_04:54:00.006016305, [-20, -2878]
2023-09-24_04:54:00.006114933, [307, -2813]
2023-09-24_04:54:00.006213561, [297, -2692]
2023-09-24_04:54:00.006312189, [-112, -2615]
2023-09-24_04:54:00.006410817, [-264, -2628]
2023-09-24_04:54:00.006509445, [-36, -2756]
2023-09-24_04:54:00.006608073, [-162, -2729]
2023-09-24_04:54:00.006706701, [-612, -2618]
2023-09-24_04:54:00.006805329, [-610, -2746]
2023-09-24_04:54:00.006903957, [-135, -2821]
2023-09-24_04:54:00.007002585, [-127, -2748]
2023-09-24_04:54:00.007101213, [-633, -2714]
2023-09-24_04:54:00.007199841, [-710, -2717]
2023-09-24_04:54:00.007298469, [-281, -2765]
2023-09-24_04:54:00.007397097, [-139, -2803]
2023-09-24_04:54:00.007495724, [-200, -2780]
2023-09-24_04:54:00.007594352, [72, -2687]
2023-09-24_04:54:00.007692980, [120, -2598]
2023-09-24_04:54:00.007791608, [-271, -2568]
2023-09-24_04:54:00.007890236, [-641, -2531]
2023-09-24_04:54:00.007988864, [-871, -2571]
2023-09-24_04:54:00.008087492, [-918, -2691]
2023-09-24_04:54:00.008186120, [-611, -2813]
2023-09-24_04:54:00.008284748, [-182, -2807]
2023-09-24_04:54:00.008383376, [15, -2788]
2023-09-24_04:54:00.008482004, [165, -2859]
2023-09-24_04:54:00.008580632, [347, -2739]
2023-09-24_04:54:00.008679260, [272, -2571]
2023-09-24_04:54:00.008777888, [187, -2674]
2023-09-24_04:54:00.008876516, [323, -2763]
2023-09-24_04:54:00.008975144, [195, -2733]
2023-09-24_04:54:00.009073772, [-393, -2698]
2023-09-24_04:54:00.009172400, [-820, -2650]
2023-09-24_04:54:00.009271028, [-527, -2642]
2023-09-24_04:54:00.009369656, [-454, -2701]
2023-09-24_04:54:00.009468284, [-1034, -2781]
2023-09-24_04:54:00.009566912, [-1348, -2766]
2023-09-24_04:54:00.009665540, [-881, -2589]
2023-09-24_04:54:00.009764168, [-281, -2680]
2023-09-24_04:54:00.009862796, [0, -2931]
2023-09-24_04:54:00.009961423, [195, -2898]
2023-09-24_04:54:00.010060051, [330, -2861]
2023-09-24_04:54:00.010158679, [66, -2787]
2023-09-24_04:54:00.010257307, [-475, -2712]
2023-09-24_04:54:00.010355935, [-755, -2760]
2023-09-24_04:54:00.010454563, [-825, -2777]
2023-09-24_04:54:00.010553191, [-1126, -2810]
2023-09-24_04:54:00.010651819, [-1311, -2711]
2023-09-24_04:54:00.010750447, [-904, -2560]
2023-09-24_04:54:00.010849075, [-438, -2676]
2023-09-24_04:54:00.010947703, [-443, -2776]
2023-09-24_04:54:00.011046331, [-324, -2883]
2023-09-24_04:54:00.011144959, [-30, -2902]
2023-09-24_04:54:00.011243587, [-56, -2834]
2023-09-24_04:54:00.011342215, [-110, -2896]
2023-09-24_04:54:00.011440843, [-438, -2897]
2023-09-24_04:54:00.011539471, [-1121, -2815]
2023-09-24_04:54:00.011638099, [-1555, -2827]
2023-09-24_04:54:00.011736727, [-1220, -2789]
2023-09-24_04:54:00.011835355, [-302, -2760]
2023-09-24_04:54:00.011933983, [147, -2780]
2023-09-24_04:54:00.012032611, [-42, -2757]
2023-09-24_04:54:00.012131239, [-250, -2786]
2023-09-24_04:54:00.012229867, [26, -2812]
2023-09-24_04:54:00.012328495, [519, -2843]
2023-09-24_04:54:00.012427122, [192, -2838]
2023-09-24_04:54:00.012525750, [-241, -2838]
2023-09-24_04:54:00.012624378, [-319, -2859]
2023-09-24_04:54:00.012723006, [-509, -2863]
2023-09-24_04:54:00.012821634, [-750, -2749]
2023-09-24_04:54:00.012920262, [-755, -2714]
2023-09-24_04:54:00.013018890, [-341, -2943]
2023-09-24_04:54:00.013117518, [-7, -3031]
2023-09-24_04:54:00.013216146, [-2, -2893]
2023-09-24_04:54:00.013314774, [197, -2805]
2023-09-24_04:54:00.013413402, [331, -2835]
2023-09-24_04:54:00.013512030, [-7, -2881]
2023-09-24_04:54:00.013610658, [-55, -2847]
2023-09-24_04:54:00.013709286, [-309, -2805]
2023-09-24_04:54:00.013807914, [-882, -2740]
2023-09-24_04:54:00.013906542, [-827, -2707]
2023-09-24_04:54:00.014005170, [-236, -2687]
2023-09-24_04:54:00.014103798, [-25, -2730]
2023-09-24_04:54:00.014202426, [-211, -2834]
2023-09-24_04:54:00.014301054, [-106, -2779]
2023-09-24_04:54:00.014399682, [-173, -2723]
2023-09-24_04:54:00.014498310, [-437, -2675]
2023-09-24_04:54:00.014596938, [-316, -2617]
2023-09-24_04:54:00.014695566, [357, -2616]
2023-09-24_04:54:00.014794194, [962, -2587]
2023-09-24_04:54:00.014892821, [789, -2633]
2023-09-24_04:54:00.014991449, [357, -2649]
2023-09-24_04:54:00.015090077, [-272, -2663]
2023-09-24_04:54:00.015188705, [-1176, -2658]
2023-09-24_04:54:00.015287333, [-1554, -2605]
2023-09-24_04:54:00.015385961, [-693, -2551]
2023-09-24_04:54:00.015484589, [629, -2578]
2023-09-24_04:54:00.015583217, [1055, -2570]
