"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-315M2/DIA/BPM-02/fa"
# t, [x, y]
2023-09-24_04:54:00.011835355, [11786, -82421]
2023-09-24_04:54:00.011933983, [11746, -82418]
2023-09-24_04:54:00.012032611, [11823, -82465]
2023-09-24_04:54:00.012131239, [11947, -82493]
2023-09-24_04:54:00.012229867, [11947, -82450]
2023-09-24_04:54:00.012328495, [11847, -82325]
2023-09-24_04:54:00.012427122, [11978, -82247]
2023-09-24_04:54:00.012525750, [12072, -82247]
2023-09-24_04:54:00.012624378, [12084, -82354]
2023-09-24_04:54:00.012723006, [12283, -82397]
2023-09-24_04:54:00.012821634, [12380, -82235]
2023-09-24_04:54:00.012920262, [12528, -82158]
2023-09-24_04:54:00.013018890, [12561, -82240]
2023-09-24_04:54:00.013117518, [12347, -82203]
2023-09-24_04:54:00.013216146, [12155, -82185]
2023-09-24_04:54:00.013314774, [12046, -82277]
2023-09-24_04:54:00.013413402, [12180, -82310]
2023-09-24_04:54:00.013512030, [12415, -82333]
2023-09-24_04:54:00.013610658, [12516, -82365]
2023-09-24_04:54:00.013709286, [12422, -82293]
2023-09-24_04:54:00.013807914, [12327, -82226]
2023-09-24_04:54:00.013906542, [12275, -82180]
2023-09-24_04:54:00.014005170, [12259, -82156]
2023-09-24_04:54:00.014103798, [12127, -82120]
2023-09-24_04:54:00.014202426, [11907, -82052]
2023-09-24_04:54:00.014301054, [11902, -82111]
2023-09-24_04:54:00.014399682, [12005, -82058]
2023-09-24_04:54:00.014498310, [12142, -81944]
2023-09-24_04:54:00.014596938, [12275, -81984]
2023-09-24_04:54:00.014695566, [12436, -82078]
2023-09-24_04:54:00.014794194, [12500, -82145]
2023-09-24_04:54:00.014892821, [12527, -82110]
2023-09-24_04:54:00.014991449, [12482, -82086]
2023-09-24_04:54:00.015090077, [12525, -82045]
2023-09-24_04:54:00.015188705, [12612, -81973]
2023-09-24_04:54:00.015287333, [12487, -81993]
2023-09-24_04:54:00.015385961, [12350, -81943]
2023-09-24_04:54:00.015484589, [12285, -81742]
2023-09-24_04:54:00.015583217, [12342, -81814]
2023-09-24_04:54:00.015681845, [12332, -82127]
2023-09-24_04:54:00.015780473, [12146, -82342]
2023-09-24_04:54:00.015879101, [12077, -82262]
2023-09-24_04:54:00.015977729, [11994, -82082]
2023-09-24_04:54:00.016076357, [11694, -82044]
2023-09-24_04:54:00.016174985, [11695, -81962]
2023-09-24_04:54:00.016273613, [11849, -81912]
2023-09-24_04:54:00.016372241, [11668, -81859]
2023-09-24_04:54:00.016470869, [11433, -81794]
2023-09-24_04:54:00.016569497, [11322, -81747]
2023-09-24_04:54:00.016668125, [11486, -81767]
2023-09-24_04:54:00.016766753, [11799, -81868]
2023-09-24_04:54:00.016865381, [11716, -81950]
2023-09-24_04:54:00.016964009, [11466, -81971]
2023-09-24_04:54:00.017062637, [11264, -81868]
2023-09-24_04:54:00.017161265, [11281, -81732]
2023-09-24_04:54:00.017259893, [11579, -81664]
2023-09-24_04:54:00.017358520, [11703, -81783]
2023-09-24_04:54:00.017457148, [11717, -81870]
2023-09-24_04:54:00.017555776, [11791, -81830]
2023-09-24_04:54:00.017654404, [11675, -81801]
2023-09-24_04:54:00.017753032, [11478, -81769]
2023-09-24_04:54:00.017851660, [11509, -81768]
2023-09-24_04:54:00.017950288, [11663, -81835]
2023-09-24_04:54:00.018048916, [11707, -81839]
2023-09-24_04:54:00.018147544, [11529, -81884]
2023-09-24_04:54:00.018246172, [11554, -81906]
2023-09-24_04:54:00.018344800, [11668, -81851]
2023-09-24_04:54:00.018443428, [11621, -81892]
2023-09-24_04:54:00.018542056, [11590, -81892]
2023-09-24_04:54:00.018640684, [11630, -81807]
2023-09-24_04:54:00.018739312, [11637, -81703]
2023-09-24_04:54:00.018837940, [11658, -81701]
2023-09-24_04:54:00.018936568, [11711, -81878]
2023-09-24_04:54:00.019035196, [11808, -81946]
2023-09-24_04:54:00.019133824, [11899, -81921]
2023-09-24_04:54:00.019232452, [12051, -81922]
2023-09-24_04:54:00.019331080, [12069, -81937]
2023-09-24_04:54:00.019429708, [11950, -81918]
2023-09-24_04:54:00.019528336, [11979, -81795]
2023-09-24_04:54:00.019626964, [12064, -81781]
2023-09-24_04:54:00.019725592, [12161, -81909]
2023-09-24_04:54:00.019824220, [12139, -81946]
2023-09-24_04:54:00.019922847, [12025, -81912]
2023-09-24_04:54:00.020021475, [12078, -81836]
2023-09-24_04:54:00.020120103, [12197, -81891]
2023-09-24_04:54:00.020218731, [12173, -81887]
2023-09-24_04:54:00.020317359, [12187, -81732]
2023-09-24_04:54:00.020415987, [12188, -81775]
2023-09-24_04:54:00.020514615, [12224, -81938]
2023-09-24_04:54:00.020613243, [12279, -82003]
2023-09-24_04:54:00.020711871, [12211, -82016]
2023-09-24_04:54:00.020810499, [12096, -81996]
2023-09-24_04:54:00.020909127, [11931, -81971]
2023-09-24_04:54:00.021007755, [11766, -82123]
2023-09-24_04:54:00.021106383, [11768, -82179]
2023-09-24_04:54:00.021205011, [11712, -82087]
2023-09-24_04:54:00.021303639, [11511, -82007]
2023-09-24_04:54:00.021402267, [11423, -81902]
2023-09-24_04:54:00.021500895, [11552, -81893]
2023-09-24_04:54:00.021599523, [11677, -81995]
2023-09-24_04:54:00.021698151, [11634, -82051]
2023-09-24_04:54:00.021796779, [11682, -82090]
2023-09-24_04:54:00.021895407, [11610, -82072]
2023-09-24_04:54:00.021994035, [11512, -82039]
2023-09-24_04:54:00.022092663, [11573, -82006]
2023-09-24_04:54:00.022191291, [11626, -82016]
2023-09-24_04:54:00.022289919, [11683, -82037]
