"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-313U3/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [798, -40]
2023-09-24_04:54:00.000098627, [710, 82]
2023-09-24_04:54:00.000197255, [102, 196]
2023-09-24_04:54:00.000295883, [-410, 236]
2023-09-24_04:54:00.000394511, [-736, 203]
2023-09-24_04:54:00.000493139, [-856, -24]
2023-09-24_04:54:00.000591767, [-822, -130]
2023-09-24_04:54:00.000690395, [-628, -98]
2023-09-24_04:54:00.000789023, [135, 39]
2023-09-24_04:54:00.000887651, [630, 169]
2023-09-24_04:54:00.000986279, [568, 209]
2023-09-24_04:54:00.001084907, [837, 17]
2023-09-24_04:54:00.001183535, [568, -244]
2023-09-24_04:54:00.001282163, [-452, -285]
2023-09-24_04:54:00.001380791, [-1705, -72]
2023-09-24_04:54:00.001479419, [-2483, 124]
2023-09-24_04:54:00.001578047, [-2424, -57]
2023-09-24_04:54:00.001676675, [-1794, -262]
2023-09-24_04:54:00.001775303, [-899, -213]
2023-09-24_04:54:00.001873931, [-637, -98]
2023-09-24_04:54:00.001972559, [-1154, -14]
2023-09-24_04:54:00.002071187, [-1115, -15]
2023-09-24_04:54:00.002169815, [-195, 47]
2023-09-24_04:54:00.002268443, [431, 31]
2023-09-24_04:54:00.002367071, [-128, 9]
2023-09-24_04:54:00.002465699, [-1248, 70]
2023-09-24_04:54:00.002564326, [-1610, -47]
2023-09-24_04:54:00.002662954, [-1064, -167]
2023-09-24_04:54:00.002761582, [-337, -129]
2023-09-24_04:54:00.002860210, [-417, -68]
2023-09-24_04:54:00.002958838, [-1587, -2]
2023-09-24_04:54:00.003057466, [-2362, 119]
2023-09-24_04:54:00.003156094, [-1776, 64]
2023-09-24_04:54:00.003254722, [-694, -80]
2023-09-24_04:54:00.003353350, [-370, -226]
2023-09-24_04:54:00.003451978, [-614, -332]
2023-09-24_04:54:00.003550606, [-901, -210]
2023-09-24_04:54:00.003649234, [-741, -73]
2023-09-24_04:54:00.003747862, [-233, -14]
2023-09-24_04:54:00.003846490, [-308, 99]
2023-09-24_04:54:00.003945118, [-949, 40]
2023-09-24_04:54:00.004043746, [-1921, -197]
2023-09-24_04:54:00.004142374, [-2551, -196]
2023-09-24_04:54:00.004241002, [-2209, -137]
2023-09-24_04:54:00.004339630, [-1206, -101]
2023-09-24_04:54:00.004438258, [-565, -57]
2023-09-24_04:54:00.004536886, [-709, -278]
2023-09-24_04:54:00.004635514, [-640, -244]
2023-09-24_04:54:00.004734142, [-261, -105]
2023-09-24_04:54:00.004832770, [-204, -162]
2023-09-24_04:54:00.004931398, [-867, -274]
2023-09-24_04:54:00.005030025, [-1906, -214]
2023-09-24_04:54:00.005128653, [-2181, 61]
2023-09-24_04:54:00.005227281, [-1868, 151]
2023-09-24_04:54:00.005325909, [-869, 76]
2023-09-24_04:54:00.005424537, [-141, -17]
2023-09-24_04:54:00.005523165, [-618, -121]
2023-09-24_04:54:00.005621793, [-929, -97]
2023-09-24_04:54:00.005720421, [-1165, -105]
2023-09-24_04:54:00.005819049, [-1180, -41]
2023-09-24_04:54:00.005917677, [-920, 41]
2023-09-24_04:54:00.006016305, [-651, -68]
2023-09-24_04:54:00.006114933, [-133, -39]
2023-09-24_04:54:00.006213561, [148, -42]
2023-09-24_04:54:00.006312189, [-303, -163]
2023-09-24_04:54:00.006410817, [-596, -183]
2023-09-24_04:54:00.006509445, [-151, -168]
2023-09-24_04:54:00.006608073, [-86, -126]
2023-09-24_04:54:00.006706701, [-579, -47]
2023-09-24_04:54:00.006805329, [-543, 40]
2023-09-24_04:54:00.006903957, [63, -37]
2023-09-24_04:54:00.007002585, [218, -11]
2023-09-24_04:54:00.007101213, [-274, 49]
2023-09-24_04:54:00.007199841, [-123, -70]
2023-09-24_04:54:00.007298469, [591, -69]
2023-09-24_04:54:00.007397097, [618, -53]
2023-09-24_04:54:00.007495724, [781, 158]
2023-09-24_04:54:00.007594352, [1525, 170]
2023-09-24_04:54:00.007692980, [1507, -92]
2023-09-24_04:54:00.007791608, [838, -50]
2023-09-24_04:54:00.007890236, [452, -33]
2023-09-24_04:54:00.007988864, [346, -85]
2023-09-24_04:54:00.008087492, [444, -73]
2023-09-24_04:54:00.008186120, [570, -60]
2023-09-24_04:54:00.008284748, [935, 122]
2023-09-24_04:54:00.008383376, [1375, 242]
2023-09-24_04:54:00.008482004, [1730, 221]
2023-09-24_04:54:00.008580632, [1950, 366]
2023-09-24_04:54:00.008679260, [1663, 312]
2023-09-24_04:54:00.008777888, [1848, 39]
2023-09-24_04:54:00.008876516, [2102, -89]
2023-09-24_04:54:00.008975144, [1824, 15]
2023-09-24_04:54:00.009073772, [1113, -28]
2023-09-24_04:54:00.009172400, [700, 50]
2023-09-24_04:54:00.009271028, [1121, 287]
2023-09-24_04:54:00.009369656, [1209, 271]
2023-09-24_04:54:00.009468284, [812, 135]
2023-09-24_04:54:00.009566912, [335, 48]
2023-09-24_04:54:00.009665540, [287, 127]
2023-09-24_04:54:00.009764168, [883, 143]
2023-09-24_04:54:00.009862796, [1451, -63]
2023-09-24_04:54:00.009961423, [1843, -105]
2023-09-24_04:54:00.010060051, [2044, 137]
2023-09-24_04:54:00.010158679, [1639, 164]
2023-09-24_04:54:00.010257307, [902, 21]
2023-09-24_04:54:00.010355935, [333, -15]
2023-09-24_04:54:00.010454563, [65, 73]
2023-09-24_04:54:00.010553191, [-223, 164]
2023-09-24_04:54:00.010651819, [-552, 159]
2023-09-24_04:54:00.010750447, [-310, 10]
2023-09-24_04:54:00.010849075, [256, -38]
2023-09-24_04:54:00.010947703, [326, -62]
2023-09-24_04:54:00.011046331, [458, -162]
2023-09-24_04:54:00.011144959, [438, -114]
2023-09-24_04:54:00.011243587, [205, 81]
2023-09-24_04:54:00.011342215, [31, 308]
2023-09-24_04:54:00.011440843, [-611, 385]
2023-09-24_04:54:00.011539471, [-1560, 163]
2023-09-24_04:54:00.011638099, [-2036, -3]
2023-09-24_04:54:00.011736727, [-1484, 132]
2023-09-24_04:54:00.011835355, [-537, 213]
2023-09-24_04:54:00.011933983, [-212, 179]
2023-09-24_04:54:00.012032611, [-437, 32]
2023-09-24_04:54:00.012131239, [-689, -95]
2023-09-24_04:54:00.012229867, [-475, -32]
2023-09-24_04:54:00.012328495, [167, -13]
2023-09-24_04:54:00.012427122, [-98, -12]
2023-09-24_04:54:00.012525750, [-970, -62]
2023-09-24_04:54:00.012624378, [-1183, -35]
2023-09-24_04:54:00.012723006, [-1374, -53]
2023-09-24_04:54:00.012821634, [-1852, -180]
2023-09-24_04:54:00.012920262, [-1703, -190]
2023-09-24_04:54:00.013018890, [-1234, -124]
2023-09-24_04:54:00.013117518, [-934, 24]
2023-09-24_04:54:00.013216146, [-932, 100]
2023-09-24_04:54:00.013314774, [-820, 82]
2023-09-24_04:54:00.013413402, [-603, 61]
2023-09-24_04:54:00.013512030, [-1153, -31]
2023-09-24_04:54:00.013610658, [-1309, 33]
2023-09-24_04:54:00.013709286, [-1338, 207]
2023-09-24_04:54:00.013807914, [-1959, 134]
2023-09-24_04:54:00.013906542, [-1814, 19]
2023-09-24_04:54:00.014005170, [-1288, -17]
2023-09-24_04:54:00.014103798, [-1234, -131]
2023-09-24_04:54:00.014202426, [-1479, -231]
2023-09-24_04:54:00.014301054, [-1367, -135]
2023-09-24_04:54:00.014399682, [-1532, -51]
2023-09-24_04:54:00.014498310, [-2071, 22]
2023-09-24_04:54:00.014596938, [-1968, 22]
2023-09-24_04:54:00.014695566, [-1004, -78]
2023-09-24_04:54:00.014794194, [-92, -73]
2023-09-24_04:54:00.014892821, [-256, 15]
2023-09-24_04:54:00.014991449, [-994, 46]
2023-09-24_04:54:00.015090077, [-2029, 92]
2023-09-24_04:54:00.015188705, [-3307, 7]
2023-09-24_04:54:00.015287333, [-3837, -207]
2023-09-24_04:54:00.015385961, [-2654, -92]
2023-09-24_04:54:00.015484589, [-1135, 161]
2023-09-24_04:54:00.015583217, [-622, 125]
2023-09-24_04:54:00.015681845, [-621, 15]
2023-09-24_04:54:00.015780473, [-695, -54]
2023-09-24_04:54:00.015879101, [-662, -129]
2023-09-24_04:54:00.015977729, [-761, -17]
2023-09-24_04:54:00.016076357, [-990, 76]
2023-09-24_04:54:00.016174985, [-1816, 13]
2023-09-24_04:54:00.016273613, [-2769, -17]
2023-09-24_04:54:00.016372241, [-2886, -1]
2023-09-24_04:54:00.016470869, [-2178, 44]
2023-09-24_04:54:00.016569497, [-1320, 107]
2023-09-24_04:54:00.016668125, [-892, -107]
2023-09-24_04:54:00.016766753, [-537, -110]
2023-09-24_04:54:00.016865381, [-85, -15]
2023-09-24_04:54:00.016964009, [268, -16]
2023-09-24_04:54:00.017062637, [244, 120]
2023-09-24_04:54:00.017161265, [-17, 129]
2023-09-24_04:54:00.017259893, [-222, 89]
2023-09-24_04:54:00.017358520, [-565, 129]
2023-09-24_04:54:00.017457148, [-1079, 145]
2023-09-24_04:54:00.017555776, [-1174, 134]
2023-09-24_04:54:00.017654404, [-372, 207]
2023-09-24_04:54:00.017753032, [299, 235]
2023-09-24_04:54:00.017851660, [210, 202]
2023-09-24_04:54:00.017950288, [-221, 149]
2023-09-24_04:54:00.018048916, [-329, -11]
2023-09-24_04:54:00.018147544, [77, -52]
2023-09-24_04:54:00.018246172, [582, 153]
2023-09-24_04:54:00.018344800, [1183, 339]
2023-09-24_04:54:00.018443428, [1608, 385]
2023-09-24_04:54:00.018542056, [1324, 334]
2023-09-24_04:54:00.018640684, [680, 274]
2023-09-24_04:54:00.018739312, [74, 297]
2023-09-24_04:54:00.018837940, [-532, 221]
2023-09-24_04:54:00.018936568, [-613, 76]
2023-09-24_04:54:00.019035196, [-86, 142]
2023-09-24_04:54:00.019133824, [713, 203]
2023-09-24_04:54:00.019232452, [1545, 247]
2023-09-24_04:54:00.019331080, [1800, 174]
2023-09-24_04:54:00.019429708, [1428, 41]
2023-09-24_04:54:00.019528336, [926, 32]
2023-09-24_04:54:00.019626964, [321, 158]
2023-09-24_04:54:00.019725592, [134, 347]
2023-09-24_04:54:00.019824220, [463, 284]
2023-09-24_04:54:00.019922847, [149, 212]
2023-09-24_04:54:00.020021475, [-573, 288]
2023-09-24_04:54:00.020120103, [-878, 349]
2023-09-24_04:54:00.020218731, [-274, 392]
2023-09-24_04:54:00.020317359, [611, 266]
2023-09-24_04:54:00.020415987, [997, 250]
2023-09-24_04:54:00.020514615, [668, 307]
2023-09-24_04:54:00.020613243, [-156, 93]
2023-09-24_04:54:00.020711871, [-737, -58]
2023-09-24_04:54:00.020810499, [-925, 22]
2023-09-24_04:54:00.020909127, [-585, 89]
2023-09-24_04:54:00.021007755, [-118, 86]
2023-09-24_04:54:00.021106383, [-9, 35]
2023-09-24_04:54:00.021205011, [-141, -87]
2023-09-24_04:54:00.021303639, [-814, -13]
2023-09-24_04:54:00.021402267, [-1650, 137]
2023-09-24_04:54:00.021500895, [-1947, 39]
2023-09-24_04:54:00.021599523, [-1644, 56]
2023-09-24_04:54:00.021698151, [-812, 29]
2023-09-24_04:54:00.021796779, [-176, -53]
2023-09-24_04:54:00.021895407, [-17, -72]
2023-09-24_04:54:00.021994035, [64, 34]
2023-09-24_04:54:00.022092663, [97, 98]
2023-09-24_04:54:00.022191291, [-149, -93]
2023-09-24_04:54:00.022289919, [-853, -153]
2023-09-24_04:54:00.022388546, [-1601, -52]
2023-09-24_04:54:00.022487174, [-1387, -46]
2023-09-24_04:54:00.022585802, [-1025, -133]
2023-09-24_04:54:00.022684430, [-1018, -99]
2023-09-24_04:54:00.022783058, [-805, 16]
2023-09-24_04:54:00.022881686, [-650, -125]
2023-09-24_04:54:00.022980314, [-420, -272]
2023-09-24_04:54:00.023078942, [-263, -172]
2023-09-24_04:54:00.023177570, [-206, -124]
2023-09-24_04:54:00.023276198, [-328, -208]
2023-09-24_04:54:00.023374826, [-791, -271]
2023-09-24_04:54:00.023473454, [-934, -237]
2023-09-24_04:54:00.023572082, [-855, -69]
2023-09-24_04:54:00.023670710, [-775, 36]
2023-09-24_04:54:00.023769338, [-567, 44]
2023-09-24_04:54:00.023867966, [-625, -23]
2023-09-24_04:54:00.023966594, [-1019, -224]
2023-09-24_04:54:00.024065222, [-1400, -301]
2023-09-24_04:54:00.024163850, [-1671, -169]
2023-09-24_04:54:00.024262478, [-1317, -222]
2023-09-24_04:54:00.024361106, [-274, -407]
2023-09-24_04:54:00.024459734, [432, -446]
2023-09-24_04:54:00.024558362, [359, -260]
2023-09-24_04:54:00.024656990, [-52, 41]
2023-09-24_04:54:00.024755618, [-663, 92]
2023-09-24_04:54:00.024854245, [-1220, -6]
2023-09-24_04:54:00.024952873, [-1532, -223]
2023-09-24_04:54:00.025051501, [-1468, -342]
2023-09-24_04:54:00.025150129, [-781, -304]
2023-09-24_04:54:00.025248757, [-51, -183]
2023-09-24_04:54:00.025347385, [363, -39]
2023-09-24_04:54:00.025446013, [279, -176]
2023-09-24_04:54:00.025544641, [-107, -256]
2023-09-24_04:54:00.025643269, [-267, -219]
2023-09-24_04:54:00.025741897, [-166, -239]
2023-09-24_04:54:00.025840525, [-123, -156]
2023-09-24_04:54:00.025939153, [-611, -68]
2023-09-24_04:54:00.026037781, [-795, -88]
2023-09-24_04:54:00.026136409, [-136, -173]
2023-09-24_04:54:00.026235037, [319, -198]
2023-09-24_04:54:00.026333665, [175, -95]
2023-09-24_04:54:00.026432293, [-62, 73]
2023-09-24_04:54:00.026530921, [170, 50]
2023-09-24_04:54:00.026629549, [942, 33]
2023-09-24_04:54:00.026728177, [1364, 83]
2023-09-24_04:54:00.026826805, [1294, -113]
2023-09-24_04:54:00.026925433, [984, -155]
2023-09-24_04:54:00.027024061, [911, -6]
2023-09-24_04:54:00.027122689, [1023, -133]
2023-09-24_04:54:00.027221317, [888, -268]
2023-09-24_04:54:00.027319944, [831, -145]
2023-09-24_04:54:00.027418572, [1091, -32]
2023-09-24_04:54:00.027517200, [1743, -46]
2023-09-24_04:54:00.027615828, [1775, -75]
2023-09-24_04:54:00.027714456, [1037, -40]
2023-09-24_04:54:00.027813084, [880, -117]
2023-09-24_04:54:00.027911712, [1396, -277]
2023-09-24_04:54:00.028010340, [1795, -183]
2023-09-24_04:54:00.028108968, [2279, -19]
2023-09-24_04:54:00.028207596, [2725, 110]
2023-09-24_04:54:00.028306224, [2651, 190]
2023-09-24_04:54:00.028404852, [2149, 153]
2023-09-24_04:54:00.028503480, [1465, 61]
2023-09-24_04:54:00.028602108, [1679, -26]
2023-09-24_04:54:00.028700736, [2483, 43]
2023-09-24_04:54:00.028799364, [2694, 83]
2023-09-24_04:54:00.028897992, [2246, 107]
2023-09-24_04:54:00.028996620, [1577, 178]
2023-09-24_04:54:00.029095248, [1457, 76]
2023-09-24_04:54:00.029193876, [2172, -122]
2023-09-24_04:54:00.029292504, [2626, -120]
2023-09-24_04:54:00.029391132, [2441, 76]
2023-09-24_04:54:00.029489760, [2237, 124]
2023-09-24_04:54:00.029588388, [1837, 207]
2023-09-24_04:54:00.029687016, [1654, 264]
2023-09-24_04:54:00.029785643, [1586, 199]
2023-09-24_04:54:00.029884271, [1395, 178]
2023-09-24_04:54:00.029982899, [1112, 164]
2023-09-24_04:54:00.030081527, [1016, 142]
2023-09-24_04:54:00.030180155, [1105, 95]
2023-09-24_04:54:00.030278783, [1184, 51]
2023-09-24_04:54:00.030377411, [1606, 73]
2023-09-24_04:54:00.030476039, [1840, -7]
2023-09-24_04:54:00.030574667, [1560, -196]
2023-09-24_04:54:00.030673295, [798, -191]
2023-09-24_04:54:00.030771923, [90, 7]
2023-09-24_04:54:00.030870551, [-85, 52]
2023-09-24_04:54:00.030969179, [154, 32]
2023-09-24_04:54:00.031067807, [615, 21]
2023-09-24_04:54:00.031166435, [929, 35]
2023-09-24_04:54:00.031265063, [648, 76]
2023-09-24_04:54:00.031363691, [49, 155]
2023-09-24_04:54:00.031462319, [-417, 69]
2023-09-24_04:54:00.031560947, [-488, 100]
2023-09-24_04:54:00.031659575, [-102, 173]
2023-09-24_04:54:00.031758203, [261, 294]
2023-09-24_04:54:00.031856831, [243, 337]
2023-09-24_04:54:00.031955459, [-358, 65]
2023-09-24_04:54:00.032054087, [-738, -53]
2023-09-24_04:54:00.032152715, [-769, -17]
2023-09-24_04:54:00.032251342, [-747, 187]
2023-09-24_04:54:00.032349970, [-328, 306]
2023-09-24_04:54:00.032448598, [-375, 269]
2023-09-24_04:54:00.032547226, [-985, 184]
2023-09-24_04:54:00.032645854, [-902, 282]
2023-09-24_04:54:00.032744482, [-521, 322]
2023-09-24_04:54:00.032843110, [-738, 260]
2023-09-24_04:54:00.032941738, [-989, 292]
2023-09-24_04:54:00.033040366, [-606, 304]
2023-09-24_04:54:00.033138994, [-366, 255]
2023-09-24_04:54:00.033237622, [-402, 157]
2023-09-24_04:54:00.033336250, [-596, 191]
2023-09-24_04:54:00.033434878, [-1155, 262]
2023-09-24_04:54:00.033533506, [-1692, 195]
2023-09-24_04:54:00.033632134, [-1811, 170]
2023-09-24_04:54:00.033730762, [-1555, 195]
2023-09-24_04:54:00.033829390, [-1294, 107]
2023-09-24_04:54:00.033928018, [-974, 137]
2023-09-24_04:54:00.034026646, [-610, 301]
2023-09-24_04:54:00.034125274, [-951, 343]
2023-09-24_04:54:00.034223902, [-1514, 289]
2023-09-24_04:54:00.034322530, [-1542, 238]
2023-09-24_04:54:00.034421158, [-1200, 266]
2023-09-24_04:54:00.034519786, [-1102, 182]
2023-09-24_04:54:00.034618414, [-1376, 240]
2023-09-24_04:54:00.034717041, [-1167, 215]
2023-09-24_04:54:00.034815669, [-1037, 283]
2023-09-24_04:54:00.034914297, [-1486, 321]
2023-09-24_04:54:00.035012925, [-1836, 198]
2023-09-24_04:54:00.035111553, [-1706, 185]
2023-09-24_04:54:00.035210181, [-1376, 137]
2023-09-24_04:54:00.035308809, [-1197, 278]
2023-09-24_04:54:00.035407437, [-1179, 200]
2023-09-24_04:54:00.035506065, [-852, -38]
2023-09-24_04:54:00.035604693, [-636, 52]
2023-09-24_04:54:00.035703321, [-1039, 196]
2023-09-24_04:54:00.035801949, [-1706, 33]
2023-09-24_04:54:00.035900577, [-2133, -163]
2023-09-24_04:54:00.035999205, [-2347, -106]
2023-09-24_04:54:00.036097833, [-2225, 6]
2023-09-24_04:54:00.036196461, [-1735, 65]
