"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-302U3/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [2910, -263]
2023-09-24_04:54:00.000098627, [2834, -105]
2023-09-24_04:54:00.000197255, [2023, -25]
2023-09-24_04:54:00.000295883, [1159, -148]
2023-09-24_04:54:00.000394511, [865, -228]
2023-09-24_04:54:00.000493139, [883, -75]
2023-09-24_04:54:00.000591767, [998, 56]
2023-09-24_04:54:00.000690395, [1158, 25]
2023-09-24_04:54:00.000789023, [1795, 40]
2023-09-24_04:54:00.000887651, [2142, 5]
2023-09-24_04:54:00.000986279, [2041, -66]
2023-09-24_04:54:00.001084907, [2234, -135]
2023-09-24_04:54:00.001183535, [1871, -72]
2023-09-24_04:54:00.001282163, [796, -59]
2023-09-24_04:54:00.001380791, [-327, -136]
2023-09-24_04:54:00.001479419, [-1022, -108]
2023-09-24_04:54:00.001578047, [-1086, -19]
2023-09-24_04:54:00.001676675, [-649, -55]
2023-09-24_04:54:00.001775303, [76, -358]
2023-09-24_04:54:00.001873931, [497, -418]
2023-09-24_04:54:00.001972559, [196, -351]
2023-09-24_04:54:00.002071187, [262, -255]
2023-09-24_04:54:00.002169815, [975, -103]
2023-09-24_04:54:00.002268443, [1394, -182]
2023-09-24_04:54:00.002367071, [1088, -214]
2023-09-24_04:54:00.002465699, [208, -34]
2023-09-24_04:54:00.002564326, [-402, -76]
2023-09-24_04:54:00.002662954, [-245, -166]
2023-09-24_04:54:00.002761582, [584, -185]
2023-09-24_04:54:00.002860210, [845, -218]
2023-09-24_04:54:00.002958838, [-299, -120]
2023-09-24_04:54:00.003057466, [-1035, -26]
2023-09-24_04:54:00.003156094, [-529, -64]
2023-09-24_04:54:00.003254722, [498, -86]
2023-09-24_04:54:00.003353350, [765, -223]
2023-09-24_04:54:00.003451978, [238, -333]
2023-09-24_04:54:00.003550606, [69, -222]
2023-09-24_04:54:00.003649234, [383, -7]
2023-09-24_04:54:00.003747862, [658, 49]
2023-09-24_04:54:00.003846490, [535, -12]
2023-09-24_04:54:00.003945118, [-184, 37]
2023-09-24_04:54:00.004043746, [-1243, 140]
2023-09-24_04:54:00.004142374, [-1800, 171]
2023-09-24_04:54:00.004241002, [-1648, 127]
2023-09-24_04:54:00.004339630, [-789, 27]
2023-09-24_04:54:00.004438258, [-36, -6]
2023-09-24_04:54:00.004536886, [-151, -213]
2023-09-24_04:54:00.004635514, [-315, -140]
2023-09-24_04:54:00.004734142, [-45, 29]
2023-09-24_04:54:00.004832770, [204, -18]
2023-09-24_04:54:00.004931398, [-331, 107]
2023-09-24_04:54:00.005030025, [-1575, 9]
2023-09-24_04:54:00.005128653, [-1997, -21]
2023-09-24_04:54:00.005227281, [-1468, 87]
2023-09-24_04:54:00.005325909, [-465, 80]
2023-09-24_04:54:00.005424537, [-93, 48]
2023-09-24_04:54:00.005523165, [-900, 2]
2023-09-24_04:54:00.005621793, [-1094, 25]
2023-09-24_04:54:00.005720421, [-1206, 76]
2023-09-24_04:54:00.005819049, [-1407, 197]
2023-09-24_04:54:00.005917677, [-1207, 260]
2023-09-24_04:54:00.006016305, [-874, 161]
2023-09-24_04:54:00.006114933, [-623, 102]
2023-09-24_04:54:00.006213561, [-669, 33]
2023-09-24_04:54:00.006312189, [-1008, 75]
2023-09-24_04:54:00.006410817, [-1039, 73]
2023-09-24_04:54:00.006509445, [-711, 89]
2023-09-24_04:54:00.006608073, [-691, 244]
2023-09-24_04:54:00.006706701, [-1041, 181]
2023-09-24_04:54:00.006805329, [-1117, 165]
2023-09-24_04:54:00.006903957, [-587, 423]
2023-09-24_04:54:00.007002585, [-453, 566]
2023-09-24_04:54:00.007101213, [-1052, 315]
2023-09-24_04:54:00.007199841, [-1118, 21]
2023-09-24_04:54:00.007298469, [-640, -13]
2023-09-24_04:54:00.007397097, [-599, 117]
2023-09-24_04:54:00.007495724, [-326, 329]
2023-09-24_04:54:00.007594352, [290, 324]
2023-09-24_04:54:00.007692980, [94, 310]
2023-09-24_04:54:00.007791608, [-695, 274]
2023-09-24_04:54:00.007890236, [-1009, 114]
2023-09-24_04:54:00.007988864, [-923, -4]
2023-09-24_04:54:00.008087492, [-895, -19]
2023-09-24_04:54:00.008186120, [-817, 26]
2023-09-24_04:54:00.008284748, [-455, 115]
2023-09-24_04:54:00.008383376, [-148, 123]
2023-09-24_04:54:00.008482004, [158, 85]
2023-09-24_04:54:00.008580632, [344, 84]
2023-09-24_04:54:00.008679260, [-91, 92]
2023-09-24_04:54:00.008777888, [-230, 84]
2023-09-24_04:54:00.008876516, [233, 159]
2023-09-24_04:54:00.008975144, [122, 186]
2023-09-24_04:54:00.009073772, [-721, -40]
2023-09-24_04:54:00.009172400, [-1165, -86]
2023-09-24_04:54:00.009271028, [-686, 63]
2023-09-24_04:54:00.009369656, [-466, -8]
2023-09-24_04:54:00.009468284, [-1212, -3]
2023-09-24_04:54:00.009566912, [-1795, -5]
2023-09-24_04:54:00.009665540, [-1528, 40]
2023-09-24_04:54:00.009764168, [-864, 83]
2023-09-24_04:54:00.009862796, [-439, 29]
2023-09-24_04:54:00.009961423, [-366, 74]
2023-09-24_04:54:00.010060051, [-236, 30]
2023-09-24_04:54:00.010158679, [-519, -91]
2023-09-24_04:54:00.010257307, [-1255, -5]
2023-09-24_04:54:00.010355935, [-1867, 172]
2023-09-24_04:54:00.010454563, [-2346, 114]
2023-09-24_04:54:00.010553191, [-2829, 10]
2023-09-24_04:54:00.010651819, [-3288, -20]
2023-09-24_04:54:00.010750447, [-3051, 97]
2023-09-24_04:54:00.010849075, [-2484, 238]
2023-09-24_04:54:00.010947703, [-2300, 147]
2023-09-24_04:54:00.011046331, [-2142, 3]
2023-09-24_04:54:00.011144959, [-2175, 164]
2023-09-24_04:54:00.011243587, [-2418, 370]
2023-09-24_04:54:00.011342215, [-2505, 450]
2023-09-24_04:54:00.011440843, [-3027, 452]
2023-09-24_04:54:00.011539471, [-4066, 341]
2023-09-24_04:54:00.011638099, [-4596, 107]
2023-09-24_04:54:00.011736727, [-4008, 6]
2023-09-24_04:54:00.011835355, [-2986, -26]
2023-09-24_04:54:00.011933983, [-2644, 118]
2023-09-24_04:54:00.012032611, [-3094, 234]
2023-09-24_04:54:00.012131239, [-3406, -43]
2023-09-24_04:54:00.012229867, [-3088, -235]
2023-09-24_04:54:00.012328495, [-2445, -282]
2023-09-24_04:54:00.012427122, [-2815, -47]
2023-09-24_04:54:00.012525750, [-3396, 218]
2023-09-24_04:54:00.012624378, [-3393, 223]
2023-09-24_04:54:00.012723006, [-3767, 15]
2023-09-24_04:54:00.012821634, [-4154, -194]
2023-09-24_04:54:00.012920262, [-4107, -173]
2023-09-24_04:54:00.013018890, [-3678, -155]
2023-09-24_04:54:00.013117518, [-3255, -50]
2023-09-24_04:54:00.013216146, [-3121, 54]
2023-09-24_04:54:00.013314774, [-2947, 84]
2023-09-24_04:54:00.013413402, [-2945, 152]
2023-09-24_04:54:00.013512030, [-3596, 80]
2023-09-24_04:54:00.013610658, [-3577, -38]
2023-09-24_04:54:00.013709286, [-3622, -83]
2023-09-24_04:54:00.013807914, [-4388, -1]
2023-09-24_04:54:00.013906542, [-4245, 31]
2023-09-24_04:54:00.014005170, [-3448, -46]
2023-09-24_04:54:00.014103798, [-3137, -341]
2023-09-24_04:54:00.014202426, [-3219, -401]
2023-09-24_04:54:00.014301054, [-3299, -54]
2023-09-24_04:54:00.014399682, [-3495, 125]
2023-09-24_04:54:00.014498310, [-3741, 164]
2023-09-24_04:54:00.014596938, [-3413, 28]
2023-09-24_04:54:00.014695566, [-2369, 74]
2023-09-24_04:54:00.014794194, [-1563, 133]
2023-09-24_04:54:00.014892821, [-1806, -72]
2023-09-24_04:54:00.014991449, [-2511, -236]
2023-09-24_04:54:00.015090077, [-3338, -197]
2023-09-24_04:54:00.015188705, [-4329, -179]
2023-09-24_04:54:00.015287333, [-4722, -297]
2023-09-24_04:54:00.015385961, [-3409, -207]
2023-09-24_04:54:00.015484589, [-1575, -57]
2023-09-24_04:54:00.015583217, [-901, -143]
2023-09-24_04:54:00.015681845, [-966, -130]
2023-09-24_04:54:00.015780473, [-947, -44]
2023-09-24_04:54:00.015879101, [-780, 6]
2023-09-24_04:54:00.015977729, [-748, 59]
2023-09-24_04:54:00.016076357, [-944, -2]
2023-09-24_04:54:00.016174985, [-1618, -114]
2023-09-24_04:54:00.016273613, [-2479, -156]
2023-09-24_04:54:00.016372241, [-2544, -13]
2023-09-24_04:54:00.016470869, [-1656, 57]
2023-09-24_04:54:00.016569497, [-533, -215]
2023-09-24_04:54:00.016668125, [29, -278]
2023-09-24_04:54:00.016766753, [288, -55]
2023-09-24_04:54:00.016865381, [808, -56]
2023-09-24_04:54:00.016964009, [1280, -226]
2023-09-24_04:54:00.017062637, [1247, -167]
2023-09-24_04:54:00.017161265, [1012, -8]
2023-09-24_04:54:00.017259893, [840, -143]
2023-09-24_04:54:00.017358520, [571, -141]
2023-09-24_04:54:00.017457148, [65, -48]
2023-09-24_04:54:00.017555776, [-180, 39]
2023-09-24_04:54:00.017654404, [733, 141]
2023-09-24_04:54:00.017753032, [1766, 234]
2023-09-24_04:54:00.017851660, [1774, 175]
2023-09-24_04:54:00.017950288, [1264, 109]
2023-09-24_04:54:00.018048916, [1171, 324]
2023-09-24_04:54:00.018147544, [1827, 191]
2023-09-24_04:54:00.018246172, [2666, -3]
2023-09-24_04:54:00.018344800, [3221, -55]
2023-09-24_04:54:00.018443428, [3470, -16]
2023-09-24_04:54:00.018542056, [3130, 123]
2023-09-24_04:54:00.018640684, [2363, 193]
2023-09-24_04:54:00.018739312, [1729, 213]
2023-09-24_04:54:00.018837940, [1314, 302]
2023-09-24_04:54:00.018936568, [1579, 243]
2023-09-24_04:54:00.019035196, [2269, 185]
2023-09-24_04:54:00.019133824, [2993, 311]
2023-09-24_04:54:00.019232452, [3711, 232]
2023-09-24_04:54:00.019331080, [3777, 66]
2023-09-24_04:54:00.019429708, [3266, -33]
2023-09-24_04:54:00.019528336, [2892, -11]
2023-09-24_04:54:00.019626964, [2456, 143]
2023-09-24_04:54:00.019725592, [2359, 124]
2023-09-24_04:54:00.019824220, [2651, 83]
2023-09-24_04:54:00.019922847, [2010, 166]
2023-09-24_04:54:00.020021475, [1007, 445]
2023-09-24_04:54:00.020120103, [671, 692]
2023-09-24_04:54:00.020218731, [1364, 579]
2023-09-24_04:54:00.020317359, [2508, 307]
2023-09-24_04:54:00.020415987, [3059, 176]
2023-09-24_04:54:00.020514615, [2811, 205]
2023-09-24_04:54:00.020613243, [1878, 270]
2023-09-24_04:54:00.020711871, [1216, 364]
2023-09-24_04:54:00.020810499, [1267, 382]
2023-09-24_04:54:00.020909127, [1824, 346]
2023-09-24_04:54:00.021007755, [2102, 251]
2023-09-24_04:54:00.021106383, [1856, 51]
2023-09-24_04:54:00.021205011, [1640, -19]
2023-09-24_04:54:00.021303639, [1038, 16]
2023-09-24_04:54:00.021402267, [266, 144]
2023-09-24_04:54:00.021500895, [-47, 454]
2023-09-24_04:54:00.021599523, [79, 602]
2023-09-24_04:54:00.021698151, [825, 487]
2023-09-24_04:54:00.021796779, [1431, 224]
2023-09-24_04:54:00.021895407, [1671, 73]
2023-09-24_04:54:00.021994035, [1882, 0]
2023-09-24_04:54:00.022092663, [1936, -26]
2023-09-24_04:54:00.022191291, [1642, -39]
2023-09-24_04:54:00.022289919, [871, 63]
2023-09-24_04:54:00.022388546, [339, 102]
2023-09-24_04:54:00.022487174, [542, -71]
2023-09-24_04:54:00.022585802, [629, -143]
2023-09-24_04:54:00.022684430, [605, -57]
2023-09-24_04:54:00.022783058, [760, 1]
2023-09-24_04:54:00.022881686, [996, -58]
2023-09-24_04:54:00.022980314, [1249, -179]
2023-09-24_04:54:00.023078942, [1077, -167]
2023-09-24_04:54:00.023177570, [993, 59]
2023-09-24_04:54:00.023276198, [903, 106]
2023-09-24_04:54:00.023374826, [382, 16]
2023-09-24_04:54:00.023473454, [146, -39]
2023-09-24_04:54:00.023572082, [278, -157]
2023-09-24_04:54:00.023670710, [426, -177]
2023-09-24_04:54:00.023769338, [564, -217]
2023-09-24_04:54:00.023867966, [397, -103]
2023-09-24_04:54:00.023966594, [1, -3]
2023-09-24_04:54:00.024065222, [-369, -201]
2023-09-24_04:54:00.024163850, [-741, -258]
2023-09-24_04:54:00.024262478, [-356, -320]
2023-09-24_04:54:00.024361106, [745, -322]
2023-09-24_04:54:00.024459734, [1366, -146]
2023-09-24_04:54:00.024558362, [1162, 159]
2023-09-24_04:54:00.024656990, [797, 98]
2023-09-24_04:54:00.024755618, [226, -83]
2023-09-24_04:54:00.024854245, [-583, -138]
2023-09-24_04:54:00.024952873, [-1107, -265]
2023-09-24_04:54:00.025051501, [-1050, -214]
2023-09-24_04:54:00.025150129, [-434, -170]
2023-09-24_04:54:00.025248757, [200, -217]
2023-09-24_04:54:00.025347385, [541, -168]
2023-09-24_04:54:00.025446013, [380, -108]
2023-09-24_04:54:00.025544641, [-39, -106]
2023-09-24_04:54:00.025643269, [-301, -189]
2023-09-24_04:54:00.025741897, [-474, -258]
2023-09-24_04:54:00.025840525, [-319, -209]
2023-09-24_04:54:00.025939153, [-550, -93]
2023-09-24_04:54:00.026037781, [-800, -48]
2023-09-24_04:54:00.026136409, [-195, 35]
2023-09-24_04:54:00.026235037, [141, -29]
2023-09-24_04:54:00.026333665, [-229, -111]
2023-09-24_04:54:00.026432293, [-807, 34]
2023-09-24_04:54:00.026530921, [-654, 118]
2023-09-24_04:54:00.026629549, [248, -118]
2023-09-24_04:54:00.026728177, [794, -253]
2023-09-24_04:54:00.026826805, [668, -111]
2023-09-24_04:54:00.026925433, [91, 151]
2023-09-24_04:54:00.027024061, [23, 177]
2023-09-24_04:54:00.027122689, [295, 33]
2023-09-24_04:54:00.027221317, [218, 25]
2023-09-24_04:54:00.027319944, [167, 61]
2023-09-24_04:54:00.027418572, [532, 147]
2023-09-24_04:54:00.027517200, [1125, 237]
2023-09-24_04:54:00.027615828, [993, 466]
2023-09-24_04:54:00.027714456, [223, 427]
2023-09-24_04:54:00.027813084, [14, 285]
2023-09-24_04:54:00.027911712, [352, 332]
2023-09-24_04:54:00.028010340, [656, 358]
2023-09-24_04:54:00.028108968, [1167, 449]
2023-09-24_04:54:00.028207596, [1586, 388]
2023-09-24_04:54:00.028306224, [1201, 242]
2023-09-24_04:54:00.028404852, [652, 300]
2023-09-24_04:54:00.028503480, [257, 162]
2023-09-24_04:54:00.028602108, [530, -32]
2023-09-24_04:54:00.028700736, [1269, -13]
2023-09-24_04:54:00.028799364, [1409, 85]
2023-09-24_04:54:00.028897992, [601, 61]
2023-09-24_04:54:00.028996620, [-257, 65]
2023-09-24_04:54:00.029095248, [-127, 203]
2023-09-24_04:54:00.029193876, [766, 258]
2023-09-24_04:54:00.029292504, [1340, 217]
2023-09-24_04:54:00.029391132, [1353, -49]
2023-09-24_04:54:00.029489760, [1137, 4]
2023-09-24_04:54:00.029588388, [825, 251]
2023-09-24_04:54:00.029687016, [638, 96]
2023-09-24_04:54:00.029785643, [354, -84]
