"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-313U3/DIA/BPM-02/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [1080, 46]
2023-09-24_04:54:00.000098627, [1043, 47]
2023-09-24_04:54:00.000197255, [235, 91]
2023-09-24_04:54:00.000295883, [-569, 16]
2023-09-24_04:54:00.000394511, [-1176, -156]
2023-09-24_04:54:00.000493139, [-1259, -251]
2023-09-24_04:54:00.000591767, [-1057, -101]
2023-09-24_04:54:00.000690395, [-766, 85]
2023-09-24_04:54:00.000789023, [3, 58]
2023-09-24_04:54:00.000887651, [617, -70]
2023-09-24_04:54:00.000986279, [865, 27]
2023-09-24_04:54:00.001084907, [990, 21]
2023-09-24_04:54:00.001183535, [638, 27]
2023-09-24_04:54:00.001282163, [-245, 154]
2023-09-24_04:54:00.001380791, [-1732, 92]
2023-09-24_04:54:00.001479419, [-2821, 111]
2023-09-24_04:54:00.001578047, [-2833, 5]
2023-09-24_04:54:00.001676675, [-2085, -49]
2023-09-24_04:54:00.001775303, [-1006, 135]
2023-09-24_04:54:00.001873931, [-936, 198]
2023-09-24_04:54:00.001972559, [-1517, -11]
2023-09-24_04:54:00.002071187, [-1109, -221]
2023-09-24_04:54:00.002169815, [-112, -131]
2023-09-24_04:54:00.002268443, [289, 11]
2023-09-24_04:54:00.002367071, [-454, -120]
2023-09-24_04:54:00.002465699, [-1495, -412]
2023-09-24_04:54:00.002564326, [-1853, -339]
2023-09-24_04:54:00.002662954, [-1387, -19]
2023-09-24_04:54:00.002761582, [-724, 14]
2023-09-24_04:54:00.002860210, [-731, -62]
2023-09-24_04:54:00.002958838, [-1686, -62]
2023-09-24_04:54:00.003057466, [-2516, 97]
2023-09-24_04:54:00.003156094, [-2119, 129]
2023-09-24_04:54:00.003254722, [-1077, 79]
2023-09-24_04:54:00.003353350, [-856, 12]
2023-09-24_04:54:00.003451978, [-1220, 10]
2023-09-24_04:54:00.003550606, [-1164, -39]
2023-09-24_04:54:00.003649234, [-897, -217]
2023-09-24_04:54:00.003747862, [-679, -187]
2023-09-24_04:54:00.003846490, [-593, -90]
2023-09-24_04:54:00.003945118, [-1149, -176]
2023-09-24_04:54:00.004043746, [-2312, -156]
2023-09-24_04:54:00.004142374, [-3111, -201]
2023-09-24_04:54:00.004241002, [-2935, -102]
2023-09-24_04:54:00.004339630, [-1784, 241]
2023-09-24_04:54:00.004438258, [-839, 267]
2023-09-24_04:54:00.004536886, [-989, -43]
2023-09-24_04:54:00.004635514, [-1234, -232]
2023-09-24_04:54:00.004734142, [-1173, -205]
2023-09-24_04:54:00.004832770, [-974, -14]
2023-09-24_04:54:00.004931398, [-1257, 50]
2023-09-24_04:54:00.005030025, [-2447, 21]
2023-09-24_04:54:00.005128653, [-2713, 28]
2023-09-24_04:54:00.005227281, [-2003, -203]
2023-09-24_04:54:00.005325909, [-914, -295]
2023-09-24_04:54:00.005424537, [-482, -173]
2023-09-24_04:54:00.005523165, [-1150, -177]
2023-09-24_04:54:00.005621793, [-1162, -246]
2023-09-24_04:54:00.005720421, [-1463, -191]
2023-09-24_04:54:00.005819049, [-1770, -39]
2023-09-24_04:54:00.005917677, [-1408, 15]
2023-09-24_04:54:00.006016305, [-1057, -101]
2023-09-24_04:54:00.006114933, [-596, -258]
2023-09-24_04:54:00.006213561, [-282, -122]
2023-09-24_04:54:00.006312189, [-611, -89]
2023-09-24_04:54:00.006410817, [-787, -253]
2023-09-24_04:54:00.006509445, [-485, -213]
2023-09-24_04:54:00.006608073, [-472, -115]
2023-09-24_04:54:00.006706701, [-736, 54]
2023-09-24_04:54:00.006805329, [-639, 36]
2023-09-24_04:54:00.006903957, [32, -3]
2023-09-24_04:54:00.007002585, [202, 76]
2023-09-24_04:54:00.007101213, [-514, 69]
2023-09-24_04:54:00.007199841, [-620, 15]
2023-09-24_04:54:00.007298469, [-22, -1]
2023-09-24_04:54:00.007397097, [104, 101]
2023-09-24_04:54:00.007495724, [403, 44]
2023-09-24_04:54:00.007594352, [1203, 81]
2023-09-24_04:54:00.007692980, [1138, 252]
2023-09-24_04:54:00.007791608, [601, 384]
2023-09-24_04:54:00.007890236, [400, 490]
2023-09-24_04:54:00.007988864, [292, 205]
2023-09-24_04:54:00.008087492, [102, -12]
2023-09-24_04:54:00.008186120, [246, -129]
2023-09-24_04:54:00.008284748, [892, -67]
2023-09-24_04:54:00.008383376, [1284, 175]
2023-09-24_04:54:00.008482004, [1523, 201]
2023-09-24_04:54:00.008580632, [1771, 355]
2023-09-24_04:54:00.008679260, [1613, 321]
2023-09-24_04:54:00.008777888, [1648, 266]
2023-09-24_04:54:00.008876516, [1959, 184]
2023-09-24_04:54:00.008975144, [1709, -89]
2023-09-24_04:54:00.009073772, [883, -186]
2023-09-24_04:54:00.009172400, [598, -59]
2023-09-24_04:54:00.009271028, [1090, 130]
2023-09-24_04:54:00.009369656, [1154, 142]
2023-09-24_04:54:00.009468284, [345, 7]
2023-09-24_04:54:00.009566912, [-216, -15]
2023-09-24_04:54:00.009665540, [183, 127]
2023-09-24_04:54:00.009764168, [1151, -19]
2023-09-24_04:54:00.009862796, [1705, 6]
2023-09-24_04:54:00.009961423, [1932, 269]
2023-09-24_04:54:00.010060051, [1965, 307]
2023-09-24_04:54:00.010158679, [1276, 267]
2023-09-24_04:54:00.010257307, [443, 326]
2023-09-24_04:54:00.010355935, [-38, 265]
2023-09-24_04:54:00.010454563, [-296, 127]
2023-09-24_04:54:00.010553191, [-497, 16]
2023-09-24_04:54:00.010651819, [-892, 78]
2023-09-24_04:54:00.010750447, [-549, 284]
2023-09-24_04:54:00.010849075, [237, 283]
2023-09-24_04:54:00.010947703, [168, 303]
2023-09-24_04:54:00.011046331, [191, 325]
2023-09-24_04:54:00.011144959, [288, 263]
2023-09-24_04:54:00.011243587, [313, 205]
2023-09-24_04:54:00.011342215, [254, 292]
2023-09-24_04:54:00.011440843, [-638, 377]
2023-09-24_04:54:00.011539471, [-1801, 188]
2023-09-24_04:54:00.011638099, [-2463, 132]
2023-09-24_04:54:00.011736727, [-1930, 127]
2023-09-24_04:54:00.011835355, [-768, 139]
2023-09-24_04:54:00.011933983, [-103, 174]
2023-09-24_04:54:00.012032611, [-334, 199]
2023-09-24_04:54:00.012131239, [-760, 153]
2023-09-24_04:54:00.012229867, [-329, -54]
2023-09-24_04:54:00.012328495, [442, -31]
2023-09-24_04:54:00.012427122, [89, 101]
2023-09-24_04:54:00.012525750, [-604, 79]
2023-09-24_04:54:00.012624378, [-769, 22]
2023-09-24_04:54:00.012723006, [-1112, 4]
2023-09-24_04:54:00.012821634, [-1532, -45]
2023-09-24_04:54:00.012920262, [-1443, -303]
2023-09-24_04:54:00.013018890, [-965, -198]
2023-09-24_04:54:00.013117518, [-516, 174]
2023-09-24_04:54:00.013216146, [-353, 153]
2023-09-24_04:54:00.013314774, [-142, 107]
2023-09-24_04:54:00.013413402, [91, 167]
2023-09-24_04:54:00.013512030, [-531, 217]
2023-09-24_04:54:00.013610658, [-708, 201]
2023-09-24_04:54:00.013709286, [-945, 162]
2023-09-24_04:54:00.013807914, [-1656, -2]
2023-09-24_04:54:00.013906542, [-1484, 59]
2023-09-24_04:54:00.014005170, [-842, 198]
2023-09-24_04:54:00.014103798, [-619, 224]
2023-09-24_04:54:00.014202426, [-844, 226]
2023-09-24_04:54:00.014301054, [-782, -1]
2023-09-24_04:54:00.014399682, [-931, -164]
2023-09-24_04:54:00.014498310, [-1314, -80]
2023-09-24_04:54:00.014596938, [-1206, 132]
2023-09-24_04:54:00.014695566, [-207, 98]
2023-09-24_04:54:00.014794194, [578, -197]
2023-09-24_04:54:00.014892821, [347, -458]
