"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-306U1/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.010553191, [-614, -3373]
2023-09-24_04:54:00.010651819, [-704, -3380]
2023-09-24_04:54:00.010750447, [-445, -3408]
2023-09-24_04:54:00.010849075, [90, -3418]
2023-09-24_04:54:00.010947703, [310, -3349]
2023-09-24_04:54:00.011046331, [490, -3336]
2023-09-24_04:54:00.011144959, [673, -3332]
2023-09-24_04:54:00.011243587, [679, -3282]
2023-09-24_04:54:00.011342215, [492, -3283]
2023-09-24_04:54:00.011440843, [-91, -3331]
2023-09-24_04:54:00.011539471, [-741, -3379]
2023-09-24_04:54:00.011638099, [-1081, -3380]
2023-09-24_04:54:00.011736727, [-683, -3293]
2023-09-24_04:54:00.011835355, [271, -3297]
2023-09-24_04:54:00.011933983, [703, -3398]
2023-09-24_04:54:00.012032611, [377, -3486]
2023-09-24_04:54:00.012131239, [208, -3499]
2023-09-24_04:54:00.012229867, [699, -3464]
2023-09-24_04:54:00.012328495, [1222, -3393]
2023-09-24_04:54:00.012427122, [821, -3328]
2023-09-24_04:54:00.012525750, [326, -3421]
2023-09-24_04:54:00.012624378, [293, -3505]
2023-09-24_04:54:00.012723006, [-16, -3450]
2023-09-24_04:54:00.012821634, [-391, -3464]
2023-09-24_04:54:00.012920262, [-230, -3504]
2023-09-24_04:54:00.013018890, [199, -3572]
2023-09-24_04:54:00.013117518, [284, -3591]
2023-09-24_04:54:00.013216146, [348, -3537]
2023-09-24_04:54:00.013314774, [678, -3518]
2023-09-24_04:54:00.013413402, [807, -3439]
2023-09-24_04:54:00.013512030, [365, -3493]
2023-09-24_04:54:00.013610658, [281, -3621]
2023-09-24_04:54:00.013709286, [127, -3634]
2023-09-24_04:54:00.013807914, [-465, -3588]
2023-09-24_04:54:00.013906542, [-384, -3626]
2023-09-24_04:54:00.014005170, [301, -3640]
2023-09-24_04:54:00.014103798, [436, -3687]
2023-09-24_04:54:00.014202426, [236, -3784]
2023-09-24_04:54:00.014301054, [203, -3696]
2023-09-24_04:54:00.014399682, [-13, -3556]
2023-09-24_04:54:00.014498310, [-296, -3538]
2023-09-24_04:54:00.014596938, [-361, -3648]
2023-09-24_04:54:00.014695566, [228, -3656]
2023-09-24_04:54:00.014794194, [896, -3615]
2023-09-24_04:54:00.014892821, [827, -3663]
2023-09-24_04:54:00.014991449, [363, -3789]
2023-09-24_04:54:00.015090077, [-312, -3868]
2023-09-24_04:54:00.015188705, [-1326, -3823]
2023-09-24_04:54:00.015287333, [-1773, -3927]
2023-09-24_04:54:00.015385961, [-920, -4077]
2023-09-24_04:54:00.015484589, [280, -4066]
2023-09-24_04:54:00.015583217, [628, -3861]
2023-09-24_04:54:00.015681845, [501, -3571]
2023-09-24_04:54:00.015780473, [648, -3565]
2023-09-24_04:54:00.015879101, [822, -3697]
2023-09-24_04:54:00.015977729, [779, -3742]
2023-09-24_04:54:00.016076357, [502, -3720]
2023-09-24_04:54:00.016174985, [-239, -3702]
2023-09-24_04:54:00.016273613, [-1009, -3751]
2023-09-24_04:54:00.016372241, [-1137, -3690]
2023-09-24_04:54:00.016470869, [-476, -3642]
2023-09-24_04:54:00.016569497, [274, -3695]
2023-09-24_04:54:00.016668125, [419, -3737]
2023-09-24_04:54:00.016766753, [501, -3759]
2023-09-24_04:54:00.016865381, [803, -3725]
2023-09-24_04:54:00.016964009, [945, -3746]
2023-09-24_04:54:00.017062637, [848, -3705]
2023-09-24_04:54:00.017161265, [552, -3507]
2023-09-24_04:54:00.017259893, [174, -3445]
2023-09-24_04:54:00.017358520, [-306, -3543]
2023-09-24_04:54:00.017457148, [-630, -3565]
2023-09-24_04:54:00.017555776, [-675, -3557]
2023-09-24_04:54:00.017654404, [-279, -3600]
2023-09-24_04:54:00.017753032, [227, -3613]
2023-09-24_04:54:00.017851660, [-63, -3541]
2023-09-24_04:54:00.017950288, [-534, -3406]
2023-09-24_04:54:00.018048916, [-449, -3379]
2023-09-24_04:54:00.018147544, [-118, -3474]
2023-09-24_04:54:00.018246172, [310, -3584]
2023-09-24_04:54:00.018344800, [652, -3532]
2023-09-24_04:54:00.018443428, [822, -3452]
2023-09-24_04:54:00.018542056, [524, -3449]
2023-09-24_04:54:00.018640684, [-107, -3450]
2023-09-24_04:54:00.018739312, [-692, -3495]
2023-09-24_04:54:00.018837940, [-1039, -3527]
2023-09-24_04:54:00.018936568, [-986, -3391]
2023-09-24_04:54:00.019035196, [-682, -3344]
2023-09-24_04:54:00.019133824, [-150, -3480]
2023-09-24_04:54:00.019232452, [238, -3498]
2023-09-24_04:54:00.019331080, [239, -3438]
2023-09-24_04:54:00.019429708, [-16, -3438]
2023-09-24_04:54:00.019528336, [-155, -3514]
2023-09-24_04:54:00.019626964, [-281, -3639]
2023-09-24_04:54:00.019725592, [-361, -3581]
2023-09-24_04:54:00.019824220, [-218, -3501]
2023-09-24_04:54:00.019922847, [-547, -3486]
2023-09-24_04:54:00.020021475, [-1001, -3410]
2023-09-24_04:54:00.020120103, [-1059, -3441]
2023-09-24_04:54:00.020218731, [-566, -3468]
2023-09-24_04:54:00.020317359, [285, -3468]
2023-09-24_04:54:00.020415987, [719, -3490]
2023-09-24_04:54:00.020514615, [550, -3519]
2023-09-24_04:54:00.020613243, [-102, -3449]
2023-09-24_04:54:00.020711871, [-677, -3396]
2023-09-24_04:54:00.020810499, [-694, -3415]
2023-09-24_04:54:00.020909127, [-138, -3390]
2023-09-24_04:54:00.021007755, [237, -3435]
2023-09-24_04:54:00.021106383, [256, -3489]
2023-09-24_04:54:00.021205011, [247, -3544]
2023-09-24_04:54:00.021303639, [-72, -3539]
2023-09-24_04:54:00.021402267, [-549, -3528]
2023-09-24_04:54:00.021500895, [-830, -3727]
2023-09-24_04:54:00.021599523, [-756, -3774]
2023-09-24_04:54:00.021698151, [-178, -3627]
2023-09-24_04:54:00.021796779, [379, -3723]
2023-09-24_04:54:00.021895407, [543, -3779]
2023-09-24_04:54:00.021994035, [649, -3629]
2023-09-24_04:54:00.022092663, [773, -3584]
2023-09-24_04:54:00.022191291, [637, -3581]
2023-09-24_04:54:00.022289919, [55, -3615]
2023-09-24_04:54:00.022388546, [-363, -3602]
2023-09-24_04:54:00.022487174, [-41, -3635]
2023-09-24_04:54:00.022585802, [174, -3742]
2023-09-24_04:54:00.022684430, [134, -3760]
2023-09-24_04:54:00.022783058, [309, -3809]
2023-09-24_04:54:00.022881686, [465, -3920]
2023-09-24_04:54:00.022980314, [598, -3965]
2023-09-24_04:54:00.023078942, [680, -3939]
2023-09-24_04:54:00.023177570, [670, -3864]
2023-09-24_04:54:00.023276198, [662, -3818]
2023-09-24_04:54:00.023374826, [319, -3780]
2023-09-24_04:54:00.023473454, [48, -3842]
2023-09-24_04:54:00.023572082, [127, -3795]
2023-09-24_04:54:00.023670710, [276, -3769]
2023-09-24_04:54:00.023769338, [559, -3879]
2023-09-24_04:54:00.023867966, [605, -3862]
2023-09-24_04:54:00.023966594, [360, -3706]
2023-09-24_04:54:00.024065222, [62, -3681]
2023-09-24_04:54:00.024163850, [-248, -3832]
2023-09-24_04:54:00.024262478, [42, -3807]
2023-09-24_04:54:00.024361106, [868, -3833]
2023-09-24_04:54:00.024459734, [1438, -3873]
2023-09-24_04:54:00.024558362, [1390, -3813]
2023-09-24_04:54:00.024656990, [1048, -3888]
