"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-319U2/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.012427122, [5124, -181]
2023-09-24_04:54:00.012525750, [4700, -112]
2023-09-24_04:54:00.012624378, [4730, -112]
2023-09-24_04:54:00.012723006, [4636, -129]
2023-09-24_04:54:00.012821634, [4407, -167]
2023-09-24_04:54:00.012920262, [4542, -144]
2023-09-24_04:54:00.013018890, [4904, -51]
2023-09-24_04:54:00.013117518, [5090, -31]
2023-09-24_04:54:00.013216146, [5185, 18]
2023-09-24_04:54:00.013314774, [5343, 33]
2023-09-24_04:54:00.013413402, [5393, -175]
2023-09-24_04:54:00.013512030, [4941, -125]
2023-09-24_04:54:00.013610658, [4705, -51]
2023-09-24_04:54:00.013709286, [4429, -60]
2023-09-24_04:54:00.013807914, [3735, -45]
2023-09-24_04:54:00.013906542, [3737, -41]
2023-09-24_04:54:00.014005170, [4274, 78]
2023-09-24_04:54:00.014103798, [4331, 55]
2023-09-24_04:54:00.014202426, [4009, -3]
2023-09-24_04:54:00.014301054, [3966, 27]
2023-09-24_04:54:00.014399682, [3898, 70]
2023-09-24_04:54:00.014498310, [3623, 87]
2023-09-24_04:54:00.014596938, [3606, 84]
2023-09-24_04:54:00.014695566, [4081, 182]
2023-09-24_04:54:00.014794194, [4483, 214]
2023-09-24_04:54:00.014892821, [4244, 287]
2023-09-24_04:54:00.014991449, [3639, 263]
2023-09-24_04:54:00.015090077, [2810, 133]
2023-09-24_04:54:00.015188705, [1882, 150]
2023-09-24_04:54:00.015287333, [1370, 92]
2023-09-24_04:54:00.015385961, [2092, 36]
2023-09-24_04:54:00.015484589, [3129, 58]
2023-09-24_04:54:00.015583217, [3269, 161]
2023-09-24_04:54:00.015681845, [3009, 332]
2023-09-24_04:54:00.015780473, [2975, 345]
2023-09-24_04:54:00.015879101, [2905, 214]
2023-09-24_04:54:00.015977729, [2521, 144]
2023-09-24_04:54:00.016076357, [1882, 156]
2023-09-24_04:54:00.016174985, [922, 66]
2023-09-24_04:54:00.016273613, [-66, 44]
2023-09-24_04:54:00.016372241, [-376, 76]
2023-09-24_04:54:00.016470869, [-72, 170]
2023-09-24_04:54:00.016569497, [353, 208]
2023-09-24_04:54:00.016668125, [412, 98]
2023-09-24_04:54:00.016766753, [274, 29]
2023-09-24_04:54:00.016865381, [403, 51]
2023-09-24_04:54:00.016964009, [362, 177]
2023-09-24_04:54:00.017062637, [-217, 278]
2023-09-24_04:54:00.017161265, [-815, 260]
2023-09-24_04:54:00.017259893, [-1188, 158]
