"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-302M1/DIA/BPM-02/fa"
# t, [x, y]
2023-09-24_04:54:00.012131239, [1636, 5240]
2023-09-24_04:54:00.012229867, [1840, 5296]
2023-09-24_04:54:00.012328495, [1958, 5364]
2023-09-24_04:54:00.012427122, [1759, 5460]
2023-09-24_04:54:00.012525750, [1641, 5536]
2023-09-24_04:54:00.012624378, [1722, 5603]
2023-09-24_04:54:00.012723006, [1743, 5636]
2023-09-24_04:54:00.012821634, [1658, 5633]
2023-09-24_04:54:00.012920262, [1609, 5482]
2023-09-24_04:54:00.013018890, [1701, 5358]
2023-09-24_04:54:00.013117518, [1823, 5420]
2023-09-24_04:54:00.013216146, [1764, 5421]
2023-09-24_04:54:00.013314774, [1785, 5431]
2023-09-24_04:54:00.013413402, [1749, 5437]
2023-09-24_04:54:00.013512030, [1451, 5441]
2023-09-24_04:54:00.013610658, [1475, 5423]
2023-09-24_04:54:00.013709286, [1459, 5382]
2023-09-24_04:54:00.013807914, [1330, 5526]
2023-09-24_04:54:00.013906542, [1297, 5673]
2023-09-24_04:54:00.014005170, [1237, 5660]
2023-09-24_04:54:00.014103798, [1159, 5628]
2023-09-24_04:54:00.014202426, [1037, 5620]
2023-09-24_04:54:00.014301054, [1069, 5623]
2023-09-24_04:54:00.014399682, [1138, 5576]
2023-09-24_04:54:00.014498310, [1136, 5536]
2023-09-24_04:54:00.014596938, [1112, 5456]
2023-09-24_04:54:00.014695566, [1199, 5381]
2023-09-24_04:54:00.014794194, [1429, 5395]
2023-09-24_04:54:00.014892821, [1456, 5316]
2023-09-24_04:54:00.014991449, [1283, 5349]
2023-09-24_04:54:00.015090077, [1044, 5489]
2023-09-24_04:54:00.015188705, [700, 5573]
2023-09-24_04:54:00.015287333, [558, 5607]
2023-09-24_04:54:00.015385961, [790, 5602]
2023-09-24_04:54:00.015484589, [1078, 5594]
2023-09-24_04:54:00.015583217, [1223, 5624]
2023-09-24_04:54:00.015681845, [1162, 5547]
2023-09-24_04:54:00.015780473, [946, 5489]
2023-09-24_04:54:00.015879101, [619, 5486]
2023-09-24_04:54:00.015977729, [489, 5343]
2023-09-24_04:54:00.016076357, [467, 5400]
2023-09-24_04:54:00.016174985, [140, 5656]
2023-09-24_04:54:00.016273613, [-163, 5699]
2023-09-24_04:54:00.016372241, [-414, 5617]
2023-09-24_04:54:00.016470869, [-434, 5555]
2023-09-24_04:54:00.016569497, [-121, 5530]
2023-09-24_04:54:00.016668125, [-32, 5460]
2023-09-24_04:54:00.016766753, [-72, 5515]
2023-09-24_04:54:00.016865381, [-11, 5628]
2023-09-24_04:54:00.016964009, [20, 5550]
2023-09-24_04:54:00.017062637, [-140, 5532]
2023-09-24_04:54:00.017161265, [-452, 5505]
2023-09-24_04:54:00.017259893, [-571, 5504]
2023-09-24_04:54:00.017358520, [-701, 5403]
2023-09-24_04:54:00.017457148, [-1063, 5290]
2023-09-24_04:54:00.017555776, [-1165, 5432]
2023-09-24_04:54:00.017654404, [-872, 5662]
2023-09-24_04:54:00.017753032, [-785, 5700]
2023-09-24_04:54:00.017851660, [-971, 5653]
2023-09-24_04:54:00.017950288, [-1123, 5657]
2023-09-24_04:54:00.018048916, [-1227, 5533]
2023-09-24_04:54:00.018147544, [-1203, 5518]
2023-09-24_04:54:00.018246172, [-973, 5694]
2023-09-24_04:54:00.018344800, [-741, 5771]
2023-09-24_04:54:00.018443428, [-901, 5794]
2023-09-24_04:54:00.018542056, [-1248, 5760]
2023-09-24_04:54:00.018640684, [-1434, 5605]
2023-09-24_04:54:00.018739312, [-1424, 5481]
2023-09-24_04:54:00.018837940, [-1509, 5460]
2023-09-24_04:54:00.018936568, [-1685, 5591]
2023-09-24_04:54:00.019035196, [-1582, 5702]
2023-09-24_04:54:00.019133824, [-1236, 5687]
2023-09-24_04:54:00.019232452, [-1023, 5762]
2023-09-24_04:54:00.019331080, [-1069, 5715]
2023-09-24_04:54:00.019429708, [-1131, 5648]
2023-09-24_04:54:00.019528336, [-1021, 5608]
2023-09-24_04:54:00.019626964, [-995, 5571]
2023-09-24_04:54:00.019725592, [-1127, 5624]
2023-09-24_04:54:00.019824220, [-1015, 5647]
2023-09-24_04:54:00.019922847, [-1124, 5641]
2023-09-24_04:54:00.020021475, [-1447, 5573]
2023-09-24_04:54:00.020120103, [-1536, 5541]
2023-09-24_04:54:00.020218731, [-1201, 5692]
2023-09-24_04:54:00.020317359, [-748, 5696]
2023-09-24_04:54:00.020415987, [-583, 5711]
2023-09-24_04:54:00.020514615, [-537, 5796]
2023-09-24_04:54:00.020613243, [-646, 5724]
