"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-312U1/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [342, -65394]
2023-09-24_04:54:00.000098627, [285, -65343]
2023-09-24_04:54:00.000197255, [-211, -65247]
2023-09-24_04:54:00.000295883, [-715, -65341]
2023-09-24_04:54:00.000394511, [-905, -65429]
2023-09-24_04:54:00.000493139, [-847, -65346]
2023-09-24_04:54:00.000591767, [-553, -65326]
2023-09-24_04:54:00.000690395, [-275, -65482]
2023-09-24_04:54:00.000789023, [163, -65399]
2023-09-24_04:54:00.000887651, [427, -65356]
2023-09-24_04:54:00.000986279, [566, -65295]
2023-09-24_04:54:00.001084907, [821, -65297]
2023-09-24_04:54:00.001183535, [758, -65445]
2023-09-24_04:54:00.001282163, [125, -65311]
2023-09-24_04:54:00.001380791, [-953, -65319]
2023-09-24_04:54:00.001479419, [-1608, -65287]
2023-09-24_04:54:00.001578047, [-1679, -65165]
2023-09-24_04:54:00.001676675, [-1219, -65324]
2023-09-24_04:54:00.001775303, [-407, -65393]
2023-09-24_04:54:00.001873931, [-195, -65389]
2023-09-24_04:54:00.001972559, [-543, -65458]
2023-09-24_04:54:00.002071187, [-543, -65288]
2023-09-24_04:54:00.002169815, [97, -65272]
2023-09-24_04:54:00.002268443, [513, -65499]
2023-09-24_04:54:00.002367071, [-78, -65612]
2023-09-24_04:54:00.002465699, [-850, -65636]
2023-09-24_04:54:00.002564326, [-1082, -65523]
2023-09-24_04:54:00.002662954, [-720, -65459]
2023-09-24_04:54:00.002761582, [-74, -65520]
2023-09-24_04:54:00.002860210, [54, -65484]
2023-09-24_04:54:00.002958838, [-628, -65343]
2023-09-24_04:54:00.003057466, [-1320, -65336]
2023-09-24_04:54:00.003156094, [-1108, -65378]
2023-09-24_04:54:00.003254722, [-179, -65364]
2023-09-24_04:54:00.003353350, [262, -65404]
2023-09-24_04:54:00.003451978, [-11, -65544]
2023-09-24_04:54:00.003550606, [-172, -65557]
2023-09-24_04:54:00.003649234, [37, -65530]
2023-09-24_04:54:00.003747862, [313, -65496]
2023-09-24_04:54:00.003846490, [268, -65378]
2023-09-24_04:54:00.003945118, [-254, -65453]
2023-09-24_04:54:00.004043746, [-1128, -65587]
2023-09-24_04:54:00.004142374, [-1679, -65668]
2023-09-24_04:54:00.004241002, [-1336, -65670]
2023-09-24_04:54:00.004339630, [-599, -65493]
2023-09-24_04:54:00.004438258, [-150, -65468]
2023-09-24_04:54:00.004536886, [-197, -65568]
2023-09-24_04:54:00.004635514, [-213, -65584]
2023-09-24_04:54:00.004734142, [30, -65636]
2023-09-24_04:54:00.004832770, [45, -65667]
2023-09-24_04:54:00.004931398, [-416, -65615]
2023-09-24_04:54:00.005030025, [-1227, -65662]
2023-09-24_04:54:00.005128653, [-1292, -65676]
2023-09-24_04:54:00.005227281, [-847, -65618]
2023-09-24_04:54:00.005325909, [-141, -65588]
2023-09-24_04:54:00.005424537, [172, -65489]
2023-09-24_04:54:00.005523165, [-235, -65304]
2023-09-24_04:54:00.005621793, [-245, -65142]
2023-09-24_04:54:00.005720421, [-600, -65264]
2023-09-24_04:54:00.005819049, [-709, -65524]
2023-09-24_04:54:00.005917677, [-262, -65611]
2023-09-24_04:54:00.006016305, [-76, -65476]
2023-09-24_04:54:00.006114933, [167, -65370]
2023-09-24_04:54:00.006213561, [382, -65429]
2023-09-24_04:54:00.006312189, [10, -65437]
2023-09-24_04:54:00.006410817, [-335, -65413]
2023-09-24_04:54:00.006509445, [-102, -65504]
2023-09-24_04:54:00.006608073, [-3, -65480]
2023-09-24_04:54:00.006706701, [-261, -65456]
2023-09-24_04:54:00.006805329, [-286, -65518]
2023-09-24_04:54:00.006903957, [126, -65486]
2023-09-24_04:54:00.007002585, [302, -65401]
2023-09-24_04:54:00.007101213, [-361, -65384]
2023-09-24_04:54:00.007199841, [-485, -65339]
2023-09-24_04:54:00.007298469, [108, -65256]
2023-09-24_04:54:00.007397097, [180, -65317]
2023-09-24_04:54:00.007495724, [217, -65326]
2023-09-24_04:54:00.007594352, [572, -65292]
2023-09-24_04:54:00.007692980, [458, -65269]
2023-09-24_04:54:00.007791608, [-47, -65346]
2023-09-24_04:54:00.007890236, [-316, -65401]
2023-09-24_04:54:00.007988864, [-363, -65307]
2023-09-24_04:54:00.008087492, [-309, -65220]
2023-09-24_04:54:00.008186120, [-141, -65232]
2023-09-24_04:54:00.008284748, [160, -65177]
2023-09-24_04:54:00.008383376, [376, -65193]
2023-09-24_04:54:00.008482004, [419, -65247]
2023-09-24_04:54:00.008580632, [555, -65314]
2023-09-24_04:54:00.008679260, [501, -65449]
2023-09-24_04:54:00.008777888, [623, -65322]
2023-09-24_04:54:00.008876516, [903, -65291]
2023-09-24_04:54:00.008975144, [584, -65388]
2023-09-24_04:54:00.009073772, [-226, -65418]
2023-09-24_04:54:00.009172400, [-542, -65341]
2023-09-24_04:54:00.009271028, [-49, -65203]
2023-09-24_04:54:00.009369656, [17, -65162]
2023-09-24_04:54:00.009468284, [-529, -65123]
2023-09-24_04:54:00.009566912, [-884, -65110]
2023-09-24_04:54:00.009665540, [-730, -65176]
2023-09-24_04:54:00.009764168, [-121, -65128]
2023-09-24_04:54:00.009862796, [319, -65030]
2023-09-24_04:54:00.009961423, [507, -65045]
2023-09-24_04:54:00.010060051, [576, -65267]
2023-09-24_04:54:00.010158679, [366, -65391]
2023-09-24_04:54:00.010257307, [-136, -65295]
2023-09-24_04:54:00.010355935, [-606, -65224]
2023-09-24_04:54:00.010454563, [-755, -65244]
2023-09-24_04:54:00.010553191, [-870, -65287]
2023-09-24_04:54:00.010651819, [-1018, -65319]
2023-09-24_04:54:00.010750447, [-767, -65384]
2023-09-24_04:54:00.010849075, [-161, -65402]
2023-09-24_04:54:00.010947703, [1, -65352]
2023-09-24_04:54:00.011046331, [1, -65309]
2023-09-24_04:54:00.011144959, [102, -65304]
2023-09-24_04:54:00.011243587, [141, -65306]
2023-09-24_04:54:00.011342215, [172, -65199]
2023-09-24_04:54:00.011440843, [-317, -65104]
2023-09-24_04:54:00.011539471, [-1099, -65250]
2023-09-24_04:54:00.011638099, [-1475, -65345]
2023-09-24_04:54:00.011736727, [-1094, -65323]
2023-09-24_04:54:00.011835355, [-323, -65421]
2023-09-24_04:54:00.011933983, [184, -65337]
2023-09-24_04:54:00.012032611, [101, -65206]
2023-09-24_04:54:00.012131239, [-120, -65268]
2023-09-24_04:54:00.012229867, [105, -65156]
2023-09-24_04:54:00.012328495, [554, -65195]
2023-09-24_04:54:00.012427122, [189, -65385]
2023-09-24_04:54:00.012525750, [-310, -65423]
2023-09-24_04:54:00.012624378, [-243, -65371]
2023-09-24_04:54:00.012723006, [-374, -65282]
2023-09-24_04:54:00.012821634, [-575, -65217]
2023-09-24_04:54:00.012920262, [-435, -65306]
2023-09-24_04:54:00.013018890, [-48, -65320]
2023-09-24_04:54:00.013117518, [411, -65344]
2023-09-24_04:54:00.013216146, [656, -65468]
2023-09-24_04:54:00.013314774, [710, -65418]
2023-09-24_04:54:00.013413402, [721, -65284]
2023-09-24_04:54:00.013512030, [234, -65246]
2023-09-24_04:54:00.013610658, [80, -65244]
2023-09-24_04:54:00.013709286, [-95, -65316]
2023-09-24_04:54:00.013807914, [-624, -65397]
2023-09-24_04:54:00.013906542, [-418, -65419]
2023-09-24_04:54:00.014005170, [81, -65299]
2023-09-24_04:54:00.014103798, [173, -65246]
2023-09-24_04:54:00.014202426, [68, -65344]
2023-09-24_04:54:00.014301054, [153, -65370]
2023-09-24_04:54:00.014399682, [1, -65332]
2023-09-24_04:54:00.014498310, [-448, -65346]
2023-09-24_04:54:00.014596938, [-400, -65436]
2023-09-24_04:54:00.014695566, [302, -65343]
2023-09-24_04:54:00.014794194, [959, -65238]
2023-09-24_04:54:00.014892821, [855, -65246]
2023-09-24_04:54:00.014991449, [363, -65264]
2023-09-24_04:54:00.015090077, [-336, -65290]
2023-09-24_04:54:00.015188705, [-1256, -65255]
2023-09-24_04:54:00.015287333, [-1505, -65256]
2023-09-24_04:54:00.015385961, [-569, -65283]
2023-09-24_04:54:00.015484589, [663, -65437]
2023-09-24_04:54:00.015583217, [1084, -65601]
2023-09-24_04:54:00.015681845, [1018, -65495]
2023-09-24_04:54:00.015780473, [1111, -65515]
2023-09-24_04:54:00.015879101, [1239, -65605]
2023-09-24_04:54:00.015977729, [1146, -65552]
2023-09-24_04:54:00.016076357, [717, -65514]
2023-09-24_04:54:00.016174985, [-101, -65475]
2023-09-24_04:54:00.016273613, [-850, -65424]
2023-09-24_04:54:00.016372241, [-999, -65358]
2023-09-24_04:54:00.016470869, [-561, -65426]
2023-09-24_04:54:00.016569497, [-26, -65426]
2023-09-24_04:54:00.016668125, [287, -65319]
2023-09-24_04:54:00.016766753, [582, -65267]
2023-09-24_04:54:00.016865381, [894, -65204]
2023-09-24_04:54:00.016964009, [986, -65227]
2023-09-24_04:54:00.017062637, [802, -65438]
2023-09-24_04:54:00.017161265, [493, -65592]
2023-09-24_04:54:00.017259893, [207, -65488]
2023-09-24_04:54:00.017358520, [-188, -65354]
2023-09-24_04:54:00.017457148, [-534, -65230]
2023-09-24_04:54:00.017555776, [-522, -65224]
2023-09-24_04:54:00.017654404, [60, -65303]
2023-09-24_04:54:00.017753032, [768, -65392]
2023-09-24_04:54:00.017851660, [707, -65406]
2023-09-24_04:54:00.017950288, [-37, -65278]
2023-09-24_04:54:00.018048916, [-338, -65336]
2023-09-24_04:54:00.018147544, [49, -65428]
2023-09-24_04:54:00.018246172, [680, -65276]
2023-09-24_04:54:00.018344800, [962, -65210]
2023-09-24_04:54:00.018443428, [951, -65240]
2023-09-24_04:54:00.018542056, [595, -65177]
2023-09-24_04:54:00.018640684, [-42, -65145]
2023-09-24_04:54:00.018739312, [-536, -65273]
2023-09-24_04:54:00.018837940, [-916, -65397]
2023-09-24_04:54:00.018936568, [-867, -65330]
2023-09-24_04:54:00.019035196, [-292, -65173]
2023-09-24_04:54:00.019133824, [217, -65178]
2023-09-24_04:54:00.019232452, [673, -65371]
2023-09-24_04:54:00.019331080, [762, -65375]
2023-09-24_04:54:00.019429708, [516, -65295]
2023-09-24_04:54:00.019528336, [150, -65331]
2023-09-24_04:54:00.019626964, [-341, -65344]
2023-09-24_04:54:00.019725592, [-248, -65345]
2023-09-24_04:54:00.019824220, [3, -65204]
2023-09-24_04:54:00.019922847, [-511, -65056]
2023-09-24_04:54:00.020021475, [-1070, -65119]
2023-09-24_04:54:00.020120103, [-1085, -65164]
2023-09-24_04:54:00.020218731, [-415, -65276]
2023-09-24_04:54:00.020317359, [386, -65339]
2023-09-24_04:54:00.020415987, [774, -65263]
2023-09-24_04:54:00.020514615, [621, -65174]
2023-09-24_04:54:00.020613243, [-9, -65175]
2023-09-24_04:54:00.020711871, [-682, -65301]
2023-09-24_04:54:00.020810499, [-880, -65441]
2023-09-24_04:54:00.020909127, [-401, -65505]
2023-09-24_04:54:00.021007755, [-11, -65607]
2023-09-24_04:54:00.021106383, [-22, -65618]
