"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-317M2/DIA/BPM-02/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [7546, -31168]
2023-09-24_04:54:00.000098627, [7657, -31329]
2023-09-24_04:54:00.000197255, [7901, -31418]
2023-09-24_04:54:00.000295883, [7905, -31485]
2023-09-24_04:54:00.000394511, [7785, -31483]
2023-09-24_04:54:00.000493139, [7730, -31367]
2023-09-24_04:54:00.000591767, [7619, -31330]
2023-09-24_04:54:00.000690395, [7585, -31262]
2023-09-24_04:54:00.000789023, [7575, -31195]
2023-09-24_04:54:00.000887651, [7630, -31179]
2023-09-24_04:54:00.000986279, [7627, -31182]
2023-09-24_04:54:00.001084907, [7403, -31216]
2023-09-24_04:54:00.001183535, [7235, -31269]
2023-09-24_04:54:00.001282163, [7179, -31295]
2023-09-24_04:54:00.001380791, [7183, -31297]
2023-09-24_04:54:00.001479419, [7155, -31355]
2023-09-24_04:54:00.001578047, [7153, -31364]
2023-09-24_04:54:00.001676675, [7164, -31274]
2023-09-24_04:54:00.001775303, [7128, -31213]
2023-09-24_04:54:00.001873931, [7042, -31107]
2023-09-24_04:54:00.001972559, [6998, -31149]
2023-09-24_04:54:00.002071187, [7094, -31271]
2023-09-24_04:54:00.002169815, [7096, -31248]
2023-09-24_04:54:00.002268443, [6952, -31287]
2023-09-24_04:54:00.002367071, [6918, -31298]
2023-09-24_04:54:00.002465699, [6904, -31317]
2023-09-24_04:54:00.002564326, [6898, -31276]
2023-09-24_04:54:00.002662954, [6934, -31278]
2023-09-24_04:54:00.002761582, [7087, -31371]
2023-09-24_04:54:00.002860210, [7159, -31380]
2023-09-24_04:54:00.002958838, [7070, -31378]
2023-09-24_04:54:00.003057466, [7086, -31272]
2023-09-24_04:54:00.003156094, [7082, -31230]
2023-09-24_04:54:00.003254722, [7096, -31256]
2023-09-24_04:54:00.003353350, [7081, -31302]
2023-09-24_04:54:00.003451978, [7061, -31256]
2023-09-24_04:54:00.003550606, [7057, -31175]
2023-09-24_04:54:00.003649234, [7058, -31094]
2023-09-24_04:54:00.003747862, [7090, -30991]
2023-09-24_04:54:00.003846490, [7138, -31018]
2023-09-24_04:54:00.003945118, [7247, -31215]
2023-09-24_04:54:00.004043746, [7256, -31364]
2023-09-24_04:54:00.004142374, [7129, -31246]
2023-09-24_04:54:00.004241002, [7170, -31100]
2023-09-24_04:54:00.004339630, [7427, -31109]
2023-09-24_04:54:00.004438258, [7422, -31141]
2023-09-24_04:54:00.004536886, [7245, -31013]
2023-09-24_04:54:00.004635514, [7201, -30898]
2023-09-24_04:54:00.004734142, [7126, -30999]
2023-09-24_04:54:00.004832770, [7070, -31104]
2023-09-24_04:54:00.004931398, [7078, -31055]
2023-09-24_04:54:00.005030025, [7053, -31045]
2023-09-24_04:54:00.005128653, [6967, -31182]
2023-09-24_04:54:00.005227281, [6901, -31277]
2023-09-24_04:54:00.005325909, [6864, -31304]
2023-09-24_04:54:00.005424537, [6853, -31368]
2023-09-24_04:54:00.005523165, [6809, -31262]
2023-09-24_04:54:00.005621793, [6655, -31170]
2023-09-24_04:54:00.005720421, [6613, -31108]
2023-09-24_04:54:00.005819049, [6691, -31118]
2023-09-24_04:54:00.005917677, [6712, -31242]
2023-09-24_04:54:00.006016305, [6483, -31242]
2023-09-24_04:54:00.006114933, [6421, -31311]
2023-09-24_04:54:00.006213561, [6494, -31270]
2023-09-24_04:54:00.006312189, [6406, -31156]
2023-09-24_04:54:00.006410817, [6264, -31236]
2023-09-24_04:54:00.006509445, [6278, -31265]
2023-09-24_04:54:00.006608073, [6497, -31024]
2023-09-24_04:54:00.006706701, [6592, -30976]
2023-09-24_04:54:00.006805329, [6724, -31088]
2023-09-24_04:54:00.006903957, [6894, -31138]
2023-09-24_04:54:00.007002585, [6835, -31180]
2023-09-24_04:54:00.007101213, [6747, -31125]
2023-09-24_04:54:00.007199841, [6761, -31121]
2023-09-24_04:54:00.007298469, [6914, -31263]
2023-09-24_04:54:00.007397097, [7007, -31227]
2023-09-24_04:54:00.007495724, [7052, -31212]
2023-09-24_04:54:00.007594352, [7013, -31254]
2023-09-24_04:54:00.007692980, [6932, -31219]
2023-09-24_04:54:00.007791608, [7103, -31145]
2023-09-24_04:54:00.007890236, [7178, -31138]
2023-09-24_04:54:00.007988864, [7042, -31177]
2023-09-24_04:54:00.008087492, [7000, -31257]
2023-09-24_04:54:00.008186120, [7029, -31222]
2023-09-24_04:54:00.008284748, [7060, -31250]
2023-09-24_04:54:00.008383376, [7000, -31432]
2023-09-24_04:54:00.008482004, [6893, -31450]
2023-09-24_04:54:00.008580632, [6818, -31326]
2023-09-24_04:54:00.008679260, [6866, -31337]
2023-09-24_04:54:00.008777888, [7008, -31355]
2023-09-24_04:54:00.008876516, [7015, -31242]
2023-09-24_04:54:00.008975144, [7046, -31160]
2023-09-24_04:54:00.009073772, [7141, -31113]
2023-09-24_04:54:00.009172400, [7145, -31187]
2023-09-24_04:54:00.009271028, [7218, -31279]
2023-09-24_04:54:00.009369656, [7298, -31244]
2023-09-24_04:54:00.009468284, [7381, -31210]
2023-09-24_04:54:00.009566912, [7588, -31255]
2023-09-24_04:54:00.009665540, [7629, -31205]
2023-09-24_04:54:00.009764168, [7661, -31186]
2023-09-24_04:54:00.009862796, [7600, -31255]
2023-09-24_04:54:00.009961423, [7524, -31295]
2023-09-24_04:54:00.010060051, [7542, -31327]
2023-09-24_04:54:00.010158679, [7418, -31264]
2023-09-24_04:54:00.010257307, [7277, -31301]
2023-09-24_04:54:00.010355935, [7310, -31357]
2023-09-24_04:54:00.010454563, [7433, -31376]
2023-09-24_04:54:00.010553191, [7429, -31411]
2023-09-24_04:54:00.010651819, [7364, -31349]
2023-09-24_04:54:00.010750447, [7309, -31279]
2023-09-24_04:54:00.010849075, [7186, -31165]
2023-09-24_04:54:00.010947703, [7149, -31198]
2023-09-24_04:54:00.011046331, [7187, -31446]
2023-09-24_04:54:00.011144959, [7057, -31506]
2023-09-24_04:54:00.011243587, [6986, -31522]
2023-09-24_04:54:00.011342215, [7115, -31489]
2023-09-24_04:54:00.011440843, [7110, -31448]
2023-09-24_04:54:00.011539471, [6902, -31474]
2023-09-24_04:54:00.011638099, [6727, -31413]
2023-09-24_04:54:00.011736727, [6635, -31366]
2023-09-24_04:54:00.011835355, [6659, -31294]
2023-09-24_04:54:00.011933983, [6684, -31308]
2023-09-24_04:54:00.012032611, [6725, -31301]
2023-09-24_04:54:00.012131239, [6740, -31324]
2023-09-24_04:54:00.012229867, [6686, -31349]
2023-09-24_04:54:00.012328495, [6682, -31373]
2023-09-24_04:54:00.012427122, [6639, -31450]
2023-09-24_04:54:00.012525750, [6674, -31344]
2023-09-24_04:54:00.012624378, [6778, -31234]
2023-09-24_04:54:00.012723006, [6928, -31236]
2023-09-24_04:54:00.012821634, [6898, -31234]
2023-09-24_04:54:00.012920262, [6722, -31306]
2023-09-24_04:54:00.013018890, [6780, -31263]
2023-09-24_04:54:00.013117518, [6843, -31188]
2023-09-24_04:54:00.013216146, [6858, -31244]
2023-09-24_04:54:00.013314774, [6944, -31294]
2023-09-24_04:54:00.013413402, [6985, -31293]
2023-09-24_04:54:00.013512030, [7041, -31263]
2023-09-24_04:54:00.013610658, [7093, -31251]
2023-09-24_04:54:00.013709286, [6941, -31281]
2023-09-24_04:54:00.013807914, [6864, -31308]
2023-09-24_04:54:00.013906542, [6938, -31333]
2023-09-24_04:54:00.014005170, [6931, -31377]
2023-09-24_04:54:00.014103798, [6770, -31426]
2023-09-24_04:54:00.014202426, [6680, -31442]
2023-09-24_04:54:00.014301054, [6623, -31390]
2023-09-24_04:54:00.014399682, [6501, -31359]
2023-09-24_04:54:00.014498310, [6524, -31319]
2023-09-24_04:54:00.014596938, [6545, -31166]
2023-09-24_04:54:00.014695566, [6449, -31077]
2023-09-24_04:54:00.014794194, [6365, -31214]
2023-09-24_04:54:00.014892821, [6368, -31259]
2023-09-24_04:54:00.014991449, [6473, -31325]
2023-09-24_04:54:00.015090077, [6407, -31374]
2023-09-24_04:54:00.015188705, [6329, -31412]
2023-09-24_04:54:00.015287333, [6439, -31452]
2023-09-24_04:54:00.015385961, [6377, -31422]
2023-09-24_04:54:00.015484589, [6302, -31347]
2023-09-24_04:54:00.015583217, [6380, -31338]
2023-09-24_04:54:00.015681845, [6440, -31291]
2023-09-24_04:54:00.015780473, [6455, -31203]
2023-09-24_04:54:00.015879101, [6473, -31224]
2023-09-24_04:54:00.015977729, [6566, -31253]
2023-09-24_04:54:00.016076357, [6598, -31223]
2023-09-24_04:54:00.016174985, [6554, -31158]
2023-09-24_04:54:00.016273613, [6587, -31236]
2023-09-24_04:54:00.016372241, [6546, -31313]
2023-09-24_04:54:00.016470869, [6570, -31362]
2023-09-24_04:54:00.016569497, [6558, -31410]
2023-09-24_04:54:00.016668125, [6491, -31317]
2023-09-24_04:54:00.016766753, [6398, -31310]
2023-09-24_04:54:00.016865381, [6270, -31339]
2023-09-24_04:54:00.016964009, [6283, -31339]
2023-09-24_04:54:00.017062637, [6363, -31352]
2023-09-24_04:54:00.017161265, [6395, -31302]
2023-09-24_04:54:00.017259893, [6339, -31292]
2023-09-24_04:54:00.017358520, [6420, -31363]
2023-09-24_04:54:00.017457148, [6432, -31400]
2023-09-24_04:54:00.017555776, [6251, -31468]
2023-09-24_04:54:00.017654404, [6192, -31540]
2023-09-24_04:54:00.017753032, [6344, -31418]
2023-09-24_04:54:00.017851660, [6326, -31381]
2023-09-24_04:54:00.017950288, [6373, -31320]
2023-09-24_04:54:00.018048916, [6618, -31341]
2023-09-24_04:54:00.018147544, [6730, -31450]
2023-09-24_04:54:00.018246172, [6784, -31498]
2023-09-24_04:54:00.018344800, [6673, -31433]
2023-09-24_04:54:00.018443428, [6785, -31280]
2023-09-24_04:54:00.018542056, [6885, -31289]
2023-09-24_04:54:00.018640684, [6855, -31315]
2023-09-24_04:54:00.018739312, [6926, -31368]
2023-09-24_04:54:00.018837940, [6997, -31439]
2023-09-24_04:54:00.018936568, [7055, -31396]
2023-09-24_04:54:00.019035196, [7093, -31374]
2023-09-24_04:54:00.019133824, [7125, -31455]
2023-09-24_04:54:00.019232452, [7165, -31455]
2023-09-24_04:54:00.019331080, [7421, -31324]
2023-09-24_04:54:00.019429708, [7547, -31316]
2023-09-24_04:54:00.019528336, [7521, -31379]
2023-09-24_04:54:00.019626964, [7504, -31410]
2023-09-24_04:54:00.019725592, [7561, -31417]
2023-09-24_04:54:00.019824220, [7500, -31479]
