"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-317U5/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [277, -248]
2023-09-24_04:54:00.000098627, [349, -233]
2023-09-24_04:54:00.000197255, [-312, -104]
2023-09-24_04:54:00.000295883, [-933, -135]
2023-09-24_04:54:00.000394511, [-1046, -132]
2023-09-24_04:54:00.000493139, [-899, -24]
2023-09-24_04:54:00.000591767, [-679, 99]
2023-09-24_04:54:00.000690395, [-488, 109]
2023-09-24_04:54:00.000789023, [30, 0]
2023-09-24_04:54:00.000887651, [426, -64]
2023-09-24_04:54:00.000986279, [728, -49]
2023-09-24_04:54:00.001084907, [1226, 44]
2023-09-24_04:54:00.001183535, [1126, -10]
2023-09-24_04:54:00.001282163, [363, -212]
2023-09-24_04:54:00.001380791, [-693, -310]
2023-09-24_04:54:00.001479419, [-1497, -238]
2023-09-24_04:54:00.001578047, [-1501, -174]
2023-09-24_04:54:00.001676675, [-973, -224]
2023-09-24_04:54:00.001775303, [-300, -214]
2023-09-24_04:54:00.001873931, [-55, -107]
2023-09-24_04:54:00.001972559, [-272, -22]
2023-09-24_04:54:00.002071187, [-87, 60]
2023-09-24_04:54:00.002169815, [490, 179]
2023-09-24_04:54:00.002268443, [731, 124]
2023-09-24_04:54:00.002367071, [407, -70]
2023-09-24_04:54:00.002465699, [-144, -140]
2023-09-24_04:54:00.002564326, [-438, -121]
2023-09-24_04:54:00.002662954, [-130, -138]
2023-09-24_04:54:00.002761582, [541, -108]
2023-09-24_04:54:00.002860210, [639, -106]
2023-09-24_04:54:00.002958838, [-145, -162]
2023-09-24_04:54:00.003057466, [-774, -256]
2023-09-24_04:54:00.003156094, [-474, -187]
2023-09-24_04:54:00.003254722, [438, -44]
2023-09-24_04:54:00.003353350, [826, -94]
2023-09-24_04:54:00.003451978, [486, -78]
2023-09-24_04:54:00.003550606, [185, -9]
2023-09-24_04:54:00.003649234, [460, 17]
2023-09-24_04:54:00.003747862, [676, 69]
2023-09-24_04:54:00.003846490, [584, 26]
2023-09-24_04:54:00.003945118, [308, -127]
2023-09-24_04:54:00.004043746, [-475, -84]
2023-09-24_04:54:00.004142374, [-1135, -53]
2023-09-24_04:54:00.004241002, [-1128, -120]
2023-09-24_04:54:00.004339630, [-257, -49]
2023-09-24_04:54:00.004438258, [528, -55]
2023-09-24_04:54:00.004536886, [518, -31]
2023-09-24_04:54:00.004635514, [514, -51]
2023-09-24_04:54:00.004734142, [647, -24]
2023-09-24_04:54:00.004832770, [683, -7]
2023-09-24_04:54:00.004931398, [238, -200]
2023-09-24_04:54:00.005030025, [-476, -118]
2023-09-24_04:54:00.005128653, [-634, 56]
2023-09-24_04:54:00.005227281, [-317, 20]
2023-09-24_04:54:00.005325909, [574, -98]
2023-09-24_04:54:00.005424537, [863, -130]
2023-09-24_04:54:00.005523165, [260, -6]
2023-09-24_04:54:00.005621793, [38, 61]
2023-09-24_04:54:00.005720421, [-184, 42]
2023-09-24_04:54:00.005819049, [-172, -5]
2023-09-24_04:54:00.005917677, [241, -112]
2023-09-24_04:54:00.006016305, [536, -175]
2023-09-24_04:54:00.006114933, [800, -79]
2023-09-24_04:54:00.006213561, [736, -10]
2023-09-24_04:54:00.006312189, [236, -4]
2023-09-24_04:54:00.006410817, [-24, 45]
2023-09-24_04:54:00.006509445, [250, 15]
2023-09-24_04:54:00.006608073, [349, 93]
2023-09-24_04:54:00.006706701, [-81, 214]
2023-09-24_04:54:00.006805329, [-207, 231]
2023-09-24_04:54:00.006903957, [133, 187]
2023-09-24_04:54:00.007002585, [182, 93]
2023-09-24_04:54:00.007101213, [-264, 77]
2023-09-24_04:54:00.007199841, [-423, 59]
2023-09-24_04:54:00.007298469, [-169, 12]
2023-09-24_04:54:00.007397097, [-21, 20]
2023-09-24_04:54:00.007495724, [176, 113]
2023-09-24_04:54:00.007594352, [549, 135]
2023-09-24_04:54:00.007692980, [284, 67]
2023-09-24_04:54:00.007791608, [-230, -13]
2023-09-24_04:54:00.007890236, [-481, 13]
2023-09-24_04:54:00.007988864, [-668, 12]
2023-09-24_04:54:00.008087492, [-608, -4]
2023-09-24_04:54:00.008186120, [-317, 54]
2023-09-24_04:54:00.008284748, [-9, 33]
2023-09-24_04:54:00.008383376, [82, -46]
2023-09-24_04:54:00.008482004, [249, -14]
2023-09-24_04:54:00.008580632, [482, 43]
2023-09-24_04:54:00.008679260, [361, 97]
2023-09-24_04:54:00.008777888, [254, 120]
2023-09-24_04:54:00.008876516, [476, 129]
2023-09-24_04:54:00.008975144, [386, 81]
2023-09-24_04:54:00.009073772, [-272, 15]
2023-09-24_04:54:00.009172400, [-582, 112]
2023-09-24_04:54:00.009271028, [-136, 216]
2023-09-24_04:54:00.009369656, [60, 175]
2023-09-24_04:54:00.009468284, [-571, 70]
2023-09-24_04:54:00.009566912, [-1148, 69]
2023-09-24_04:54:00.009665540, [-897, 115]
2023-09-24_04:54:00.009764168, [-287, 85]
2023-09-24_04:54:00.009862796, [218, 61]
2023-09-24_04:54:00.009961423, [552, 127]
2023-09-24_04:54:00.010060051, [638, 85]
2023-09-24_04:54:00.010158679, [371, 85]
