"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-309M2/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [245, 16]
2023-09-24_04:54:00.000098627, [246, -54]
2023-09-24_04:54:00.000197255, [89, -108]
2023-09-24_04:54:00.000295883, [79, -63]
2023-09-24_04:54:00.000394511, [62, -56]
2023-09-24_04:54:00.000493139, [-124, -73]
2023-09-24_04:54:00.000591767, [-61, -81]
2023-09-24_04:54:00.000690395, [75, -47]
2023-09-24_04:54:00.000789023, [243, 30]
2023-09-24_04:54:00.000887651, [311, 99]
2023-09-24_04:54:00.000986279, [290, -14]
2023-09-24_04:54:00.001084907, [468, -110]
2023-09-24_04:54:00.001183535, [420, -187]
2023-09-24_04:54:00.001282163, [117, -284]
2023-09-24_04:54:00.001380791, [-88, -247]
2023-09-24_04:54:00.001479419, [-240, -258]
2023-09-24_04:54:00.001578047, [-283, -240]
2023-09-24_04:54:00.001676675, [-112, -244]
2023-09-24_04:54:00.001775303, [180, -339]
2023-09-24_04:54:00.001873931, [175, -363]
2023-09-24_04:54:00.001972559, [-1, -342]
2023-09-24_04:54:00.002071187, [8, -319]
2023-09-24_04:54:00.002169815, [184, -465]
2023-09-24_04:54:00.002268443, [157, -529]
2023-09-24_04:54:00.002367071, [-54, -494]
2023-09-24_04:54:00.002465699, [-178, -444]
2023-09-24_04:54:00.002564326, [-306, -304]
2023-09-24_04:54:00.002662954, [-177, -365]
2023-09-24_04:54:00.002761582, [82, -395]
2023-09-24_04:54:00.002860210, [169, -192]
2023-09-24_04:54:00.002958838, [-52, 79]
2023-09-24_04:54:00.003057466, [-305, 147]
2023-09-24_04:54:00.003156094, [-78, 63]
2023-09-24_04:54:00.003254722, [105, 100]
2023-09-24_04:54:00.003353350, [-41, -1]
2023-09-24_04:54:00.003451978, [-74, -175]
2023-09-24_04:54:00.003550606, [-25, -128]
2023-09-24_04:54:00.003649234, [-58, -184]
2023-09-24_04:54:00.003747862, [32, -255]
2023-09-24_04:54:00.003846490, [240, -244]
2023-09-24_04:54:00.003945118, [202, -192]
2023-09-24_04:54:00.004043746, [-188, -121]
2023-09-24_04:54:00.004142374, [-453, -293]
2023-09-24_04:54:00.004241002, [-409, -352]
2023-09-24_04:54:00.004339630, [-136, -371]
2023-09-24_04:54:00.004438258, [217, -484]
2023-09-24_04:54:00.004536886, [195, -342]
2023-09-24_04:54:00.004635514, [72, -201]
2023-09-24_04:54:00.004734142, [171, -321]
2023-09-24_04:54:00.004832770, [175, -396]
2023-09-24_04:54:00.004931398, [21, -265]
2023-09-24_04:54:00.005030025, [-281, -149]
2023-09-24_04:54:00.005128653, [-358, -124]
2023-09-24_04:54:00.005227281, [-123, -185]
2023-09-24_04:54:00.005325909, [188, -226]
2023-09-24_04:54:00.005424537, [220, -134]
2023-09-24_04:54:00.005523165, [122, -59]
2023-09-24_04:54:00.005621793, [115, -98]
2023-09-24_04:54:00.005720421, [-137, -146]
2023-09-24_04:54:00.005819049, [-227, -148]
2023-09-24_04:54:00.005917677, [-169, -138]
2023-09-24_04:54:00.006016305, [-91, -139]
2023-09-24_04:54:00.006114933, [65, -67]
2023-09-24_04:54:00.006213561, [-94, 68]
2023-09-24_04:54:00.006312189, [-262, 54]
2023-09-24_04:54:00.006410817, [-200, -89]
2023-09-24_04:54:00.006509445, [-151, -100]
2023-09-24_04:54:00.006608073, [-41, 98]
2023-09-24_04:54:00.006706701, [-78, 175]
2023-09-24_04:54:00.006805329, [-104, 91]
2023-09-24_04:54:00.006903957, [-37, 97]
2023-09-24_04:54:00.007002585, [-205, 190]
2023-09-24_04:54:00.007101213, [-275, 222]
2023-09-24_04:54:00.007199841, [-241, 91]
2023-09-24_04:54:00.007298469, [-258, 57]
2023-09-24_04:54:00.007397097, [-207, 215]
2023-09-24_04:54:00.007495724, [-115, 427]
2023-09-24_04:54:00.007594352, [152, 350]
2023-09-24_04:54:00.007692980, [264, 275]
2023-09-24_04:54:00.007791608, [37, 313]
2023-09-24_04:54:00.007890236, [-201, 296]
2023-09-24_04:54:00.007988864, [-364, 270]
2023-09-24_04:54:00.008087492, [-317, 298]
2023-09-24_04:54:00.008186120, [-112, 363]
2023-09-24_04:54:00.008284748, [118, 329]
2023-09-24_04:54:00.008383376, [137, 290]
2023-09-24_04:54:00.008482004, [34, 384]
2023-09-24_04:54:00.008580632, [56, 443]
2023-09-24_04:54:00.008679260, [-53, 323]
2023-09-24_04:54:00.008777888, [-38, 271]
2023-09-24_04:54:00.008876516, [109, 431]
2023-09-24_04:54:00.008975144, [165, 517]
2023-09-24_04:54:00.009073772, [53, 459]
2023-09-24_04:54:00.009172400, [-228, 492]
2023-09-24_04:54:00.009271028, [-269, 449]
2023-09-24_04:54:00.009369656, [-109, 466]
2023-09-24_04:54:00.009468284, [-222, 503]
2023-09-24_04:54:00.009566912, [-289, 464]
2023-09-24_04:54:00.009665540, [-126, 508]
2023-09-24_04:54:00.009764168, [65, 468]
2023-09-24_04:54:00.009862796, [183, 380]
2023-09-24_04:54:00.009961423, [347, 337]
2023-09-24_04:54:00.010060051, [390, 456]
2023-09-24_04:54:00.010158679, [146, 532]
2023-09-24_04:54:00.010257307, [-33, 400]
2023-09-24_04:54:00.010355935, [-38, 302]
2023-09-24_04:54:00.010454563, [17, 253]
2023-09-24_04:54:00.010553191, [61, 164]
2023-09-24_04:54:00.010651819, [125, 129]
2023-09-24_04:54:00.010750447, [154, 158]
2023-09-24_04:54:00.010849075, [118, 200]
2023-09-24_04:54:00.010947703, [5, 148]
2023-09-24_04:54:00.011046331, [81, 71]
2023-09-24_04:54:00.011144959, [274, 43]
2023-09-24_04:54:00.011243587, [247, 86]
2023-09-24_04:54:00.011342215, [161, 108]
2023-09-24_04:54:00.011440843, [-9, 113]
2023-09-24_04:54:00.011539471, [-299, 153]
2023-09-24_04:54:00.011638099, [-504, 175]
2023-09-24_04:54:00.011736727, [-302, 226]
2023-09-24_04:54:00.011835355, [4, 201]
2023-09-24_04:54:00.011933983, [47, 128]
2023-09-24_04:54:00.012032611, [-77, 83]
2023-09-24_04:54:00.012131239, [30, -40]
2023-09-24_04:54:00.012229867, [250, 1]
2023-09-24_04:54:00.012328495, [351, 198]
2023-09-24_04:54:00.012427122, [267, 323]
2023-09-24_04:54:00.012525750, [217, 226]
2023-09-24_04:54:00.012624378, [133, 103]
2023-09-24_04:54:00.012723006, [-66, 141]
2023-09-24_04:54:00.012821634, [-20, 185]
2023-09-24_04:54:00.012920262, [61, 94]
2023-09-24_04:54:00.013018890, [84, -78]
2023-09-24_04:54:00.013117518, [238, -107]
2023-09-24_04:54:00.013216146, [276, -46]
2023-09-24_04:54:00.013314774, [220, -65]
2023-09-24_04:54:00.013413402, [256, -82]
2023-09-24_04:54:00.013512030, [119, -227]
2023-09-24_04:54:00.013610658, [107, -365]
2023-09-24_04:54:00.013709286, [108, -252]
2023-09-24_04:54:00.013807914, [-76, -35]
2023-09-24_04:54:00.013906542, [-80, 25]
2023-09-24_04:54:00.014005170, [33, -160]
2023-09-24_04:54:00.014103798, [-16, -163]
2023-09-24_04:54:00.014202426, [-143, -56]
2023-09-24_04:54:00.014301054, [-92, -205]
2023-09-24_04:54:00.014399682, [32, -340]
2023-09-24_04:54:00.014498310, [32, -246]
2023-09-24_04:54:00.014596938, [-36, -195]
2023-09-24_04:54:00.014695566, [164, -357]
2023-09-24_04:54:00.014794194, [366, -345]
2023-09-24_04:54:00.014892821, [151, -209]
2023-09-24_04:54:00.014991449, [-73, -113]
2023-09-24_04:54:00.015090077, [-148, -160]
2023-09-24_04:54:00.015188705, [-373, -199]
2023-09-24_04:54:00.015287333, [-503, -146]
2023-09-24_04:54:00.015385961, [-273, -82]
2023-09-24_04:54:00.015484589, [51, -224]
2023-09-24_04:54:00.015583217, [83, -396]
2023-09-24_04:54:00.015681845, [-42, -378]
2023-09-24_04:54:00.015780473, [15, -383]
2023-09-24_04:54:00.015879101, [104, -475]
2023-09-24_04:54:00.015977729, [0, -391]
2023-09-24_04:54:00.016076357, [-102, -248]
2023-09-24_04:54:00.016174985, [-246, -201]
2023-09-24_04:54:00.016273613, [-507, -161]
2023-09-24_04:54:00.016372241, [-573, -162]
2023-09-24_04:54:00.016470869, [-299, 2]
2023-09-24_04:54:00.016569497, [25, -1]
2023-09-24_04:54:00.016668125, [95, -158]
2023-09-24_04:54:00.016766753, [59, -179]
2023-09-24_04:54:00.016865381, [114, -145]
2023-09-24_04:54:00.016964009, [193, 14]
2023-09-24_04:54:00.017062637, [187, 104]
2023-09-24_04:54:00.017161265, [33, 125]
2023-09-24_04:54:00.017259893, [-144, 106]
2023-09-24_04:54:00.017358520, [-286, 165]
2023-09-24_04:54:00.017457148, [-351, 234]
2023-09-24_04:54:00.017555776, [-307, 285]
2023-09-24_04:54:00.017654404, [-175, 398]
2023-09-24_04:54:00.017753032, [50, 437]
2023-09-24_04:54:00.017851660, [108, 328]
2023-09-24_04:54:00.017950288, [-166, 399]
2023-09-24_04:54:00.018048916, [-274, 505]
2023-09-24_04:54:00.018147544, [-155, 479]
2023-09-24_04:54:00.018246172, [-34, 448]
2023-09-24_04:54:00.018344800, [92, 387]
2023-09-24_04:54:00.018443428, [214, 349]
2023-09-24_04:54:00.018542056, [203, 307]
2023-09-24_04:54:00.018640684, [-64, 292]
2023-09-24_04:54:00.018739312, [-288, 393]
2023-09-24_04:54:00.018837940, [-428, 592]
2023-09-24_04:54:00.018936568, [-375, 552]
2023-09-24_04:54:00.019035196, [-98, 523]
2023-09-24_04:54:00.019133824, [110, 506]
2023-09-24_04:54:00.019232452, [246, 354]
2023-09-24_04:54:00.019331080, [246, 273]
2023-09-24_04:54:00.019429708, [48, 295]
2023-09-24_04:54:00.019528336, [23, 390]
2023-09-24_04:54:00.019626964, [14, 306]
2023-09-24_04:54:00.019725592, [52, 330]
2023-09-24_04:54:00.019824220, [117, 444]
2023-09-24_04:54:00.019922847, [-108, 445]
2023-09-24_04:54:00.020021475, [-202, 439]
2023-09-24_04:54:00.020120103, [-172, 392]
2023-09-24_04:54:00.020218731, [-5, 442]
2023-09-24_04:54:00.020317359, [288, 427]
2023-09-24_04:54:00.020415987, [370, 409]
2023-09-24_04:54:00.020514615, [166, 383]
2023-09-24_04:54:00.020613243, [-65, 214]
2023-09-24_04:54:00.020711871, [-214, -8]
2023-09-24_04:54:00.020810499, [-152, -54]
2023-09-24_04:54:00.020909127, [34, 62]
2023-09-24_04:54:00.021007755, [-22, 21]
2023-09-24_04:54:00.021106383, [-47, -136]
2023-09-24_04:54:00.021205011, [-17, -38]
2023-09-24_04:54:00.021303639, [-144, 140]
2023-09-24_04:54:00.021402267, [-287, 166]
2023-09-24_04:54:00.021500895, [-446, 164]
2023-09-24_04:54:00.021599523, [-471, 169]
2023-09-24_04:54:00.021698151, [-259, 74]
2023-09-24_04:54:00.021796779, [-46, 11]
2023-09-24_04:54:00.021895407, [98, 59]
2023-09-24_04:54:00.021994035, [218, 32]
2023-09-24_04:54:00.022092663, [90, -104]
2023-09-24_04:54:00.022191291, [58, -204]
2023-09-24_04:54:00.022289919, [41, 43]
2023-09-24_04:54:00.022388546, [44, 126]
2023-09-24_04:54:00.022487174, [121, -28]
2023-09-24_04:54:00.022585802, [-49, -33]
2023-09-24_04:54:00.022684430, [-339, -23]
2023-09-24_04:54:00.022783058, [-325, 41]
2023-09-24_04:54:00.022881686, [-62, -13]
2023-09-24_04:54:00.022980314, [83, -162]
2023-09-24_04:54:00.023078942, [-68, -277]
2023-09-24_04:54:00.023177570, [-55, -336]
2023-09-24_04:54:00.023276198, [6, -200]
2023-09-24_04:54:00.023374826, [-154, -153]
2023-09-24_04:54:00.023473454, [-184, -261]
2023-09-24_04:54:00.023572082, [-152, -340]
2023-09-24_04:54:00.023670710, [-39, -277]
2023-09-24_04:54:00.023769338, [-34, -117]
2023-09-24_04:54:00.023867966, [47, -31]
2023-09-24_04:54:00.023966594, [135, -81]
2023-09-24_04:54:00.024065222, [-107, -188]
2023-09-24_04:54:00.024163850, [-241, -203]
